metric,run_name,mean_value,stderr,n_groups
player_final_surplus,baseline_gpt_5_mini_pgg_aligned_v3,1.2856481481481483,0.22746836105535015,6
player_proposer_mean_trade_ratio,baseline_gpt_5_mini_pgg_aligned_v3,0.1896251670795516,0.01580382203084132,6
player_proposer_acceptance_rate,baseline_gpt_5_mini_pgg_aligned_v3,0.38117283950617287,0.00923350327262445,6
round_end_surplus_ratio,baseline_gpt_5_mini_pgg_aligned_v3,0.19761563341222368,0.009790665892705984,6
round_mean_trade_ratio,baseline_gpt_5_mini_pgg_aligned_v3,0.18253987411462902,0.012084524221877146,6
round_acceptance_rate,baseline_gpt_5_mini_pgg_aligned_v3,0.38117283950617287,0.009233503272624434,6
player_final_surplus,twin_sampled_unadjusted_seed_0_gpt_5_mini_pgg_aligned_v3,1.1126610305958131,0.20275176908514564,6
player_proposer_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_mini_pgg_aligned_v3,0.1636881117242193,0.019377259873773114,6
player_proposer_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_mini_pgg_aligned_v3,0.3973765432098766,0.017132409962326015,6
round_end_surplus_ratio,twin_sampled_unadjusted_seed_0_gpt_5_mini_pgg_aligned_v3,0.17633557074515838,0.015153952936495461,6
round_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_mini_pgg_aligned_v3,0.1643486886227189,0.01819511957650799,6
round_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_mini_pgg_aligned_v3,0.3973765432098766,0.01713240996232602,6
player_final_surplus,twin_sampled_unadjusted_seed_0_gpt_5_mini_bargain_card_v1,1.2737218196457325,0.2438072594020642,6
player_proposer_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_mini_bargain_card_v1,0.19353905192137524,0.02275606457442778,6
player_proposer_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_mini_bargain_card_v1,0.43085748792270534,0.019768702193273983,6
round_end_surplus_ratio,twin_sampled_unadjusted_seed_0_gpt_5_mini_bargain_card_v1,0.17698073258832445,0.019694593078831823,6
round_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_mini_bargain_card_v1,0.18663302797126916,0.023597828634501467,6
round_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_mini_bargain_card_v1,0.43085748792270534,0.019768702193273983,6
