experiment_id,config_hash,game_id,round,actor_id,actor_name,target_id,target_name,type,units_decided,units_actual,was_scaled,cost,impact,timestamp
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_0,DOG,agent_1,CHICKEN,punishment,3,3,False,9,6,2026-01-02T02:16:42.978754
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_0,DOG,agent_1,CHICKEN,reward,3,3,False,3,2.19,2026-01-02T02:16:42.978957
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_0,DOG,agent_2,CAT,punishment,3,3,False,9,6,2026-01-02T02:16:42.979026
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_0,DOG,agent_2,CAT,reward,3,3,False,3,2.19,2026-01-02T02:16:42.979055
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_0,DOG,agent_3,FISH,punishment,3,3,False,9,6,2026-01-02T02:16:42.979083
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_0,DOG,agent_3,FISH,reward,3,3,False,3,2.19,2026-01-02T02:16:42.979108
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_0,DOG,agent_10,SNAKE,punishment,3,3,False,9,6,2026-01-02T02:16:42.979138
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_0,DOG,agent_10,SNAKE,reward,3,3,False,3,2.19,2026-01-02T02:16:42.979164
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_0,DOG,agent_12,LION,punishment,3,3,False,9,6,2026-01-02T02:16:42.979194
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_0,DOG,agent_12,LION,reward,3,3,False,3,2.19,2026-01-02T02:16:42.979228
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_0,DOG,agent_13,TIGER,punishment,3,3,False,9,6,2026-01-02T02:16:42.979255
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_0,DOG,agent_13,TIGER,reward,3,3,False,3,2.19,2026-01-02T02:16:42.979282
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_1,CHICKEN,agent_0,DOG,punishment,1,1,False,3,2,2026-01-02T02:16:46.151254
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_1,CHICKEN,agent_0,DOG,reward,1,1,False,1,0.73,2026-01-02T02:16:46.151305
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_1,CHICKEN,agent_2,CAT,punishment,1,1,False,3,2,2026-01-02T02:16:46.151334
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_1,CHICKEN,agent_2,CAT,reward,1,1,False,1,0.73,2026-01-02T02:16:46.151356
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_1,CHICKEN,agent_3,FISH,punishment,1,1,False,3,2,2026-01-02T02:16:46.151378
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_1,CHICKEN,agent_3,FISH,reward,1,1,False,1,0.73,2026-01-02T02:16:46.151398
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_1,CHICKEN,agent_4,BIRD,punishment,1,1,False,3,2,2026-01-02T02:16:46.151419
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_1,CHICKEN,agent_4,BIRD,reward,1,1,False,1,0.73,2026-01-02T02:16:46.151438
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_1,CHICKEN,agent_5,RABBIT,punishment,1,1,False,3,2,2026-01-02T02:16:46.151460
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_1,CHICKEN,agent_5,RABBIT,reward,1,1,False,1,0.73,2026-01-02T02:16:46.151480
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_1,CHICKEN,agent_6,TURTLE,punishment,1,1,False,3,2,2026-01-02T02:16:46.151500
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_1,CHICKEN,agent_6,TURTLE,reward,1,1,False,1,0.73,2026-01-02T02:16:46.151520
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_1,CHICKEN,agent_7,HAMSTER,punishment,1,1,False,3,2,2026-01-02T02:16:46.151541
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_1,CHICKEN,agent_7,HAMSTER,reward,1,1,False,1,0.73,2026-01-02T02:16:46.151561
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_1,CHICKEN,agent_8,FROG,punishment,1,1,False,3,2,2026-01-02T02:16:46.151582
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_1,CHICKEN,agent_8,FROG,reward,1,1,False,1,0.73,2026-01-02T02:16:46.151602
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_1,CHICKEN,agent_9,MOUSE,punishment,1,1,False,3,2,2026-01-02T02:16:46.151623
exp_032_treatment,dec238e2,exp_032_treatment_game1,1,agent_1,CHICKEN,agent_9,MOUSE,reward,1,1,False,1,0.73,2026-01-02T02:16:46.151643
