unit_id,profile_id,summary,source_row_id,matching_age_bracket,matching_sex,matching_education
1003,multi_game_llm_fvk2c_demo_profile_00001,"31-year-old, male, College or university.",multi_game_demo_source_02543,30-49,male,college/postsecondary
1005,multi_game_llm_fvk2c_demo_profile_00002,"47-year-old, female, College or university.",multi_game_demo_source_01904,30-49,female,college/postsecondary
1013,multi_game_llm_fvk2c_demo_profile_00003,"42-year-old, male, College or university.",multi_game_demo_source_01528,30-49,male,college/postsecondary
102,multi_game_llm_fvk2c_demo_profile_00004,"27-year-old, female, Post-graduate degree.",multi_game_demo_source_00807,18-29,female,postgraduate
1022,multi_game_llm_fvk2c_demo_profile_00005,"46-year-old, male, Secondary school up to age of 16.",multi_game_demo_source_00921,30-49,male,high school
1024,multi_game_llm_fvk2c_demo_profile_00006,"34-year-old, male, Post-graduate degree.",multi_game_demo_source_00123,30-49,male,postgraduate
103,multi_game_llm_fvk2c_demo_profile_00007,"47-year-old, female, College or university.",multi_game_demo_source_00225,30-49,female,college/postsecondary
107,multi_game_llm_fvk2c_demo_profile_00008,"32-year-old, female, Higher or secondary or further education (A-levels, BTEC, etc.).",multi_game_demo_source_00050,30-49,female,high school
1072,multi_game_llm_fvk2c_demo_profile_00009,"41-year-old, male, Higher or secondary or further education (A-levels, BTEC, etc.).",multi_game_demo_source_00524,30-49,male,high school
1081,multi_game_llm_fvk2c_demo_profile_00010,"58-year-old, female, College or university.",multi_game_demo_source_02431,50-64,female,college/postsecondary
1083,multi_game_llm_fvk2c_demo_profile_00011,"29-year-old, female, College or university.",multi_game_demo_source_01942,18-29,female,college/postsecondary
1089,multi_game_llm_fvk2c_demo_profile_00012,"26-year-old, male, Post-graduate degree.",multi_game_demo_source_02729,18-29,male,postgraduate
1095,multi_game_llm_fvk2c_demo_profile_00013,"48-year-old, female, Secondary school up to age of 16.",multi_game_demo_source_01506,30-49,female,high school
1097,multi_game_llm_fvk2c_demo_profile_00014,"24-year-old, male, Post-graduate degree.",multi_game_demo_source_01814,18-29,male,postgraduate
11,multi_game_llm_fvk2c_demo_profile_00015,"55-year-old, male, College or university.",multi_game_demo_source_02902,50-64,male,college/postsecondary
1100,multi_game_llm_fvk2c_demo_profile_00016,"50-year-old, male, Secondary school up to age of 16.",multi_game_demo_source_02181,50-64,male,high school
1111,multi_game_llm_fvk2c_demo_profile_00017,"24-year-old, female, College or university.",multi_game_demo_source_01890,18-29,female,college/postsecondary
1121,multi_game_llm_fvk2c_demo_profile_00018,"30-year-old, female, College or university.",multi_game_demo_source_01625,30-49,female,college/postsecondary
1122,multi_game_llm_fvk2c_demo_profile_00019,"28-year-old, female, College or university.",multi_game_demo_source_01674,18-29,female,college/postsecondary
1124,multi_game_llm_fvk2c_demo_profile_00020,"29-year-old, male, Post-graduate degree.",multi_game_demo_source_02795,18-29,male,postgraduate
1155,multi_game_llm_fvk2c_demo_profile_00021,"40-year-old, female, College or university.",multi_game_demo_source_00829,30-49,female,college/postsecondary
1160,multi_game_llm_fvk2c_demo_profile_00022,"35-year-old, female, College or university.",multi_game_demo_source_02439,30-49,female,college/postsecondary
1173,multi_game_llm_fvk2c_demo_profile_00023,"32-year-old, male, Post-graduate degree.",multi_game_demo_source_02006,30-49,male,postgraduate
1179,multi_game_llm_fvk2c_demo_profile_00024,"43-year-old, male, College or university.",multi_game_demo_source_00009,30-49,male,college/postsecondary
1194,multi_game_llm_fvk2c_demo_profile_00025,"30-year-old, female, College or university.",multi_game_demo_source_01179,30-49,female,college/postsecondary
1213,multi_game_llm_fvk2c_demo_profile_00026,"69-year-old, male, College or university.",multi_game_demo_source_02563,65+,male,college/postsecondary
1216,multi_game_llm_fvk2c_demo_profile_00027,"52-year-old, male, Higher or secondary or further education (A-levels, BTEC, etc.).",multi_game_demo_source_01657,50-64,male,high school
1229,multi_game_llm_fvk2c_demo_profile_00028,"28-year-old, female, Post-graduate degree.",multi_game_demo_source_00101,18-29,female,postgraduate
1237,multi_game_llm_fvk2c_demo_profile_00029,"35-year-old, male, Post-graduate degree.",multi_game_demo_source_02287,30-49,male,postgraduate
1238,multi_game_llm_fvk2c_demo_profile_00030,"50-year-old, male, Secondary school up to age of 16.",multi_game_demo_source_02181,50-64,male,high school
124,multi_game_llm_fvk2c_demo_profile_00031,"32-year-old, male, Post-graduate degree.",multi_game_demo_source_02531,30-49,male,postgraduate
1247,multi_game_llm_fvk2c_demo_profile_00032,"34-year-old, female, Post-graduate degree.",multi_game_demo_source_00526,30-49,female,postgraduate
1266,multi_game_llm_fvk2c_demo_profile_00033,"28-year-old, female, College or university.",multi_game_demo_source_00267,18-29,female,college/postsecondary
1291,multi_game_llm_fvk2c_demo_profile_00034,"22-year-old, male, College or university.",multi_game_demo_source_02581,18-29,male,college/postsecondary
1370,multi_game_llm_fvk2c_demo_profile_00035,"33-year-old, female, College or university.",multi_game_demo_source_00067,30-49,female,college/postsecondary
1377,multi_game_llm_fvk2c_demo_profile_00036,"25-year-old, male, Post-graduate degree.",multi_game_demo_source_01619,18-29,male,postgraduate
1390,multi_game_llm_fvk2c_demo_profile_00037,"55-year-old, female, Post-graduate degree.",multi_game_demo_source_00241,50-64,female,postgraduate
1402,multi_game_llm_fvk2c_demo_profile_00038,"18-year-old, male, Secondary school up to age of 16.",multi_game_demo_source_00896,18-29,male,high school
1404,multi_game_llm_fvk2c_demo_profile_00039,"52-year-old, female, College or university.",multi_game_demo_source_01438,50-64,female,college/postsecondary
1406,multi_game_llm_fvk2c_demo_profile_00040,"24-year-old, female, Higher or secondary or further education (A-levels, BTEC, etc.).",multi_game_demo_source_01264,18-29,female,high school
1407,multi_game_llm_fvk2c_demo_profile_00041,"30-year-old, male, College or university.",multi_game_demo_source_01206,30-49,male,college/postsecondary
1421,multi_game_llm_fvk2c_demo_profile_00042,"48-year-old, male, Higher or secondary or further education (A-levels, BTEC, etc.).",multi_game_demo_source_00085,30-49,male,high school
1422,multi_game_llm_fvk2c_demo_profile_00043,"27-year-old, female, College or university.",multi_game_demo_source_00016,18-29,female,college/postsecondary
143,multi_game_llm_fvk2c_demo_profile_00044,"31-year-old, female, Post-graduate degree.",multi_game_demo_source_00372,30-49,female,postgraduate
1442,multi_game_llm_fvk2c_demo_profile_00045,"24-year-old, male, College or university.",multi_game_demo_source_00025,18-29,male,college/postsecondary
1454,multi_game_llm_fvk2c_demo_profile_00046,"24-year-old, female, Post-graduate degree.",multi_game_demo_source_02005,18-29,female,postgraduate
1467,multi_game_llm_fvk2c_demo_profile_00047,"36-year-old, female, Post-graduate degree.",multi_game_demo_source_01572,30-49,female,postgraduate
147,multi_game_llm_fvk2c_demo_profile_00048,"56-year-old, female, Post-graduate degree.",multi_game_demo_source_01935,50-64,female,postgraduate
1470,multi_game_llm_fvk2c_demo_profile_00049,"40-year-old, female, Post-graduate degree.",multi_game_demo_source_00770,30-49,female,postgraduate
1479,multi_game_llm_fvk2c_demo_profile_00050,"54-year-old, male, College or university.",multi_game_demo_source_01840,50-64,male,college/postsecondary
149,multi_game_llm_fvk2c_demo_profile_00051,"47-year-old, female, College or university.",multi_game_demo_source_02284,30-49,female,college/postsecondary
1494,multi_game_llm_fvk2c_demo_profile_00052,"27-year-old, female, Post-graduate degree.",multi_game_demo_source_01147,18-29,female,postgraduate
1505,multi_game_llm_fvk2c_demo_profile_00053,"34-year-old, female, Secondary school up to age of 16.",multi_game_demo_source_01378,30-49,female,high school
