metric_family,treatment_name,cell_name,scenario,case,metric,distance_kind,score,generated_n,human_n
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,fairness_offer_wd,wasserstein_1d,0.17599999999999993,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,inequality_tolerance_wd,wasserstein_1d,0.456,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,fairness_wd,mean_wasserstein_1d,0.31599999999999995,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,trust_send_wd,wasserstein_1d,0.15999999999999998,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,trust_wd,mean_wasserstein_1d,0.15999999999999998,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,trustworthiness_return_wd,wasserstein_1d,0.1366666666666667,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,trustworthiness_wd,mean_wasserstein_1d,0.1366666666666667,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,cooperation_pd_wd,wasserstein_1d,0.15999999999999998,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,cooperation_sh_wd,wasserstein_1d,0.03999999999999998,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,cooperation_wd,mean_wasserstein_1d,0.09999999999999998,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,coordination_earth_wd,wasserstein_1d,0.46,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,coordination_wd,mean_wasserstein_1d,0.46,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,fairness_offer_wd,wasserstein_1d,0.184,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,inequality_tolerance_wd,wasserstein_1d,0.404,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,fairness_wd,mean_wasserstein_1d,0.29400000000000004,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,trust_send_wd,wasserstein_1d,0.04000000000000001,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,trust_wd,mean_wasserstein_1d,0.04000000000000001,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,trustworthiness_return_wd,wasserstein_1d,0.07666666666666666,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,trustworthiness_wd,mean_wasserstein_1d,0.07666666666666666,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,cooperation_pd_wd,wasserstein_1d,0.15999999999999998,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,cooperation_sh_wd,wasserstein_1d,0.0,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,cooperation_wd,mean_wasserstein_1d,0.07999999999999999,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,coordination_earth_wd,wasserstein_1d,0.34,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,coordination_wd,mean_wasserstein_1d,0.34,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,fairness_offer_wd,wasserstein_1d,0.132,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,inequality_tolerance_wd,wasserstein_1d,0.20799999999999996,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,fairness_wd,mean_wasserstein_1d,0.16999999999999998,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,trust_send_wd,wasserstein_1d,0.0,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,trust_wd,mean_wasserstein_1d,0.0,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,trustworthiness_return_wd,wasserstein_1d,0.20666666666666667,50,50
