metric_scope,treatment_name,cell_name,scenario,case,metric,generated_value,human_value,abs_error,generated_n,human_n
session,ODP,,,,UGProposer_delegated,1.0,0.36,0.64,50,50
session,ODP,,,,UGResponder_delegated,1.0,0.4,0.6,50,50
session,ODP,,,,TGSender_delegated,0.92,0.52,0.4,50,50
session,ODP,,,,TGReceiver_delegated,0.94,0.46,0.4799999999999999,50,50
session,ODP,,,,PD_delegated,0.98,0.32,0.6599999999999999,50,50
session,ODP,,,,SH_delegated,0.96,0.32,0.6399999999999999,50,50
session,ODP,,,,C_delegated,0.94,0.32,0.6199999999999999,50,50
session,ODU,,,,UGProposer_delegated,1.0,0.38,0.62,50,50
session,ODU,,,,UGResponder_delegated,1.0,0.44,0.56,50,50
session,ODU,,,,TGSender_delegated,0.86,0.66,0.19999999999999996,50,50
session,ODU,,,,TGReceiver_delegated,0.86,0.62,0.24,50,50
session,ODU,,,,PD_delegated,0.9,0.4,0.5,50,50
session,ODU,,,,SH_delegated,0.86,0.3,0.56,50,50
session,ODU,,,,C_delegated,0.8,0.56,0.24,50,50
session,TDP,,,,UGProposer_delegated,1.0,0.28,0.72,50,50
session,TDP,,,,UGResponder_delegated,1.0,0.32,0.6799999999999999,50,50
session,TDP,,,,TGSender_delegated,0.9,0.42,0.48000000000000004,50,50
session,TDP,,,,TGReceiver_delegated,0.96,0.38,0.58,50,50
session,TDP,,,,PD_delegated,0.9,0.28,0.62,50,50
session,TDP,,,,SH_delegated,0.9,0.24,0.66,50,50
session,TDP,,,,C_delegated,0.84,0.52,0.31999999999999995,50,50
session,TDU,,,,UGProposer_delegated,0.94,0.28,0.6599999999999999,50,50
session,TDU,,,,UGResponder_delegated,0.9,0.46,0.44,50,50
session,TDU,,,,TGSender_delegated,0.82,0.54,0.2799999999999999,50,50
session,TDU,,,,TGReceiver_delegated,0.8,0.44,0.36000000000000004,50,50
session,TDU,,,,PD_delegated,0.86,0.34,0.52,50,50
session,TDU,,,,SH_delegated,0.84,0.24,0.6,50,50
session,TDU,,,,C_delegated,0.8,0.48,0.32000000000000006,50,50
