custom_id,input_token_estimate
chip_bargain__chip2_cohort_01_m7xia7_game_1,3101
chip_bargain__chip2_cohort_01_m8aexq_game_1,3109
chip_bargain__chip2_cohort_02_m7xiz2_game_1,3106
chip_bargain__chip2_cohort_02_m8aexq_game_1,3100
chip_bargain__chip2_cohort_03_m8aexq_game_1,3081
chip_bargain__chip2_cohort_04_m7xjm0_game_1,3113
chip_bargain__chip2_cohort_04_m8aexq_game_1,3116
chip_bargain__chip2_cohort_05_m7xjzy_game_1,3085
chip_bargain__chip2_cohort_05_m8aexq_game_1,3100
chip_bargain__chip2_cohort_06_m7xk99_game_1,3110
chip_bargain__chip2_cohort_06_m8ag8i_game_1,3119
chip_bargain__chip2_cohort_07_m8ag8i_game_1,3127
chip_bargain__chip2_cohort_08_m8ag8i_game_1,3115
chip_bargain__chip2_cohort_09_m8ag8i_game_1,3095
chip_bargain__chip2_cohort_11_m8agmu_game_1,3069
chip_bargain__chip2_cohort_12_m8agmu_game_1,3126
chip_bargain__chip2_cohort_13_m8agmu_game_1,3068
chip_bargain__chip2_cohort_14_m8agmu_game_1,3122
chip_bargain__chip2_cohort_15_m8agmu_game_1,3107
chip_bargain__chip2_cohort_16_m8agzl_game_1,3114
chip_bargain__chip2_cohort_17_m8agzl_game_1,3110
chip_bargain__chip2_cohort_18_m8agzl_game_1,3096
chip_bargain__chip2_cohort_19_m8agzl_game_1,3077
chip_bargain__chip2_cohort_20_m8agzl_game_1,3114
chip_bargain__chip2_cohort_01_m7xia7_game_2_alt_profile,3104
chip_bargain__chip2_cohort_01_m8aexq_game_2_alt_profile,3112
chip_bargain__chip2_cohort_02_m7xiz2_game_2_alt_profile,3110
chip_bargain__chip2_cohort_02_m8aexq_game_2_alt_profile,3102
chip_bargain__chip2_cohort_03_m8aexq_game_2_alt_profile,3083
chip_bargain__chip2_cohort_04_m7xjm0_game_2_alt_profile,3116
chip_bargain__chip2_cohort_04_m8aexq_game_2_alt_profile,3120
chip_bargain__chip2_cohort_05_m7xjzy_game_2_alt_profile,3088
