run_name,is_core_run,model,raw_variant_name,canonical_variant,variant_family,profile_source,variant_description,split,selection_mode,selection_rule,repeat_count_mode,selected_game_count,total_request_count,require_valid_starting_players,persona_assignment_file,persona_cards_file,persona_shared_notes_file,batch_input_file,expected_batch_output_file,batch_output_exists,parsed_output_exists,vs_human_results_dir,vs_human_result_manifest_exists,vs_human_num_generated_games,vs_human_num_human_games,vs_human_generated_game_gap,gold_eval_results_dir,gold_eval_manifest_exists,gold_eval_evaluated_requests,notes
baseline_direct_transcript__val__k0__one_per_treatment__validstart__games_40__minrounds_gt_0__repeat_match_valid_start_counts__gpt_5_1,False,gpt-5.1,baseline_direct_transcript,baseline,baseline,none,No player-profile augmentation.,val,one_per_treatment,one earliest-created complete validation game per CONFIG_treatmentName,match_valid_start_treatment_counts,40,417,True,,,,PGG-finetuning/forecasting/batch_input/baseline_direct_transcript__val__k0__one_per_treatment__validstart__games_40__minrounds_gt_0__repeat_match_valid_start_counts__gpt_5_1.jsonl,PGG-finetuning/forecasting/batch_output/baseline_direct_transcript__val__k0__one_per_treatment__validstart__games_40__minrounds_gt_0__repeat_match_valid_start_counts__gpt_5_1.jsonl,False,False,,False,,,,,False,,Legacy or duplicate metadata artifact; not part of the canonical 8-run comparison set. | Registry normalizes a non-canonical manifest variant name. | Baseline uses one exemplar game per treatment and repeats it to match valid-start treatment counts.
baseline_direct_transcript__val__k0__one_per_treatment__validstart__games_40__minrounds_gt_0__repeat_match_valid_start_counts__gpt_5_mini,False,gpt-5-mini,baseline_direct_transcript,baseline,baseline,none,No player-profile augmentation.,val,one_per_treatment,one earliest-created complete validation game per CONFIG_treatmentName,match_valid_start_treatment_counts,40,417,True,,,,PGG-finetuning/forecasting/batch_input/baseline_direct_transcript__val__k0__one_per_treatment__validstart__games_40__minrounds_gt_0__repeat_match_valid_start_counts__gpt_5_mini.jsonl,PGG-finetuning/forecasting/batch_output/baseline_direct_transcript__val__k0__one_per_treatment__validstart__games_40__minrounds_gt_0__repeat_match_valid_start_counts__gpt_5_mini.jsonl,False,False,,False,,,,,False,,Legacy or duplicate metadata artifact; not part of the canonical 8-run comparison set. | Registry normalizes a non-canonical manifest variant name. | Baseline uses one exemplar game per treatment and repeats it to match valid-start treatment counts.
baseline_gpt_5_1,True,gpt-5.1,baseline_direct_transcript,baseline,baseline,none,No player-profile augmentation.,val,one_per_treatment,one earliest-created complete validation game per CONFIG_treatmentName,match_valid_start_treatment_counts,40,417,True,,,,PGG-finetuning/forecasting/batch_input/baseline_gpt_5_1.jsonl,PGG-finetuning/forecasting/batch_output/baseline_gpt_5_1.jsonl,True,True,PGG-finetuning/forecasting/results/baseline_gpt_5_1__vs_human_treatments,True,417,417,0,,False,,Registry normalizes a non-canonical manifest variant name. | Baseline uses one exemplar game per treatment and repeats it to match valid-start treatment counts. | Human reference set uses validation games with valid_number_of_starting_players == True and can still include incomplete games.
baseline_gpt_5_mini,True,gpt-5-mini,baseline_direct_transcript,baseline,baseline,none,No player-profile augmentation.,val,one_per_treatment,one earliest-created complete validation game per CONFIG_treatmentName,match_valid_start_treatment_counts,40,417,True,,,,PGG-finetuning/forecasting/batch_input/baseline_gpt_5_mini.jsonl,PGG-finetuning/forecasting/batch_output/baseline_gpt_5_mini.jsonl,True,True,PGG-finetuning/forecasting/results/baseline_gpt_5_mini__vs_human_treatments,True,417,417,0,,False,,Registry normalizes a non-canonical manifest variant name. | Baseline uses one exemplar game per treatment and repeats it to match valid-start treatment counts. | Human reference set uses validation games with valid_number_of_starting_players == True and can still include incomplete games.
demographic_only_row_resampled_seed_0_gpt_5_1,True,gpt-5.1,demographic_only_row_resampled_seed_0,demographic_only_row_resampled_seed_0,demographic_only,pgg_validation_demographics,Synthetic demographic-only cards resampled from validation-wave PGG demographic rows.,val,full,all valid-start validation games from the assigned profile manifest,fixed,417,417,True,PGG-finetuning/non-PGG_generalization/task_grounding/output/pgg_validation_demographic_only_sampling_row_resampled/seed_0/game_assignments.jsonl,PGG-finetuning/non-PGG_generalization/task_grounding/output/pgg_validation_demographic_only_sampling_row_resampled/seed_0/demographic_profile_cards.jsonl,,PGG-finetuning/forecasting/batch_input/demographic_only_row_resampled_seed_0_gpt_5_1.jsonl,PGG-finetuning/forecasting/batch_output/demographic_only_row_resampled_seed_0_gpt_5_1.jsonl,True,True,PGG-finetuning/forecasting/results/demographic_only_row_resampled_seed_0_gpt_5_1__vs_human_treatments,True,414,417,3,,False,,Augmented runs use the full 417 assigned validation games from seat-level assignment manifests. | Generated/evaluable game count is 3 lower than total requested games. | Human reference set uses validation games with valid_number_of_starting_players == True and can still include incomplete games.
demographic_only_row_resampled_seed_0_gpt_5_mini,True,gpt-5-mini,demographic_only_row_resampled_seed_0,demographic_only_row_resampled_seed_0,demographic_only,pgg_validation_demographics,Synthetic demographic-only cards resampled from validation-wave PGG demographic rows.,val,full,all valid-start validation games from the assigned profile manifest,fixed,417,417,True,PGG-finetuning/non-PGG_generalization/task_grounding/output/pgg_validation_demographic_only_sampling_row_resampled/seed_0/game_assignments.jsonl,PGG-finetuning/non-PGG_generalization/task_grounding/output/pgg_validation_demographic_only_sampling_row_resampled/seed_0/demographic_profile_cards.jsonl,,PGG-finetuning/forecasting/batch_input/demographic_only_row_resampled_seed_0_gpt_5_mini.jsonl,PGG-finetuning/forecasting/batch_output/demographic_only_row_resampled_seed_0_gpt_5_mini.jsonl,True,True,PGG-finetuning/forecasting/results/demographic_only_row_resampled_seed_0_gpt_5_mini__vs_human_treatments,True,417,417,0,,False,,Augmented runs use the full 417 assigned validation games from seat-level assignment manifests. | Human reference set uses validation games with valid_number_of_starting_players == True and can still include incomplete games.
twin_sampled_seed_0_gpt_5_1,True,gpt-5.1,twin-sampled_seed_0,twin_sampled_seed_0,twin_corrected,twin_profiles,Twin-derived persona cards with aggregate age/sex/education correction to the validation PGG distribution.,val,full,all valid-start validation games from the twin persona assignment manifest,fixed,417,417,True,PGG-finetuning/non-PGG_generalization/task_grounding/output/twin_to_pgg_validation_persona_sampling/seed_0/game_assignments.jsonl,PGG-finetuning/non-PGG_generalization/task_grounding/output/twin_extended_profile_cards/pgg_prompt_min/twin_extended_profile_cards.jsonl,PGG-finetuning/non-PGG_generalization/task_grounding/output/twin_extended_profile_cards/pgg_prompt_min/shared_prompt_notes.md,PGG-finetuning/forecasting/batch_input/twin_sampled_seed_0_gpt_5_1.jsonl,PGG-finetuning/forecasting/batch_output/twin_sampled_seed_0_gpt_5_1.jsonl,True,True,PGG-finetuning/forecasting/results/twin_sampled_seed_0_gpt_5_1__vs_human_treatments,True,417,417,0,,False,,Registry normalizes a non-canonical manifest variant name. | Augmented runs use the full 417 assigned validation games from seat-level assignment manifests. | Human reference set uses validation games with valid_number_of_starting_players == True and can still include incomplete games.
twin_sampled_seed_0_gpt_5_mini,True,gpt-5-mini,twin-sampled_seed_0,twin_sampled_seed_0,twin_corrected,twin_profiles,Twin-derived persona cards with aggregate age/sex/education correction to the validation PGG distribution.,val,full,all valid-start validation games from the twin persona assignment manifest,fixed,417,417,True,PGG-finetuning/non-PGG_generalization/task_grounding/output/twin_to_pgg_validation_persona_sampling/seed_0/game_assignments.jsonl,PGG-finetuning/non-PGG_generalization/task_grounding/output/twin_extended_profile_cards/pgg_prompt_min/twin_extended_profile_cards.jsonl,PGG-finetuning/non-PGG_generalization/task_grounding/output/twin_extended_profile_cards/pgg_prompt_min/shared_prompt_notes.md,PGG-finetuning/forecasting/batch_input/twin_sampled_seed_0_gpt_5_mini.jsonl,PGG-finetuning/forecasting/batch_output/twin_sampled_seed_0_gpt_5_mini.jsonl,True,True,PGG-finetuning/forecasting/results/twin_sampled_seed_0_gpt_5_mini__vs_human_treatments,True,417,417,0,,False,,Registry normalizes a non-canonical manifest variant name. | Augmented runs use the full 417 assigned validation games from seat-level assignment manifests. | Human reference set uses validation games with valid_number_of_starting_players == True and can still include incomplete games.
twin_sampled_unadjusted_seed_0_gpt_5_1,True,gpt-5.1,twin-sampled_unadjusted_seed_0,twin_sampled_unadjusted_seed_0,twin_unadjusted,twin_profiles,Twin-derived persona cards without demographic correction.,val,full,all valid-start validation games from the twin persona assignment manifest,fixed,417,417,True,PGG-finetuning/non-PGG_generalization/task_grounding/output/twin_to_pgg_validation_persona_sampling_unadjusted/seed_0/game_assignments.jsonl,PGG-finetuning/non-PGG_generalization/task_grounding/output/twin_extended_profile_cards/pgg_prompt_min/twin_extended_profile_cards.jsonl,PGG-finetuning/non-PGG_generalization/task_grounding/output/twin_extended_profile_cards/pgg_prompt_min/shared_prompt_notes.md,PGG-finetuning/forecasting/batch_input/twin_sampled_unadjusted_seed_0_gpt_5_1.jsonl,PGG-finetuning/forecasting/batch_output/twin_sampled_unadjusted_seed_0_gpt_5_1.jsonl,True,True,PGG-finetuning/forecasting/results/twin_sampled_unadjusted_seed_0_gpt_5_1__vs_human_treatments,True,410,417,7,PGG-finetuning/forecasting/results/twin_sampled_unadjusted_seed_0_gpt_5_1__gold_eval,True,249,Registry normalizes a non-canonical manifest variant name. | Augmented runs use the full 417 assigned validation games from seat-level assignment manifests. | Generated/evaluable game count is 7 lower than total requested games. | Human reference set uses validation games with valid_number_of_starting_players == True and can still include incomplete games.
twin_sampled_unadjusted_seed_0_gpt_5_mini,True,gpt-5-mini,twin-sampled_unadjusted_seed_0,twin_sampled_unadjusted_seed_0,twin_unadjusted,twin_profiles,Twin-derived persona cards without demographic correction.,val,full,all valid-start validation games from the twin persona assignment manifest,fixed,417,417,True,PGG-finetuning/non-PGG_generalization/task_grounding/output/twin_to_pgg_validation_persona_sampling_unadjusted/seed_0/game_assignments.jsonl,PGG-finetuning/non-PGG_generalization/task_grounding/output/twin_extended_profile_cards/pgg_prompt_min/twin_extended_profile_cards.jsonl,PGG-finetuning/non-PGG_generalization/task_grounding/output/twin_extended_profile_cards/pgg_prompt_min/shared_prompt_notes.md,PGG-finetuning/forecasting/batch_input/twin_sampled_unadjusted_seed_0_gpt_5_mini.jsonl,PGG-finetuning/forecasting/batch_output/twin_sampled_unadjusted_seed_0_gpt_5_mini.jsonl,True,True,PGG-finetuning/forecasting/results/twin_sampled_unadjusted_seed_0_gpt_5_mini__vs_human_treatments,True,416,417,1,PGG-finetuning/forecasting/results/twin_sampled_unadjusted_seed_0_gpt_5_mini__gold_eval,True,249,Registry normalizes a non-canonical manifest variant name. | Augmented runs use the full 417 assigned validation games from seat-level assignment manifests. | Generated/evaluable game count is 1 lower than total requested games. | Human reference set uses validation games with valid_number_of_starting_players == True and can still include incomplete games.
