custom_id,estimated_input_chars,estimated_input_tokens_char4
persona_chip_match__pid_222__record_chip2__cohort_01_m7xia7__game_1__p001__g001,17898,4474
persona_chip_match__pid_222__record_chip2__cohort_02_m7xiz2__game_1__p001__g002,18259,4565
persona_chip_match__pid_222__record_chip2__cohort_03_m8aexq__game_1__p001__g003,18313,4578
persona_chip_match__pid_222__record_chip2__cohort_05_m7xjzy__game_1__p001__g004,18257,4564
persona_chip_match__pid_222__record_chip2__cohort_07_m8ag8i__game_1__p001__g005,18421,4605
persona_chip_match__pid_222__record_chip2__cohort_12_m8agmu__game_1__p001__g006,18382,4596
persona_chip_match__pid_222__record_chip2__cohort_14_m8agmu__game_1__p001__g007,18376,4594
persona_chip_match__pid_222__record_chip2__cohort_15_m8agmu__game_1__p001__g008,18439,4610
persona_chip_match__pid_222__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p001__g009,18163,4541
persona_chip_match__pid_222__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p001__g010,18265,4566
persona_chip_match__pid_222__record_chip2__cohort_05_m8aexq__game_2_alt_profile__p001__g011,18396,4599
persona_chip_match__pid_222__record_chip2__cohort_12_m8agmu__game_2_alt_profile__p001__g012,18605,4651
persona_chip_match__pid_222__record_chip2__cohort_14_m8agmu__game_2_alt_profile__p001__g013,18359,4590
persona_chip_match__pid_222__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p001__g014,18188,4547
persona_chip_match__pid_222__record_chip2__cohort_18_m8agzl__game_2_alt_profile__p001__g015,18120,4530
persona_chip_match__pid_222__record_chip2__cohort_20_m8agzl__game_2_alt_profile__p001__g016,18164,4541
persona_chip_match__pid_222__record_chip3__cohort_01_m8aiq8__game_1__p001__g017,18324,4581
persona_chip_match__pid_222__record_chip3__cohort_05_m8aiq8__game_1__p001__g018,18281,4570
persona_chip_match__pid_222__record_chip3__g11_m5wp7b__game_1__p001__g019,18711,4678
persona_chip_match__pid_222__record_chip3__g17_m5wp8w__game_1__p001__g020,18383,4596
persona_chip_match__pid_222__record_chip3__g20_m5wq93__game_1__p001__g021,18454,4614
persona_chip_match__pid_222__record_chip3__g6_m5wp77__game_1__p001__g022,18446,4612
persona_chip_match__pid_222__record_chip3__g7_m5wp78__game_1__p001__g023,18760,4690
persona_chip_match__pid_222__record_chip3__g9_m5wp79__game_1__p001__g024,18347,4587
persona_chip_match__pid_222__record_chip3__cohort_01_m8aiq8__game_2_alt_profile__p001__g025,18113,4528
persona_chip_match__pid_222__record_chip3__cohort_02_m8aiq8__game_2_alt_profile__p001__g026,18299,4575
persona_chip_match__pid_222__record_chip3__cohort_03_m8aiq8__game_2_alt_profile__p001__g027,18177,4544
persona_chip_match__pid_222__record_chip3__cohort_06_m8ak4g__game_2_alt_profile__p001__g028,18407,4602
persona_chip_match__pid_222__record_chip3__g12_m5wp8p__game_2_alt_profile__p001__g029,18199,4550
persona_chip_match__pid_222__record_chip3__g13_m5wp8q__game_2_alt_profile__p001__g030,18811,4703
persona_chip_match__pid_222__record_chip3__g3_m5wp6q__game_2_alt_profile__p001__g031,18649,4662
persona_chip_match__pid_222__record_chip3__g7_m5wp78__game_2_alt_profile__p001__g032,18861,4715
persona_chip_match__pid_222__record_chip4__cohort_02_m89542__game_1__p001__g033,18367,4592
persona_chip_match__pid_222__record_chip4__cohort_04_m8aboy__game_1__p001__g034,18510,4628
