custom_id,persona_pid,persona_source,record_id,unit_id,treatment_name,chip_family,chip_family_display,cohort_name,stage_name,stage_code,experiment_name,players,model,max_persona_chars,top_k,match_rank,player,probability,is_top1,player_key,match_probability,final_surplus,final_welfare,proposer_mean_net_surplus,proposer_acceptance_rate,proposer_mean_trade_ratio,response_acceptance_rate,response_mean_net_surplus_if_accepted,received_trade_rate
persona_chip_match__pid_222__record_chip2__cohort_01_m7xia7__game_1__p001__g001,222,twin_direct_persona_summary,chip2__cohort_01_m7xia7__game_1,chip2__cohort_01_m7xia7__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m7xia7,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""dog-orange-384"", ""buffalo-red-6989"", ""cat-pink-8143""]",gpt-5-mini,0,3,1,cat-pink-8143,0.78,True,chip2__cohort_01_m7xia7__game_1::cat-pink-8143,0.78,-0.5999999999999996,8.4,-0.13333333333333344,0.3333333333333333,1.4444444444444444,0.0,nan,0.0
persona_chip_match__pid_222__record_chip2__cohort_01_m7xia7__game_1__p001__g001,222,twin_direct_persona_summary,chip2__cohort_01_m7xia7__game_1,chip2__cohort_01_m7xia7__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m7xia7,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""dog-orange-384"", ""buffalo-red-6989"", ""cat-pink-8143""]",gpt-5-mini,0,3,2,buffalo-red-6989,0.12,False,chip2__cohort_01_m7xia7__game_1::buffalo-red-6989,0.12,0.0,6.0,0.5333333333333333,0.0,1.0,0.0,nan,0.0
persona_chip_match__pid_222__record_chip2__cohort_01_m7xia7__game_1__p001__g001,222,twin_direct_persona_summary,chip2__cohort_01_m7xia7__game_1,chip2__cohort_01_m7xia7__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m7xia7,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""dog-orange-384"", ""buffalo-red-6989"", ""cat-pink-8143""]",gpt-5-mini,0,3,3,dog-orange-384,0.1,False,chip2__cohort_01_m7xia7__game_1::dog-orange-384,0.1,0.1999999999999993,8.2,0.36666666666666664,0.0,0.8333333333333334,0.16666666666666666,0.19999999999999996,0.16666666666666666
persona_chip_match__pid_222__record_chip2__cohort_02_m7xiz2__game_1__p001__g002,222,twin_direct_persona_summary,chip2__cohort_02_m7xiz2__game_1,chip2__cohort_02_m7xiz2__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 02-m7xiz2,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""otter-blue-1497"", ""peacock-pink-777"", ""badger-red-827""]",gpt-5-mini,0,3,1,otter-blue-1497,0.72,True,chip2__cohort_02_m7xiz2__game_1::otter-blue-1497,0.72,1.0,11.0,0.8333333333333334,0.6666666666666666,0.5888888888888889,0.3333333333333333,-0.25,0.16666666666666666
persona_chip_match__pid_222__record_chip2__cohort_02_m7xiz2__game_1__p001__g002,222,twin_direct_persona_summary,chip2__cohort_02_m7xiz2__game_1,chip2__cohort_02_m7xiz2__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 02-m7xiz2,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""otter-blue-1497"", ""peacock-pink-777"", ""badger-red-827""]",gpt-5-mini,0,3,2,badger-red-827,0.2,False,chip2__cohort_02_m7xiz2__game_1::badger-red-827,0.2,1.0999999999999996,8.1,0.10000000000000002,0.6666666666666666,0.7222222222222222,0.3333333333333333,0.29999999999999993,0.3333333333333333
persona_chip_match__pid_222__record_chip2__cohort_02_m7xiz2__game_1__p001__g002,222,twin_direct_persona_summary,chip2__cohort_02_m7xiz2__game_1,chip2__cohort_02_m7xiz2__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 02-m7xiz2,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""otter-blue-1497"", ""peacock-pink-777"", ""badger-red-827""]",gpt-5-mini,0,3,3,peacock-pink-777,0.08,False,chip2__cohort_02_m7xiz2__game_1::peacock-pink-777,0.08,0.9000000000000004,13.9,1.5999999999999999,0.0,0.8333333333333334,0.16666666666666666,0.9000000000000004,0.16666666666666666
persona_chip_match__pid_222__record_chip2__cohort_03_m8aexq__game_1__p001__g003,222,twin_direct_persona_summary,chip2__cohort_03_m8aexq__game_1,chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 03-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""dog-purple-778"", ""peacock-purple-2249"", ""owl-orange-1045""]",gpt-5-mini,0,3,1,owl-orange-1045,0.6,True,chip2__cohort_03_m8aexq__game_1::owl-orange-1045,0.6,1.5,11.5,1.3333333333333333,0.3333333333333333,0.37222222222222223,0.5,0.6666666666666666,0.3333333333333333
persona_chip_match__pid_222__record_chip2__cohort_03_m8aexq__game_1__p001__g003,222,twin_direct_persona_summary,chip2__cohort_03_m8aexq__game_1,chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 03-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""dog-purple-778"", ""peacock-purple-2249"", ""owl-orange-1045""]",gpt-5-mini,0,3,2,peacock-purple-2249,0.25,False,chip2__cohort_03_m8aexq__game_1::peacock-purple-2249,0.25,0.0,13.0,0.6333333333333335,0.3333333333333333,1.138888888888889,0.16666666666666666,0.10000000000000009,0.16666666666666666
persona_chip_match__pid_222__record_chip2__cohort_03_m8aexq__game_1__p001__g003,222,twin_direct_persona_summary,chip2__cohort_03_m8aexq__game_1,chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 03-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""dog-purple-778"", ""peacock-purple-2249"", ""owl-orange-1045""]",gpt-5-mini,0,3,3,dog-purple-778,0.15,False,chip2__cohort_03_m8aexq__game_1::dog-purple-778,0.15,1.1999999999999993,15.2,1.1666666666666667,0.6666666666666666,1.1666666666666667,0.16666666666666666,-0.20000000000000018,0.16666666666666666
persona_chip_match__pid_222__record_chip2__cohort_05_m7xjzy__game_1__p001__g004,222,twin_direct_persona_summary,chip2__cohort_05_m7xjzy__game_1,chip2__cohort_05_m7xjzy__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 05-m7xjzy,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""owl-yellow-7660"", ""iguana-red-1137"", ""whale-blue-4588""]",gpt-5-mini,0,3,1,owl-yellow-7660,0.7,True,chip2__cohort_05_m7xjzy__game_1::owl-yellow-7660,0.7,0.9000000000000004,8.9,0.7000000000000001,0.6666666666666666,0.9444444444444443,0.16666666666666666,0.19999999999999996,0.16666666666666666
persona_chip_match__pid_222__record_chip2__cohort_05_m7xjzy__game_1__p001__g004,222,twin_direct_persona_summary,chip2__cohort_05_m7xjzy__game_1,chip2__cohort_05_m7xjzy__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 05-m7xjzy,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""owl-yellow-7660"", ""iguana-red-1137"", ""whale-blue-4588""]",gpt-5-mini,0,3,2,whale-blue-4588,0.2,False,chip2__cohort_05_m7xjzy__game_1::whale-blue-4588,0.2,3.8000000000000007,16.8,0.6333333333333334,0.0,0.8666666666666667,0.3333333333333333,1.9000000000000004,0.3333333333333333
persona_chip_match__pid_222__record_chip2__cohort_05_m7xjzy__game_1__p001__g004,222,twin_direct_persona_summary,chip2__cohort_05_m7xjzy__game_1,chip2__cohort_05_m7xjzy__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 05-m7xjzy,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""owl-yellow-7660"", ""iguana-red-1137"", ""whale-blue-4588""]",gpt-5-mini,0,3,3,iguana-red-1137,0.1,False,chip2__cohort_05_m7xjzy__game_1::iguana-red-1137,0.1,2.5999999999999996,8.6,0.9666666666666667,0.6666666666666666,1.1333333333333333,0.16666666666666666,-0.8,0.16666666666666666
