metric_family,metric_scope,metric,distance_kind,n_groups,mean_value,median_value,stderr,run_name
behavior_distribution_distance,distribution,fairness_wd,mean_wasserstein_1d,6,0.2851102040816327,0.2650816326530612,0.0211558604372169,baseline_gpt_5_mini
behavior_distribution_distance,distribution,trust_wd,mean_wasserstein_1d,6,0.2370612244897959,0.24,0.0420463109809995,baseline_gpt_5_mini
behavior_distribution_distance,distribution,trustworthiness_wd,mean_wasserstein_1d,6,0.1562585034013605,0.1479931972789115,0.0111190401622028,baseline_gpt_5_mini
behavior_distribution_distance,distribution,cooperation_wd,mean_wasserstein_1d,6,0.2675306122448979,0.24,0.0314552033995641,baseline_gpt_5_mini
behavior_distribution_distance,distribution,coordination_wd,mean_wasserstein_1d,6,0.2846122448979592,0.32,0.042056182384351,baseline_gpt_5_mini
behavior_distribution_distance,distribution,fairness_offer_wd,wasserstein_1d,6,0.2148408163265306,0.189469387755102,0.0259624630339248,baseline_gpt_5_mini
behavior_distribution_distance,distribution,inequality_tolerance_wd,wasserstein_1d,6,0.3553795918367347,0.3424489795918367,0.0176477184317849,baseline_gpt_5_mini
behavior_distribution_distance,distribution,trust_send_wd,wasserstein_1d,6,0.2370612244897959,0.24,0.0420463109809995,baseline_gpt_5_mini
behavior_distribution_distance,distribution,trustworthiness_return_wd,wasserstein_1d,6,0.1562585034013605,0.1479931972789115,0.0111190401622028,baseline_gpt_5_mini
behavior_distribution_distance,distribution,cooperation_pd_wd,wasserstein_1d,6,0.2806938775510204,0.2885714285714286,0.0245408424908285,baseline_gpt_5_mini
behavior_distribution_distance,distribution,cooperation_sh_wd,wasserstein_1d,6,0.2543673469387755,0.2,0.0560799360729885,baseline_gpt_5_mini
behavior_distribution_distance,distribution,coordination_earth_wd,wasserstein_1d,6,0.2846122448979592,0.32,0.042056182384351,baseline_gpt_5_mini
paper_index_distribution_distance,distribution,delegation_index_wd,wasserstein_1d,4,0.1742857142857142,0.1885714285714285,0.0198976975388344,baseline_gpt_5_mini
paper_index_distribution_distance,distribution,payoff_index_wd,wasserstein_1d,6,0.1483438816576643,0.1415150631681243,0.0163390521824845,baseline_gpt_5_mini
paper_index_distribution_distance,distribution,prosociality_index_wd,wasserstein_1d,6,0.1539701432022084,0.1569444444444444,0.0114335907382438,baseline_gpt_5_mini
paper_index_distribution_distance,distribution,kindness_index_wd,wasserstein_1d,6,0.2564409614856043,0.2666666666666667,0.0218079883130687,baseline_gpt_5_mini
paper_index_distribution_distance,distribution,intentions_index_wd,wasserstein_1d,6,0.181822486927825,0.173234693877551,0.0135610755060852,baseline_gpt_5_mini
paper_index_distribution_distance,distribution,predictability_index_wd,wasserstein_1d,6,0.2716714745338695,0.2746153846153846,0.0267926739934915,baseline_gpt_5_mini
paper_index_distribution_distance,distribution,equality_index_wd,wasserstein_1d,6,0.1698254635293563,0.1516234450769555,0.0230276483331369,baseline_gpt_5_mini
delegation_distribution_distance,distribution,mean_delegation_wd,mean_wasserstein_1d,4,0.3399999999999999,0.3528571428571428,0.0178809365290653,baseline_gpt_5_mini
delegation_distribution_distance,distribution,C_delegated,wasserstein_1d,4,0.12,0.12,0.0416333199893226,baseline_gpt_5_mini
delegation_distribution_distance,distribution,PD_delegated,wasserstein_1d,4,0.525,0.52,0.0492442890089805,baseline_gpt_5_mini
delegation_distribution_distance,distribution,SH_delegated,wasserstein_1d,4,0.3349999999999999,0.32,0.0543905629069357,baseline_gpt_5_mini
delegation_distribution_distance,distribution,TGReceiver_delegated,wasserstein_1d,4,0.195,0.1999999999999999,0.0877021474461524,baseline_gpt_5_mini
delegation_distribution_distance,distribution,TGSender_delegated,wasserstein_1d,4,0.445,0.4499999999999999,0.0349999999999999,baseline_gpt_5_mini
delegation_distribution_distance,distribution,UGProposer_delegated,wasserstein_1d,4,0.415,0.4199999999999999,0.0330403793359983,baseline_gpt_5_mini
delegation_distribution_distance,distribution,UGResponder_delegated,wasserstein_1d,4,0.345,0.3499999999999999,0.055,baseline_gpt_5_mini
scenario_state_distribution_distance,distribution,mean_role_state_tv,total_variation,6,0.4395918367346939,0.44,0.0161465436426484,baseline_gpt_5_mini
scenario_state_distribution_distance,distribution,C_decision_state,total_variation,6,0.2836989795918367,0.3,0.0239019140999182,baseline_gpt_5_mini
scenario_state_distribution_distance,distribution,PD_decision_state,total_variation,6,0.3654336734693877,0.3487755102040816,0.0340969805099698,baseline_gpt_5_mini
scenario_state_distribution_distance,distribution,SH_decision_state,total_variation,6,0.2602295918367347,0.22,0.039315113458548,baseline_gpt_5_mini
scenario_state_distribution_distance,distribution,TGReceiver_decision_state,total_variation,6,0.4516581632653061,0.43,0.0415801317495492,baseline_gpt_5_mini
scenario_state_distribution_distance,distribution,TGSender_decision_state,total_variation,6,0.3194132653061224,0.3,0.0444359651985157,baseline_gpt_5_mini
scenario_state_distribution_distance,distribution,UGProposer_decision_state,total_variation,6,0.5583418367346938,0.54,0.0584270123270996,baseline_gpt_5_mini
scenario_state_distribution_distance,distribution,UGResponder_decision_state,total_variation,6,0.8383673469387756,0.8500000000000001,0.0222992533192886,baseline_gpt_5_mini
scenario_direct_value_distance,distribution,mean_numeric_direct_value_wd,mean_wasserstein_1d,6,1.1463910549888976,1.096666666666667,0.0712362018365109,baseline_gpt_5_mini
scenario_direct_value_distance,distribution,UGProposer_decision_direct,wasserstein_1d,6,0.8491273176467815,0.7581172253847777,0.1151382416656849,baseline_gpt_5_mini
scenario_direct_value_distance,distribution,UGResponder_decision_direct,wasserstein_1d,6,1.6864086970485594,1.667838246409675,0.0734160064408321,baseline_gpt_5_mini
scenario_direct_value_distance,distribution,TGReceiver_decision_direct,wasserstein_1d,6,0.9036371502713516,0.8569387755102041,0.0474947159782499,baseline_gpt_5_mini
behavior_distribution_distance,distribution,fairness_wd,mean_wasserstein_1d,6,0.27085,0.2468837209302326,0.0220351721823432,demographic_only_row_resampled_seed_0_gpt_5_mini
behavior_distribution_distance,distribution,trust_wd,mean_wasserstein_1d,6,0.2508585271317829,0.22,0.041359815368068,demographic_only_row_resampled_seed_0_gpt_5_mini
behavior_distribution_distance,distribution,trustworthiness_wd,mean_wasserstein_1d,6,0.1566818475452196,0.15,0.0136908623636733,demographic_only_row_resampled_seed_0_gpt_5_mini
behavior_distribution_distance,distribution,cooperation_wd,mean_wasserstein_1d,6,0.2656841085271317,0.2376744186046511,0.0318670718699589,demographic_only_row_resampled_seed_0_gpt_5_mini
behavior_distribution_distance,distribution,coordination_wd,mean_wasserstein_1d,6,0.2933740310077519,0.33,0.0433275132542058,demographic_only_row_resampled_seed_0_gpt_5_mini
behavior_distribution_distance,distribution,fairness_offer_wd,wasserstein_1d,6,0.194496511627907,0.1773953488372093,0.0281703666512914,demographic_only_row_resampled_seed_0_gpt_5_mini
behavior_distribution_distance,distribution,inequality_tolerance_wd,wasserstein_1d,6,0.347203488372093,0.328,0.0172292556963782,demographic_only_row_resampled_seed_0_gpt_5_mini
behavior_distribution_distance,distribution,trust_send_wd,wasserstein_1d,6,0.2508585271317829,0.22,0.041359815368068,demographic_only_row_resampled_seed_0_gpt_5_mini
behavior_distribution_distance,distribution,trustworthiness_return_wd,wasserstein_1d,6,0.1566818475452196,0.15,0.0136908623636733,demographic_only_row_resampled_seed_0_gpt_5_mini
behavior_distribution_distance,distribution,cooperation_pd_wd,wasserstein_1d,6,0.3095019379844961,0.3040600775193798,0.0201951635583531,demographic_only_row_resampled_seed_0_gpt_5_mini
behavior_distribution_distance,distribution,cooperation_sh_wd,wasserstein_1d,6,0.2218662790697674,0.15,0.0672860251256993,demographic_only_row_resampled_seed_0_gpt_5_mini
behavior_distribution_distance,distribution,coordination_earth_wd,wasserstein_1d,6,0.2933740310077519,0.33,0.0433275132542058,demographic_only_row_resampled_seed_0_gpt_5_mini
paper_index_distribution_distance,distribution,delegation_index_wd,wasserstein_1d,4,0.1414285714285714,0.1585714285714285,0.0218373704529487,demographic_only_row_resampled_seed_0_gpt_5_mini
paper_index_distribution_distance,distribution,payoff_index_wd,wasserstein_1d,6,0.1468948873965492,0.1341341755749919,0.0155886920734875,demographic_only_row_resampled_seed_0_gpt_5_mini
paper_index_distribution_distance,distribution,prosociality_index_wd,wasserstein_1d,6,0.1551772740508404,0.1496618801143646,0.0098624312742865,demographic_only_row_resampled_seed_0_gpt_5_mini
paper_index_distribution_distance,distribution,kindness_index_wd,wasserstein_1d,6,0.2572782251701479,0.2523255813953489,0.0210294001021176,demographic_only_row_resampled_seed_0_gpt_5_mini
paper_index_distribution_distance,distribution,intentions_index_wd,wasserstein_1d,6,0.1742738477636473,0.1616666666666666,0.0142449534902815,demographic_only_row_resampled_seed_0_gpt_5_mini
