metric_family,metric,distance_kind,n_groups,random_mean,random_median,random_p05,random_p95
behavior_distribution_distance,cooperation_pd_wd,wasserstein_1d,6,0.07614800000000001,0.07600000000000001,0.05000000000000001,0.10200000000000001
behavior_distribution_distance,cooperation_sh_wd,wasserstein_1d,6,0.24498,0.246,0.20790000000000003,0.27999999999999997
behavior_distribution_distance,cooperation_wd,mean_wasserstein_1d,6,0.16056399999999998,0.16099999999999998,0.138,0.182
behavior_distribution_distance,coordination_earth_wd,wasserstein_1d,6,0.42705600000000005,0.42800000000000005,0.4,0.45409999999999995
behavior_distribution_distance,coordination_wd,mean_wasserstein_1d,6,0.42705600000000005,0.42800000000000005,0.4,0.45409999999999995
behavior_distribution_distance,fairness_offer_wd,wasserstein_1d,6,0.42547199999999996,0.4244,0.40357999999999994,0.44921999999999995
behavior_distribution_distance,fairness_wd,mean_wasserstein_1d,6,0.38231360000000003,0.3822,0.3646,0.40101
behavior_distribution_distance,inequality_tolerance_wd,wasserstein_1d,6,0.3391552,0.3388,0.31357999999999997,0.3656
behavior_distribution_distance,trust_send_wd,wasserstein_1d,6,0.1862,0.186,0.15,0.22400000000000003
behavior_distribution_distance,trust_wd,mean_wasserstein_1d,6,0.1862,0.186,0.15,0.22400000000000003
behavior_distribution_distance,trustworthiness_return_wd,wasserstein_1d,6,0.13742,0.13666666666666666,0.123,0.15433333333333332
behavior_distribution_distance,trustworthiness_wd,mean_wasserstein_1d,6,0.13742,0.13666666666666666,0.123,0.15433333333333332
delegation_distribution_distance,C_delegated,wasserstein_1d,4,0.09257000000000003,0.09000000000000002,0.05,0.14
delegation_distribution_distance,PD_delegated,wasserstein_1d,4,0.1683,0.16999999999999998,0.11000000000000003,0.22
delegation_distribution_distance,SH_delegated,wasserstein_1d,4,0.22644999999999998,0.22499999999999998,0.17475000000000002,0.28500000000000003
delegation_distribution_distance,TGReceiver_delegated,wasserstein_1d,4,0.09714,0.09500000000000001,0.05000000000000002,0.14999999999999997
delegation_distribution_distance,TGSender_delegated,wasserstein_1d,4,0.09431999999999997,0.09499999999999999,0.04500000000000001,0.14499999999999996
delegation_distribution_distance,UGProposer_delegated,wasserstein_1d,4,0.17783999999999997,0.17999999999999997,0.11999999999999998,0.235
delegation_distribution_distance,UGResponder_delegated,wasserstein_1d,4,0.10722000000000001,0.10500000000000002,0.06000000000000001,0.16000000000000003
delegation_distribution_distance,mean_delegation_wd,mean_wasserstein_1d,4,0.13769142857142855,0.13857142857142857,0.11714285714285715,0.15357142857142858
paper_index_distribution_distance,delegation_index_wd,wasserstein_1d,4,0.14895999999999998,0.14928571428571427,0.13353571428571429,0.16499999999999998
paper_index_distribution_distance,equality_index_wd,wasserstein_1d,6,0.44305421952914975,0.443310423943332,0.42224531144486,0.4643603972285788
paper_index_distribution_distance,intentions_index_wd,wasserstein_1d,6,0.19849128588138876,0.19815782706138996,0.181500267214221,0.21746016880264057
paper_index_distribution_distance,kindness_index_wd,wasserstein_1d,6,0.18550480249445053,0.18543807346286967,0.1683519590146474,0.20454714410006608
paper_index_distribution_distance,payoff_index_wd,wasserstein_1d,6,0.1138034020120052,0.11357408689060731,0.10264461611270229,0.12514181135262356
paper_index_distribution_distance,predictability_index_wd,wasserstein_1d,6,0.47304019087406035,0.47286426958834077,0.4455258449901193,0.5005731759049773
paper_index_distribution_distance,prosociality_index_wd,wasserstein_1d,6,0.11924293174773828,0.11917183566663381,0.1057917334700223,0.13190189712258762
scenario_direct_value_distance,TGReceiver_decision_direct,wasserstein_1d,6,0.82875522318245,0.8274826584335664,0.7532189591729986,0.9080242573316801
scenario_direct_value_distance,UGProposer_decision_direct,wasserstein_1d,6,2.215271097645749,2.21655211971666,2.1112265572243,2.321801986142894
scenario_direct_value_distance,UGResponder_decision_direct,wasserstein_1d,6,1.7155976987150923,1.709136230114491,1.6106435123461778,1.8416156974124747
scenario_direct_value_distance,mean_numeric_direct_value_wd,mean_wasserstein_1d,6,1.5865413398477635,1.5862549081201907,1.532041932638724,1.6418776624836329
scenario_state_distribution_distance,C_decision_state,total_variation,6,0.4247575,0.425,0.40125,0.4475
scenario_state_distribution_distance,PD_decision_state,total_variation,6,0.10452750000000001,0.105,0.08374999999999999,0.12625
scenario_state_distribution_distance,SH_decision_state,total_variation,6,0.28082,0.28,0.25125,0.3075
scenario_state_distribution_distance,TGReceiver_decision_state,total_variation,6,0.351845,0.3525,0.3275,0.37625000000000003
scenario_state_distribution_distance,TGSender_decision_state,total_variation,6,0.1911975,0.19125,0.1649375,0.21875
scenario_state_distribution_distance,UGProposer_decision_state,total_variation,6,0.65125,0.65125,0.6325,0.6700625
scenario_state_distribution_distance,UGResponder_decision_state,total_variation,6,0.5412875,0.54125,0.51625,0.565
scenario_state_distribution_distance,mean_role_state_tv,total_variation,6,0.3636692857142857,0.36348214285714286,0.3555267857142857,0.3732142857142857
