feature,marginal_tv,n_eval_values,coef_abs_mean,tag
CONFIG_numRounds,0.1090306393383737,10,0.29203678621917245,COMMUNICATION
CONFIG_punishmentExists,0.10181157931472935,2,0.23171118698378354,COMMUNICATION
CONFIG_rewardExists,0.08217158038496225,2,0.19277114153217637,COMMUNICATION
CONFIG_playerCount,0.07399499233116469,10,0.2108262083870137,COMMUNICATION
CONFIG_showOtherSummaries,0.06522169857078158,2,0.14972209595006242,COMMUNICATION
CONFIG_allOrNothing,0.06224677882148212,2,0.1360589642775921,COMMUNICATION
CONFIG_showNRounds,0.059578378826048536,2,0.13534621245887113,COMMUNICATION
CONFIG_punishmentMagnitude,0.051147473367422536,9,0.11913540810366621,COMMUNICATION
CONFIG_MPCR,0.049154489597523846,10,0.12144088261567483,COMMUNICATION
CONFIG_defaultContribProp,0.04040861017841321,2,0.08800783884970441,COMMUNICATION
CONFIG_rewardMagnitude,0.02661191151154325,6,0.06355547919630608,COMMUNICATION
CONFIG_showRewardId,0.019764283708812003,2,0.04385720470014249,COMMUNICATION
CONFIG_showPunishmentId,0.019764283708812003,2,0.04385720470014249,COMMUNICATION
CONFIG_allOrNothing,0.2162437221878034,2,0.6584207718271522,CONTRIBUTION
CONFIG_chat,0.1365980946589701,2,0.3186682364995922,CONTRIBUTION
CONFIG_punishmentExists,0.08672625253689542,2,0.19322402565722768,CONTRIBUTION
CONFIG_rewardExists,0.07988353560139573,2,0.17363651611415912,CONTRIBUTION
CONFIG_numRounds,0.07658388764815317,10,0.18935713103015903,CONTRIBUTION
CONFIG_MPCR,0.0704521687685907,10,0.1920350401368626,CONTRIBUTION
CONFIG_showOtherSummaries,0.047499255193543366,2,0.09745252181030309,CONTRIBUTION
CONFIG_showNRounds,0.04418002179488049,2,0.09937287387085954,CONTRIBUTION
CONFIG_defaultContribProp,0.03868908097113712,2,0.09082957243141117,CONTRIBUTION
CONFIG_playerCount,0.03783855403720782,10,0.10541239326080538,CONTRIBUTION
CONFIG_rewardMagnitude,0.028628300968344636,6,0.07512665979141889,CONTRIBUTION
CONFIG_punishmentMagnitude,0.025876304135017115,9,0.07134901714776234,CONTRIBUTION
CONFIG_showRewardId,0.016949341276133595,2,0.03679176486738777,CONTRIBUTION
CONFIG_showPunishmentId,0.016949341276133595,2,0.03679176486738777,CONTRIBUTION
CONFIG_chat,0.24684413095423813,2,0.604560208967337,PUNISHMENT
CONFIG_rewardExists,0.10530272535216759,2,0.2428125856226365,PUNISHMENT
CONFIG_showOtherSummaries,0.08160423514430537,2,0.2071991234787478,PUNISHMENT
CONFIG_numRounds,0.07888237022692257,10,0.20481862182283336,PUNISHMENT
CONFIG_showNRounds,0.07263709472650107,2,0.15967281143665493,PUNISHMENT
CONFIG_playerCount,0.06022659538563145,10,0.17136449078096821,PUNISHMENT
CONFIG_punishmentMagnitude,0.046276501651787504,9,0.13172164049226537,PUNISHMENT
CONFIG_rewardMagnitude,0.04614008812067171,6,0.11913801175065573,PUNISHMENT
CONFIG_allOrNothing,0.034101003895435855,2,0.08749397441106851,PUNISHMENT
CONFIG_MPCR,0.033865904340504065,10,0.09023386673367612,PUNISHMENT
CONFIG_defaultContribProp,0.03371509533624961,2,0.07995036214677799,PUNISHMENT
CONFIG_showPunishmentId,0.030502855384390203,2,0.07198176181685643,PUNISHMENT
CONFIG_showRewardId,0.030502855384390196,2,0.07198176181685643,PUNISHMENT
CONFIG_punishmentExists,0.15121831534318797,2,0.5263596127262833,RESPONSE_TO_END_GAME
CONFIG_chat,0.15098898208144823,2,0.3506478646751454,RESPONSE_TO_END_GAME
CONFIG_rewardExists,0.11838215905244301,2,0.30240268702377454,RESPONSE_TO_END_GAME
CONFIG_showOtherSummaries,0.08243075463947584,2,0.19884511886746273,RESPONSE_TO_END_GAME
CONFIG_allOrNothing,0.07760758161015242,2,0.16725001463907668,RESPONSE_TO_END_GAME
CONFIG_numRounds,0.0690920076819947,10,0.18016551574912706,RESPONSE_TO_END_GAME
CONFIG_MPCR,0.0647500356430511,10,0.16676759013437312,RESPONSE_TO_END_GAME
CONFIG_punishmentMagnitude,0.05609592863467133,9,0.15053827367439018,RESPONSE_TO_END_GAME
CONFIG_playerCount,0.055363995805497564,10,0.1578068188380631,RESPONSE_TO_END_GAME
CONFIG_rewardMagnitude,0.053742876703653714,6,0.13584918162884804,RESPONSE_TO_END_GAME
CONFIG_defaultContribProp,0.0505280553735433,2,0.1119524730081768,RESPONSE_TO_END_GAME
CONFIG_showRewardId,0.020853367482157503,2,0.04967788359421552,RESPONSE_TO_END_GAME
CONFIG_showPunishmentId,0.020853367482157503,2,0.04967788359421552,RESPONSE_TO_END_GAME
CONFIG_punishmentExists,0.44007190646174027,2,1.8614859402228832,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_chat,0.25256482487613596,2,0.8134366746046864,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_rewardExists,0.1207522776317966,2,0.2653953177690014,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_showNRounds,0.07227200040025944,2,0.1720699027308076,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_numRounds,0.07020513114873922,10,0.18303888630739695,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_allOrNothing,0.05917643305807414,2,0.15516166705138174,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_playerCount,0.05427464938919871,10,0.3730252203968825,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_rewardMagnitude,0.04702556788672245,6,0.16913589250297897,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_MPCR,0.03846005708546207,10,0.09470866323124981,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_defaultContribProp,0.03784546868208726,2,0.10753030461560097,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_punishmentMagnitude,0.03236620386536457,9,0.09349003688642375,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_showPunishmentId,0.029881658146849815,2,0.08901650840328827,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_showRewardId,0.02988165814684981,2,0.08901650840328827,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_chat,0.2383098321426808,2,0.6209854609260215,RESPONSE_TO_PUNISHER
CONFIG_rewardExists,0.11028960037494828,2,0.25831190281739136,RESPONSE_TO_PUNISHER
CONFIG_punishmentMagnitude,0.09503116485536975,9,0.25502174669201955,RESPONSE_TO_PUNISHER
CONFIG_MPCR,0.0925848692002974,10,0.25229371841338033,RESPONSE_TO_PUNISHER
CONFIG_playerCount,0.08196089842888521,9,0.22823627688702375,RESPONSE_TO_PUNISHER
CONFIG_numRounds,0.08170683228063635,10,0.2065953446982095,RESPONSE_TO_PUNISHER
CONFIG_rewardMagnitude,0.080146404427764,6,0.22331453529960357,RESPONSE_TO_PUNISHER
CONFIG_showNRounds,0.07926975556501002,2,0.18412597324393115,RESPONSE_TO_PUNISHER
CONFIG_allOrNothing,0.07926467608290519,2,0.17531816913495563,RESPONSE_TO_PUNISHER
CONFIG_showOtherSummaries,0.07014322588283176,2,0.19593874330867406,RESPONSE_TO_PUNISHER
CONFIG_defaultContribProp,0.06904392012062836,2,0.1557121307503735,RESPONSE_TO_PUNISHER
CONFIG_chat,0.30201697059034255,2,0.9385835543307096,RESPONSE_TO_REWARDER
CONFIG_punishmentExists,0.14736276794700337,2,0.30565171456049706,RESPONSE_TO_REWARDER
CONFIG_showOtherSummaries,0.09991841713775645,2,0.24112936799662935,RESPONSE_TO_REWARDER
CONFIG_allOrNothing,0.09569416591358892,2,0.25199732187670826,RESPONSE_TO_REWARDER
CONFIG_numRounds,0.08220648375462025,10,0.24429149803290728,RESPONSE_TO_REWARDER
CONFIG_rewardMagnitude,0.08033103427549672,6,0.22748888031927506,RESPONSE_TO_REWARDER
CONFIG_playerCount,0.07757753556132065,9,0.2806514941771569,RESPONSE_TO_REWARDER
CONFIG_punishmentMagnitude,0.07612263430881484,12,0.20297958139696382,RESPONSE_TO_REWARDER
CONFIG_MPCR,0.07493130838106554,10,0.17526419351227396,RESPONSE_TO_REWARDER
CONFIG_showNRounds,0.06505562058059204,2,0.13929975146087586,RESPONSE_TO_REWARDER
CONFIG_defaultContribProp,0.05851176223254738,2,0.13615354836043578,RESPONSE_TO_REWARDER
CONFIG_chat,0.20813713623420718,2,0.5466158964741089,REWARD
CONFIG_punishmentExists,0.20324728134392206,2,0.6112656314984518,REWARD
CONFIG_numRounds,0.0956779148267828,10,0.25413167337602727,REWARD
CONFIG_showOtherSummaries,0.09019987817282152,2,0.21640190298060732,REWARD
CONFIG_showNRounds,0.06954618320187848,2,0.18176141077201577,REWARD
CONFIG_rewardMagnitude,0.06201656817692505,6,0.15537173980719068,REWARD
CONFIG_allOrNothing,0.053853823878888624,2,0.12241278772070328,REWARD
CONFIG_MPCR,0.05095417500912223,10,0.13240392579557866,REWARD
CONFIG_punishmentMagnitude,0.04825184672159339,9,0.14690357640446422,REWARD
CONFIG_defaultContribProp,0.0473992166118656,2,0.11856138702055503,REWARD
CONFIG_playerCount,0.042745127124234165,10,0.14353000507569458,REWARD
CONFIG_showRewardId,0.03918915920953524,2,0.09880672958611773,REWARD
CONFIG_showPunishmentId,0.03918915920953524,2,0.09880672958611773,REWARD
