StatementID,TreatmentCode,SubjectID,ID,SH,SH_JUS,AI_SH,AI_SH_JUS
1,ODU,2,36,X,We both make maximum money using X.,X,"Sure, choosing X maximizes my expected payout regardless of the other person's choice."
2,ODU,22,63,X,A little bit of something is better than nothing.,X,I choose X because I will get more ECU in two out of the four possible combinations of choices.
3,ODU,38,45,X,"Hopefully, we can work together and choose X.",X,"Choosing option X results in a higher payout in two of the four possible outcomes, so it seems like the safer choice."
4,ODU,49,31,X,Seems sensible given the information to maximize the reward.,X,Maximizing expected payout.
5,ODU,56,18,Y,More chance of getting ECUs.,X,Maximize expected payout.
6,ODU,58,35,X,Because I already know that the odds are better if  X is chosen.,X,Choosing X results in a higher payout in three of the four possible scenarios.
7,ODU,73,53,X,It's the best for everyone.,X,I choose X because the expected payout is higher.
8,ODU,102,19,X,There is no reason for the other person to select option Y. Option X gives max rewards to both of us with no real risk.,X,"Choose X, best outcome when paired with either choice."
9,ODU,105,62,X,Best chance of fairness.,X,I choose X because I believe that my chances of earning more ECU are higher with this option.
10,ODU,129,48,X,Most return for both.,X,"Choosing option X results in a higher payout on average compared to choosing option Y, regardless of what the other person chooses."
11,ODU,134,12,X,It could lead to the highest payment available.,X,Choosing X guarantees a higher payout (1 ECU) compared to choosing Y (0 ECU) if the other person chooses the other option.
12,ODU,139,35,X,As this is the fairest option for both parties.,X,Choosing X results in a higher payout in three of the four possible scenarios.
13,ODU,163,56,X,It can give the highest payoff to both.,X,"The best option is X, as it provides the highest expected return regardless of the other person's choice."
14,ODU,174,16,X,I want to choose independently so that I am making the decision.,X,Maximizing expected payout.
15,ODU,175,20,X,I can see no reason to choose Y for either of us.,X,"Option X yields the highest expected payout, regardless of the other player's choice."
16,ODU,184,31,X,Hoping that the other picks X as well so we both get money.,X,Maximizing expected payout.
17,ODU,194,27,X,It's a nice letter.,X,I choose X because it provides a higher expected payout than Y.
18,ODU,204,2,X,We both end up with significantly more if we both choose X.,X,"Choosing X gives you the highest expected payoff (4 ECU) and has a higher chance of both players getting 8 ECU, which is the highest payout possible."
19,ODU,206,25,X,More likely that we will both choose X as we will get the most reward.,X,"Choosing option X results in either 8 ECU for both of us, or 1 ECU for me and 5 ECU for the other person. This is better than the 4 ECU we would both get if we both choose Y, and there's a chance we could both get 8 ECU."
20,ODU,223,58,X,Let's hope we both choose X to get maximum ECUs.,X,Choosing X leads to a higher payout on average.
21,ODU,232,47,X,I feel the other person is more likely to choose X.,X,"I choose X because it seems to be the safer option with a guaranteed payout of at least 1 ECU, regardless of the other person's choice."
22,ODU,236,30,X,Hoping they'd think this way.,X,Choosing X results in a higher payout in all scenarios except for when the other person also chooses X.
23,ODU,239,43,X,Best for both parties.,X,I'll maximize my expected earnings by choosing X.
24,ODU,242,34,X,More money for both of us.,X,"Choosing option X results in higher payouts for both choices made by the other person, whereas choosing Y results in lower payouts."
25,ODU,265,55,X,This is the best scenario for everyone to get the most.,X,"Choosing option X gives us the best chance of getting 8 ECU. If the other person chooses Y, we'll still get 1 ECU, which is better than getting 4 ECU if we both choose Y."
26,ODU,269,12,Y,To get the best payout for myself.,X,Choosing X guarantees a higher payout (1 ECU) compared to choosing Y (0 ECU) if the other person chooses the other option.
27,ODU,280,31,X,Choosing X is best for us both and we both will realise this.,X,Maximizing expected payout.
28,ODU,303,4,X,We get the highest amount.,X,Choosing X results in the higher payout in 2 out of the 4 possible outcomes.
29,ODU,319,47,X,Assuming other player will choose option X to gain the highest.,X,"I choose X because it seems to be the safer option with a guaranteed payout of at least 1 ECU, regardless of the other person's choice."
30,ODU,321,48,X,Seems the most beneficial to both.,X,"Choosing option X results in a higher payout on average compared to choosing option Y, regardless of what the other person chooses."
31,ODU,326,36,X,So we both get ECU.,X,"Sure, choosing X maximizes my expected payout regardless of the other person's choice."
32,ODU,333,44,X,Highest potential returns with the maximum certainty possible.,X,I'm going for option X because the expected payout is higher.
33,ODU,334,53,Y,I get at least 4 ECU.,X,I choose X because the expected payout is higher.
34,ODU,362,34,Y,Seems the better option.,X,"Choosing option X results in higher payouts for both choices made by the other person, whereas choosing Y results in lower payouts."
35,ODU,383,57,X,I think we both want the max amount.,X,"Choosing X results in higher payouts on average, regardless of the other player's choice."
36,ODU,386,53,X,X is the obvious most prosperous choice for both parties.,X,I choose X because the expected payout is higher.
37,ODU,387,39,X,A good opportunity to get at least 5 ECU.,X,"Choosing X results in a higher payout in all possible combinations of choices, so it is the more advantageous option."
