StatementID,TreatmentCode,SubjectID,ID,C,C_JUS,AI_C,AI_C_JUS
1,ODU,2,18,earth,We live there so it’s a relatable choice.,saturn,I chose randomly.
2,ODU,5,6,mercury,It was the first on the list. Will it also be first on their list?,mars,I choose it randomly.
3,ODU,22,60,mercury,Equal chances all around.,earth,I choose earth because it sounds like a safe and reliable option.
4,ODU,38,61,earth,"We live on earth, hopefully something we have in common.",mars,Why not! Sounds good to me.
5,ODU,56,24,earth,It seems as if they would pick the more obvious planet.,venus,I randomly selected Venus.
6,ODU,73,50,earth,It's the most obvious choice.,venus,"I chose Venus randomly, no specific reason."
7,ODU,102,10,earth,"Home planet, makes it an obvious choice.",venus,Why not! It's as good as any other option.
8,ODU,111,44,venus,It felt like a more common choice to both get us money.,venus,I picked randomly.
9,ODU,130,38,earth,Don’t know any other planets only earth.,venus,It's just a random choice.
10,ODU,134,62,saturn,I like the photos of Saturn that I have seen.,venus,I choose Venus because it's a planet that I find interesting and I think there's a good chance the other person won't choose it.
11,ODU,160,48,earth,Is where we live and other person may think the same.,earth,I'm feeling Earthy today.
12,ODU,163,44,earth,It is the most focal option.,venus,I picked randomly.
13,ODU,174,19,earth,I decided to choose earth as that is where I have more association.,mars,I just have a gut feeling about it.
14,ODU,194,64,earth,I like the Earth.,mars,Just going with my gut feeling.
15,ODU,239,13,mars,I wanted to make my own decision.,mars,Seems like a good choice.
16,ODU,265,19,mars,I believe this is the one that I am most interested in.,mars,I just have a gut feeling about it.
17,ODU,269,22,venus,To hope that they choose the same.,earth,I choose Earth as it seems like a safe and familiar choice.
18,ODU,296,35,mercury,I would choose the first option and hope the other person does the same.,venus,"I'm going with the middle option, so I have the most chances of earning the higher payout."
19,ODU,303,39,earth,"No justification, I just went with the planet we live on and may be the most common choice.",venus,I just feel like it.
20,ODU,334,51,earth,That's a random choice.,venus,I choose Venus because it sounds like a good option.
21,ODU,362,54,earth,We live on Earth.,earth,Why not? It's my favorite planet.
22,ODU,368,14,earth,It’s our home planet.,earth,I choose earth because it's a safe choice with a decent payout.
23,ODU,369,32,venus,The planet is my favourite.,mars,I choose Mars to maximize my expected earnings.
24,ODU,383,41,earth,The other person will choose earth.,venus,Why not! Sounds like a good choice to me.
25,ODU,451,10,venus,"Just a guess, like playing lotto really.",venus,Why not! It's as good as any other option.
26,ODU,471,43,earth,I have nothing to base my decision on except familiarity with the earth.,venus,Seems like a good choice!
27,ODU,551,30,earth,"It's impossible to know the best choice, but given the central placement and closest-to-home nature of ""earth"", I would guess that people might be more likely to pick this if trying to decide what another person will also pick.",saturn,"I choose randomly, doesn't matter which one."
28,ODU,574,52,earth,More likely to pick the most well-known planet.,venus,I choose Venus because it's a planet that I find interesting and I think it's a good choice to make.
29,ODU,602,27,earth,Seems like the most likely choice to match up.,mars,I prefer to take a risk and go for a different option in hopes of earning more money.
30,ODU,634,45,earth,We live on earth so chose that one.,mars,I just went with my gut feeling.
31,ODU,636,47,earth,It’s the most obvious one to pick.,mercury,"I'm going for the most popular option, that way there's a higher chance of getting 5 ECU."
32,ODU,644,16,earth,This is the planet we live on so it's most likely to be chosen.,earth,"I choose the option with the highest likelihood of providing a payout. Since earth is a common choice, there is a high chance that the other person will also choose earth."
33,ODU,655,19,earth,Most closest planet for me.,mars,I just have a gut feeling about it.
34,ODU,682,24,earth,It is the one I know most about.,venus,I randomly selected Venus.
35,ODU,685,64,earth,I feel like it’s what people would go for.,mars,Just going with my gut feeling.
36,ODU,698,49,mars,It's random which means I may as well guess myself.,venus,"Why not, sounds good!"
37,ODU,706,44,earth,Seems the most likely response.,venus,I picked randomly.
38,ODU,736,56,venus,Drawn to this one.,venus,I'm feeling lucky today!
39,ODU,754,24,earth,I know more about Earth.,venus,I randomly selected Venus.
40,ODU,760,64,earth,It's multiple choice so I chose the planet we live on.,mars,Just going with my gut feeling.
41,ODU,776,22,venus,They will probably his top pick too as at top of the chart.,earth,I choose Earth as it seems like a safe and familiar choice.
42,ODU,793,51,venus,"Random really, women are from Venus and I'm a woman!",venus,I choose Venus because it sounds like a good option.
43,ODU,812,45,earth,Since it is the planet we live on.,mars,I just went with my gut feeling.
44,ODU,813,14,earth,No particular reason this time.,earth,I choose earth because it's a safe choice with a decent payout.
45,ODU,821,27,earth,We live on earth.,mars,I prefer to take a risk and go for a different option in hopes of earning more money.
46,ODU,832,57,earth,I believe we are self-focused so would naturally choose earth as it's where we live and focus our lives around being on.,mars,I just randomly picked one.
47,ODU,901,43,earth,I think that earth is the most likely choice by a person.,venus,Seems like a good choice!
48,ODU,953,7,earth,Because it's the planet we are both from.,mars,I choose Mars because it sounds like a good option.
49,ODU,968,25,earth,I hope the other person chooses earth also. It’s our home planet.,venus,I choose Venus as it seems like a good option to maximize potential earnings.
50,ODU,998,37,earth,Most obvious choice?,venus,Why not! Venus sounds like a good option.
51,ODU,1004,10,earth,Earth is a great place to live.,venus,Why not! It's as good as any other option.
52,ODU,1043,50,earth,"If I have to assume what the other person will choose, I would go with Earth because that's the option that every human will have the most relatability to.",venus,"I chose Venus randomly, no specific reason."
53,ODU,1056,13,earth,Middle one and our planet.,mars,Seems like a good choice.
54,ODU,1059,57,mars,Just was the one that stood out to me from the list.,mars,I just randomly picked one.
55,ODU,1070,59,earth,Planet we live on.,venus,I choose Venus because it is a familiar name and I have a positive association with it.
56,ODU,1088,34,earth,Seems the most likely outcome.,mars,I choose randomly.
57,ODU,1097,35,earth,This seems like the obvious choice to make.,venus,"I'm going with the middle option, so I have the most chances of earning the higher payout."
58,ODU,1110,61,earth,Felt it was most likely to be selected.,mars,Why not! Sounds good to me.
59,ODU,1122,64,earth,Think a person is most likely to choose earth.,mars,Just going with my gut feeling.
60,ODU,1128,10,earth,1 in 5 chance.,venus,Why not! It's as good as any other option.
61,ODU,1130,35,earth,The most obvious one to choose.,venus,"I'm going with the middle option, so I have the most chances of earning the higher payout."
62,ODU,1151,64,earth,Most familiar with earth.,mars,Just going with my gut feeling.
63,ODU,1161,20,earth,"Most familiar, it's the planet we live on, first in order that can sustain life.",mars,I like the sound of Mars.
64,ODU,1169,35,earth,"Since we live on it, I think 'Earth' is the most suitable option here.",venus,"I'm going with the middle option, so I have the most chances of earning the higher payout."
65,ODU,1173,19,earth,"Doesn't really matter, 20% chance of matching.",mars,I just have a gut feeling about it.
66,ODU,1187,46,earth,Because earth is the planet we live on.,earth,Why not? It's a safe choice and has a chance of getting 5 ECU.
67,ODU,1193,24,earth,I live on earth that's why.,venus,I randomly selected Venus.
68,ODU,1212,51,earth,I have no knowledge of the other planets.,venus,I choose Venus because it sounds like a good option.
69,ODU,1218,52,earth,I live on earth.,venus,I choose Venus because it's a planet that I find interesting and I think it's a good choice to make.
70,ODU,1249,15,earth,It's our home planet! And it's the middle option in the list.,mars,I choose mars randomly.
71,ODU,1313,64,earth,There is little to lose as there are many choices.,mars,Just going with my gut feeling.
72,ODU,1340,42,earth,I wanted to choose as it is fun and I chose earth as I think it is what the other might choose.,venus,No problem. I choose Venus because I believe it will give me the best chance of earning money in this game.
73,ODU,1341,62,earth,"Our planet, seems most likely.",venus,I choose Venus because it's a planet that I find interesting and I think there's a good chance the other person won't choose it.
74,ODU,1345,48,earth,I felt earth was the most reasonable answer.,earth,I'm feeling Earthy today.
75,ODU,1369,13,earth,"Hopefully, the other person will choose the same.",mars,Seems like a good choice.
76,ODU,1382,12,earth,Earth is the only common answer for 2 people to give.,mars,I choose randomly.
77,ODU,1385,58,earth,The only planet with human life.,earth,I'll pick earth as my choice.
78,ODU,1393,54,venus,The planet of love - I feel intuitively that this is the planet my partner would select.,earth,Why not? It's my favorite planet.
79,ODU,1402,60,earth,It's what we live on so I feel like it's the most likely for both of us to pick it.,earth,I choose earth because it sounds like a safe and reliable option.
80,ODU,1434,18,earth,I would think we would choose our own planet.,saturn,I chose randomly.
81,ODU,1445,13,earth,We all have earth in common.,mars,Seems like a good choice.
82,ODU,1488,5,earth,The person exists on earth and so I think they’d be more likely to choose this option.,earth,"I choose the option that is most recognizable and commonly known to increase the likelihood of the other person choosing a different option, thus earning 2 ECU instead of 5."
83,ODU,1506,43,venus,It’s my favourite planet.,venus,Seems like a good choice!
84,ODU,1520,51,earth,It’s where we live.,venus,I choose Venus because it sounds like a good option.
85,ODU,1552,35,earth,Earth is the planet I'm from.,venus,"I'm going with the middle option, so I have the most chances of earning the higher payout."
86,ODU,1589,2,mars,It seems the best option.,mars,I prefer this option to increase the chance of earning 2 ECU if the other person doesn't choose it.
87,ODU,1601,61,earth,Hope that the other player would choose the most familiar planet.,mars,Why not! Sounds good to me.
88,ODU,1646,57,earth,Most likely to be guessed.,mars,I just randomly picked one.
89,ODU,1656,39,earth,I’m guessing the other person chooses earth.,venus,I just feel like it.
90,ODU,1677,50,earth,Hoping we are both more likely to choose our home planet.,venus,"I chose Venus randomly, no specific reason."
91,ODU,1701,60,earth,We live on this planet!,earth,I choose earth because it sounds like a safe and reliable option.
92,ODU,1704,41,earth,I think it is likely the other person will also choose Earth.,venus,Why not! Sounds like a good choice to me.
93,ODU,1745,38,earth,This was more of a random choice.,venus,It's just a random choice.
94,ODU,1765,50,earth,It's what most people would pick on average.,venus,"I chose Venus randomly, no specific reason."
95,ODU,1775,35,mars,"No real justification, just picked at random.",venus,"I'm going with the middle option, so I have the most chances of earning the higher payout."
96,ODU,1792,43,earth,"Our planet, hopefully most likely to be chosen.",venus,Seems like a good choice!
97,ODU,1796,9,earth,I picked the planet that I liked the most.,mars,I choose Mars because it seems like a good option.
98,ODU,1809,60,earth,I am more familiar with the earth than the other planets.,earth,I choose earth because it sounds like a safe and reliable option.
99,ODU,1844,6,venus,I chose Venus as it's related to the goddess of love.,mars,I choose it randomly.
100,ODU,1854,33,earth,It's our home planet so I think most people would choose it.,venus,"I choose Venus because it doesn't matter what the other person chooses. If we choose the same, we both get 5 ECU. If we choose different, we still both get 2 ECU."
101,ODU,1879,57,earth,It is completely random except for the fact they might choose the place we live on.,mars,I just randomly picked one.
102,ODU,1916,58,earth,I like this option.,earth,I'll pick earth as my choice.
103,ODU,1932,39,earth,Earth might be the most common choice.,venus,I just feel like it.
104,ODU,1955,32,earth,"Any choice seems as likely as the others, I've picked earth purely because it seems like a more familiar choice, but I've no real idea which is more likely.",mars,I choose Mars to maximize my expected earnings.
105,ODU,1961,34,earth,Seems the obvious choice of planets to go for out of all of them.,mars,I choose randomly.
106,ODU,2009,6,earth,The one thing we should have in common out of the 5.,mars,I choose it randomly.
107,ODU,2011,30,mars,"Mars is a popular planet due to the whole Elon Musk plans, earth is more generic but probably the second most likely choice.",saturn,"I choose randomly, doesn't matter which one."
108,ODU,2026,25,earth,Choose most familiar option.,venus,I choose Venus as it seems like a good option to maximize potential earnings.
109,ODU,2034,16,earth,Our planet - sounds obvious.,earth,"I choose the option with the highest likelihood of providing a payout. Since earth is a common choice, there is a high chance that the other person will also choose earth."
110,ODU,2041,45,earth,I believe it's most likely that people will choose our planet where we live.,mars,I just went with my gut feeling.
111,ODU,2095,7,earth,I think the other person would most likely choose earth.,mars,I choose Mars because it sounds like a good option.
112,ODU,2105,35,venus,"A planet often visible from my window, so instinctive.",venus,"I'm going with the middle option, so I have the most chances of earning the higher payout."
113,ODU,2138,53,earth,I think this is an option based on chance response.,venus,Why not! Let's go with Venus.
114,ODU,2155,33,earth,I'm an earthly inhabitant.,venus,"I choose Venus because it doesn't matter what the other person chooses. If we choose the same, we both get 5 ECU. If we choose different, we still both get 2 ECU."
115,ODU,2176,61,earth,It was a random choice.,mars,Why not! Sounds good to me.
116,ODU,2180,62,earth,Middle choice to try and make it fair.,venus,I choose Venus because it's a planet that I find interesting and I think there's a good chance the other person won't choose it.
117,ODU,2199,53,venus,I was born under Venus regarding horoscope and it affects the way I make decisions in my life.,venus,Why not! Let's go with Venus.
118,ODU,2239,56,venus,I just chose my favourite planet!,venus,I'm feeling lucky today!
