StatementID,TreatmentCode,SubjectID,ID,TGSender,TGSender_JUS,AI_TGSender,AI_TGSender_JUS,StatementID2,SubjectID2,ID2,TGReceiver,TGReceiver_JUS,AI_TGReceiver,AI_TGReceiver_JUS
1,ODU,17,56,No,I don't trust the other player not to be selfish.,Yes,I want to cooperate.,1,2,58,2,Sending their investment back.,2,"It's a fair balance, returning an equal amount to what was transferred."
2,ODU,22,51,Yes,Taking a chance on the generosity of human nature.,Yes,I trust the receiver to return some ECU to me.,2,17,18,0,"By returning nothing, I gain the most.",2,I'm maximizing my own earnings.
3,ODU,25,39,Yes,I am hopeful that the receiver will send back at least the 2 ECU that I sent from the 6 ECU that they received.,Yes,I want to trust the receiver and believe that they will return some of the money.,3,22,61,3,Trying to be fair.,0,I keep all 6 ECU.
4,ODU,35,5,Yes,I could profit more.,Yes,"I trust that the receiver will return some of the tripled amount, resulting in a higher overall payout for both of us.",4,25,38,2,I am hopeful that the sender will send the 2 ECU in which case I have returned the 2 ECU so that they do not lose any.,2,"I'm trying to maximize my own payout while also being fair to the sender. If I return 2 ECU, then we both end up with the same amount we started with (5 ECU). This seems like a fair outcome."
5,ODU,36,22,Yes,Most logical way for us both to make more money in the long run.,Yes,I expect a positive return.,5,35,6,3,We both gain the same.,2,Maximizing personal gain.
6,ODU,56,60,Yes,More is received back.,Yes,I trust the receiver to make a fair decision.,6,38,35,4,Trying to be fair.,2,This maximizes mutual benefit and shows trust in the sender.
7,ODU,111,16,Yes,"Hopefully, they will return in kind.",Yes,It's a potentially profitable move.,7,73,33,3,"We split the 6 ECU, I get profit, they get a small profit but better than returning nothing.",2,"The amount of the sender's transfer is tripled, so the receiver will get 6 ECU if the sender transfers 2 ECU. By returning 2 ECU to the sender, both parties will have the same amount they started with: 5 ECU."
8,ODU,163,46,Yes,The other person is likely to reciprocate and share the 6 equally.,Yes,I'm feeling generous.,8,102,35,4,I'm going to even it up and make sure both of us get 7 each.,2,This maximizes mutual benefit and shows trust in the sender.
9,ODU,177,58,Yes,Seems like the easiest thing to do in a complex scenario.,Yes,I want to help the receiver and trust that they will return some of the amount to me.,9,111,31,2,Seems like a fair amount.,0,I'm keeping all of it.
10,ODU,184,9,Yes,I think the other will be fair and send back half.,Yes,I choose to trust the receiver and believe they will return some of the money.,10,139,39,3,As a think this is the fairest thing to do.,4,"I choose to return 4 ECU to the sender because it's a fair amount that balances self-interest and reciprocity. By returning 4 ECU, I can keep 2 ECU for myself while still showing appreciation for the sender's trust in me by returning a portion of the tripled transfer."
