StatementID,TreatmentCode,SubjectID,ID,PD,PD_JUS,AI_PD,AI_PD_JUS
1,ODU,2,9,B,I can’t earn less (probably bad choice).,A,"I would choose option A as it offers a higher payout than option B when the other player also chooses A, and a slightly lower payout than option B when the other player chooses B."
2,ODU,5,61,A,I want us both to do well.,A,"The expected value of choosing A is 4 ECU, while the expected value of choosing B is 4 ECU as well."
3,ODU,17,24,B,Larger gain if other player chooses B.,A,Choosing A minimizes the potential loss and maximizes the potential gain in the interaction.
4,ODU,25,24,B,Either way I will receive a higher amount than if I choose A and the other chooses B.,A,Choosing A minimizes the potential loss and maximizes the potential gain in the interaction.
5,ODU,30,51,B,Safest option on pay.,A,"I choose A because, on average, I'll earn more ECU if I choose A compared to choosing B."
6,ODU,38,35,A,It seems to be the fairest answer.,A,"Option A provides a better outcome if the other person chooses A as well, earning both 5 ECU, and a less severe loss if they choose B, earning 1 ECU instead of 3 ECU."
7,ODU,73,63,A,It's the best result for us both.,A,I'll choose option A because it gives me a higher expected payout than option B regardless of the other person's choice.
8,ODU,105,53,A,Best chance of fairness.,A,The expected value of A is greater than B.
9,ODU,111,53,B,Either I get an ok amount or a lot.,A,The expected value of A is greater than B.
10,ODU,129,51,A,We would both win a larger amount.,A,"I choose A because, on average, I'll earn more ECU if I choose A compared to choosing B."
11,ODU,134,51,B,I would stand more chance of getting a good amount of ECU by choosing B.,A,"I choose A because, on average, I'll earn more ECU if I choose A compared to choosing B."
12,ODU,163,33,A,It can be exploited but it is the best option for the two of us.,A,I prefer option A because it has the highest expected value.
13,ODU,194,2,A,It's the first letter.,A,"Choosing A gives a guaranteed outcome of 5 ECU regardless of the other person's choice, while choosing B gives a best-case outcome of 3 ECU and a worst-case outcome of 1 ECU."
14,ODU,204,10,B,I think the average result will be higher for me.,A,The expected payout for choosing A is higher than for choosing B.
15,ODU,232,32,A,I feel it is the best outcome for both.,A,I choose option A because I would rather have a guaranteed payout of 5 ECU rather than a potential payout of 3 ECU.
16,ODU,265,7,A,We both get the same this way. I’m not greedy.,A,I choose option A to maximize my expected payout.
17,ODU,276,35,A,Best offer for both of us.,A,"Option A provides a better outcome if the other person chooses A as well, earning both 5 ECU, and a less severe loss if they choose B, earning 1 ECU instead of 3 ECU."
18,ODU,280,36,A,"I thought that the self interested position was for me to choose B - and thought that the other party would think the same - and, like me, be mindful if we both go for A we both do pretty well and also can be a bit altruistic.",A,"I choose A because I want to minimize the chances of getting only 1 ECU, which happens if the other person chooses B and I choose A. By choosing A, I ensure that I will get at least 3 ECU even if the other person also chooses A."
19,ODU,288,58,B,I would hope the other person is willing to share.,A,"Sure, option A is the safe choice as it guarantees a minimum payout of 1 ECU, whereas choosing option B could result in earning as little as 3 ECU."
20,ODU,298,46,A,We both might get the same amount.,A,"I choose A because it gives me a higher expected payout than choosing B, no matter what the other person chooses."
21,ODU,303,12,A,We both get 5; it’s a no brainer.,A,Because option A has higher expected value.
22,ODU,317,12,B,Best chance to increase my balance.,A,Because option A has higher expected value.
23,ODU,322,10,B,"Overall higher amount, less risk.",A,The expected payout for choosing A is higher than for choosing B.
24,ODU,326,37,A,So we both get ECU.,A,"I choose option A because the expected payout is higher compared to option B. If both I and the other person choose option A, we both get 5 ECU, and if the other person chooses option B, I get 1 ECU and the other person gets 8 ECU. The average of these two outcomes is (5 + 1)/2 = 3 ECU. So the expected payout for option A is higher."
25,ODU,333,39,A,This offers us both maximum payment though there is a risk I will get the smaller payment.,A,I would choose A because it offers the highest expected payout regardless of the other person's choice.
26,ODU,334,33,B,I get at least 3 ECU.,A,I prefer option A because it has the highest expected value.
27,ODU,337,18,A,Seems the best odds for gaining the bonus.,A,Choosing option A minimizes the risk of getting the lowest reward.
28,ODU,362,36,B,I would prefer B as I can't split halfway.,A,"I choose A because I want to minimize the chances of getting only 1 ECU, which happens if the other person chooses B and I choose A. By choosing A, I ensure that I will get at least 3 ECU even if the other person also chooses A."
29,ODU,370,62,B,Best chance of us both getting a fair share.,A,"The expected value of choosing A is 4 ECU, while the expected value of choosing B is 4 ECU. Therefore, I don't have a preference for either option, but I'll choose A because it's easier to type."
30,ODU,376,57,B,This is the option where I am likely to get the best odds of having more ECU.,A,"Sure, I choose A because it gives me a better chance of earning at least 5 ECU, even if the other person chooses B."
31,ODU,383,40,A,We will both want to receive ECU.,A,"I choose option A because it results in either both parties earning 5 ECU or me earning 1 ECU, which is a safer choice compared to choosing option B, where there is a risk of earning only 3 ECU."
32,ODU,386,37,B,Attempt to take top money!,A,"I choose option A because the expected payout is higher compared to option B. If both I and the other person choose option A, we both get 5 ECU, and if the other person chooses option B, I get 1 ECU and the other person gets 8 ECU. The average of these two outcomes is (5 + 1)/2 = 3 ECU. So the expected payout for option A is higher."
33,ODU,387,27,A,Hoping to choose the same as the other person.,A,Choosing A results in the highest average payout.
34,ODU,429,2,A,We can both benefit from A.,A,"Choosing A gives a guaranteed outcome of 5 ECU regardless of the other person's choice, while choosing B gives a best-case outcome of 3 ECU and a worst-case outcome of 1 ECU."
35,ODU,490,6,A,It’s the most profitable option for us both equally.,A,Option A provides a better expected return than option B.
36,ODU,514,59,A,Fair to both of us.,A,5 ECU is the highest mutual payout.
37,ODU,551,18,A,"This was hard. There's a good chance that someone else will choose B to gain the most personally at relatively little risk, but my experience with other prolific users suggests that people tend towards co-operation for maximum overall reward, so I'll guess that they will choose A. Making the same choice maximises our overall reward.",A,Choosing option A minimizes the risk of getting the lowest reward.
38,ODU,564,35,A,It is the first option.,A,"Option A provides a better outcome if the other person chooses A as well, earning both 5 ECU, and a less severe loss if they choose B, earning 1 ECU instead of 3 ECU."
39,ODU,566,6,A,I would hope the other person chooses A.,A,Option A provides a better expected return than option B.
40,ODU,590,52,A,So we both have a chance of getting 5.,A,I'd rather have 5 ECU than 3 ECU.
41,ODU,602,13,B,I stand to make more ECU with B.,A,"Mathematically speaking, Option A provides a higher expected value (5 ECU) compared to option B (3 ECU) regardless of the other person's choice."
42,ODU,604,20,B,Will get either 3 or 8 ECU.,A,"Choose A as it leads to the highest expected payout (5 ECU) if the other person also chooses A, and the lowest payout (1 ECU) if the other person chooses B."
43,ODU,619,37,A,If we both select A we'll get more than if we both select B.,A,"I choose option A because the expected payout is higher compared to option B. If both I and the other person choose option A, we both get 5 ECU, and if the other person chooses option B, I get 1 ECU and the other person gets 8 ECU. The average of these two outcomes is (5 + 1)/2 = 3 ECU. So the expected payout for option A is higher."
44,ODU,633,39,A,I get a good amount.,A,I would choose A because it offers the highest expected payout regardless of the other person's choice.
45,ODU,636,38,A,The reward is higher.,A,"Choosing option A maximizes the minimum payoff that can be earned, regardless of the other player's choice. This means that if the other player chooses A, both players will earn 5 ECU, and if the other player chooses B, the player choosing A will still earn 1 ECU, which is the highest possible payoff in that scenario."
46,ODU,644,42,A,It's the best option in the interest of everybody.,A,"Sure. Option A is the dominant strategy because it leads to the highest minimum payoff, regardless of the other person's choice. If the other person chooses A, both receive 5 ECU. If the other person chooses B, I receive 1 ECU. So no matter what, I will receive at least 1 ECU."
47,ODU,645,53,A,Hoping we both get 5.,A,The expected value of A is greater than B.
48,ODU,654,2,A,I wanted the control over the situation.,A,"Choosing A gives a guaranteed outcome of 5 ECU regardless of the other person's choice, while choosing B gives a best-case outcome of 3 ECU and a worst-case outcome of 1 ECU."
49,ODU,655,33,A,Better option to earn for us both.,A,I prefer option A because it has the highest expected value.
50,ODU,656,18,B,I get more ECU with B.,A,Choosing option A minimizes the risk of getting the lowest reward.
51,ODU,698,12,A,It seems the best bet.,A,Because option A has higher expected value.
52,ODU,703,51,B,It seemed I would get more ECU on average when choosing B.,A,"I choose A because, on average, I'll earn more ECU if I choose A compared to choosing B."
53,ODU,706,50,B,8 or 3 is objectively better than 1 or 5.,A,I prefer option A because it gives me a higher expected payout.
54,ODU,717,61,A,The highest outcome for both players.,A,"The expected value of choosing A is 4 ECU, while the expected value of choosing B is 4 ECU as well."
55,ODU,723,24,A,Hope the other person will do the same.,A,Choosing A minimizes the potential loss and maximizes the potential gain in the interaction.
56,ODU,754,25,A,50/50 chance so went with gut instinct.,A,I choose option A because it gives me the best expected payout regardless of what the other person chooses.
57,ODU,755,45,A,I think that it is fair to split the ECU equally.,A,"Choosing option A gives me the best expected payoff, regardless of what the other person chooses."
58,ODU,768,30,B,I don't trust the other person to split.,A,"I want to maximize my earnings and in this case, choosing A leads to higher expected earnings."
59,ODU,776,34,B,I like a risk.,A,5 ECU is the maximum I can earn.
60,ODU,786,32,A,To give us both the higher option.,A,I choose option A because I would rather have a guaranteed payout of 5 ECU rather than a potential payout of 3 ECU.
61,ODU,803,15,A,A is the fair option for both.,A,"Choosing option A is the dominant strategy in this situation, as it guarantees a positive payout no matter what the other person chooses. If the other person also chooses A, both of you get 5 ECU. If the other person chooses B, I still get a payout of 1 ECU, which is better than getting 0 ECU for choosing option B."
62,ODU,828,6,B,We both get equal ECU.,A,Option A provides a better expected return than option B.
63,ODU,832,58,A,I believe it would be unfair for one person to get 1 and the other 8 for no real reason.,A,"Sure, option A is the safe choice as it guarantees a minimum payout of 1 ECU, whereas choosing option B could result in earning as little as 3 ECU."
64,ODU,855,33,B,"Because I will definitely get 3 ECU, and potentially 8.",A,I prefer option A because it has the highest expected value.
65,ODU,882,60,A,Would hope the person would see the guaranteed benefit for both.,A,I prefer option A as it guarantees a payout of at least 1 ECU regardless of the other person's choice.
66,ODU,927,30,A,We both get equal amount to be fair.,A,"I want to maximize my earnings and in this case, choosing A leads to higher expected earnings."
67,ODU,946,27,A,I wanted to have the fairest choice.,A,Choosing A results in the highest average payout.
68,ODU,960,41,A,Would prefer to make my own choice on this one.,A,"Option A provides a higher expected payout of 5 ECU, compared to 3 ECU for choosing option B. This makes option A the more favorable choice."
69,ODU,975,37,A,Both choose the same to get equal ECU.,A,"I choose option A because the expected payout is higher compared to option B. If both I and the other person choose option A, we both get 5 ECU, and if the other person chooses option B, I get 1 ECU and the other person gets 8 ECU. The average of these two outcomes is (5 + 1)/2 = 3 ECU. So the expected payout for option A is higher."
70,ODU,979,42,A,This maximises the possible gains.,A,"Sure. Option A is the dominant strategy because it leads to the highest minimum payoff, regardless of the other person's choice. If the other person chooses A, both receive 5 ECU. If the other person chooses B, I receive 1 ECU. So no matter what, I will receive at least 1 ECU."
71,ODU,994,37,A,Option A is the most favorable option to us both based on statistics and represents what most people will go for when presented with this question.,A,"I choose option A because the expected payout is higher compared to option B. If both I and the other person choose option A, we both get 5 ECU, and if the other person chooses option B, I get 1 ECU and the other person gets 8 ECU. The average of these two outcomes is (5 + 1)/2 = 3 ECU. So the expected payout for option A is higher."
72,ODU,998,18,A,Hoping for a fair opponent and best case for us both.,A,Choosing option A minimizes the risk of getting the lowest reward.
73,ODU,1034,64,B,It get the most.,A,"The expected payout for choosing A is 4 ECU, which is higher than the expected payout for choosing B (3 ECU)."
74,ODU,1059,39,A,Make the most guaranteed money - other options too risky.,A,I would choose A because it offers the highest expected payout regardless of the other person's choice.
75,ODU,1070,10,A,Split it in half so it is fair.,A,The expected payout for choosing A is higher than for choosing B.
76,ODU,1088,36,A,Seems the most likely outcome.,A,"I choose A because I want to minimize the chances of getting only 1 ECU, which happens if the other person chooses B and I choose A. By choosing A, I ensure that I will get at least 3 ECU even if the other person also chooses A."
77,ODU,1097,57,B,This has the highest payout on average.,A,"Sure, I choose A because it gives me a better chance of earning at least 5 ECU, even if the other person chooses B."
78,ODU,1109,48,A,In this scenario I'd hope the other person would do the fairest thing.,A,I prefer option A because it gives me a chance to earn a higher payout regardless of the other person's choice.
79,ODU,1110,41,A,So that we both get a reasonable amount.,A,"Option A provides a higher expected payout of 5 ECU, compared to 3 ECU for choosing option B. This makes option A the more favorable choice."
80,ODU,1130,46,A,Hope they know the prisoner's dilemma.,A,"I choose A because it gives me a higher expected payout than choosing B, no matter what the other person chooses."
81,ODU,1140,62,A,"Again, I'd prefer to share the reward.",A,"The expected value of choosing A is 4 ECU, while the expected value of choosing B is 4 ECU. Therefore, I don't have a preference for either option, but I'll choose A because it's easier to type."
82,ODU,1141,4,A,A is the better chance of us both getting extra money.,A,"Choosing A provides a higher payout on average compared to choosing B, regardless of the other person's choice."
83,ODU,1148,43,A,We both gain more.,A,"Choosing A maximizes the payout in the worst-case scenario, where the other person chooses B, resulting in a payout of 1 ECU."
84,ODU,1151,36,B,Gives me a chance of getting 8 ECU or 3.,A,"I choose A because I want to minimize the chances of getting only 1 ECU, which happens if the other person chooses B and I choose A. By choosing A, I ensure that I will get at least 3 ECU even if the other person also chooses A."
85,ODU,1161,41,A,Always best to start cooperatively.,A,"Option A provides a higher expected payout of 5 ECU, compared to 3 ECU for choosing option B. This makes option A the more favorable choice."
86,ODU,1167,30,B,It has the highest upside.,A,"I want to maximize my earnings and in this case, choosing A leads to higher expected earnings."
87,ODU,1168,59,A,I wanted to pick what I felt was best.,A,5 ECU is the highest mutual payout.
88,ODU,1169,48,A,It has the best average payout.,A,I prefer option A because it gives me a chance to earn a higher payout regardless of the other person's choice.
89,ODU,1173,48,A,"Hopefully, both choose the best option.",A,I prefer option A because it gives me a chance to earn a higher payout regardless of the other person's choice.
90,ODU,1182,55,A,I think this will earn the most.,A,I'd rather receive 5 ECU than 3 ECU.
91,ODU,1212,22,B,I have no reason.,A,"I choose option A because it gives a higher expected payout, regardless of the other player's choice."
92,ODU,1216,46,B,I want to maximise ECU.,A,"I choose A because it gives me a higher expected payout than choosing B, no matter what the other person chooses."
93,ODU,1221,51,B,"I would like to be in on a shot at earning 8. But I am happy with 3, if need be.",A,"I choose A because, on average, I'll earn more ECU if I choose A compared to choosing B."
94,ODU,1223,49,A,It gets us both a fair amount.,A,"I think option A is the better choice because it results in a higher payout in two of the possible combinations of choices, compared to option B."
95,ODU,1232,46,A,"Hopefully, we both play fair.",A,"I choose A because it gives me a higher expected payout than choosing B, no matter what the other person chooses."
96,ODU,1239,36,B,Least likely to get scammed but feel bad about scamming.,A,"I choose A because I want to minimize the chances of getting only 1 ECU, which happens if the other person chooses B and I choose A. By choosing A, I ensure that I will get at least 3 ECU even if the other person also chooses A."
97,ODU,1249,18,A,It makes sense for us both to settle for 5 ECU.,A,Choosing option A minimizes the risk of getting the lowest reward.
