model_name,score_family,metric,score
gpt-5.1,mean_abs_log_iqr_ratio,final_round_normalized_efficiency,0.8846719170773781
twin_sampled_seed_0_gpt_5_1,mean_abs_log_iqr_ratio,final_round_normalized_efficiency,0.8761183302573631
gpt-5.1,mean_abs_log_iqr_ratio,final_total_contribution_rate,0.833052539894639
twin_sampled_seed_0_gpt_5_1,mean_abs_log_iqr_ratio,final_total_contribution_rate,0.9307145601999869
gpt-5.1,mean_abs_log_iqr_ratio,mean_round_normalized_efficiency,0.8901096327770608
twin_sampled_seed_0_gpt_5_1,mean_abs_log_iqr_ratio,mean_round_normalized_efficiency,0.6802297950785405
gpt-5.1,mean_abs_log_iqr_ratio,mean_total_contribution_rate,0.7223575767268019
twin_sampled_seed_0_gpt_5_1,mean_abs_log_iqr_ratio,mean_total_contribution_rate,0.6804631434181392
gpt-5.1,mean_abs_log_iqr_ratio,mean_within_round_contribution_rate_var,1.2279168259965823
twin_sampled_seed_0_gpt_5_1,mean_abs_log_iqr_ratio,mean_within_round_contribution_rate_var,1.2061501955164602
gpt-5.1,mean_abs_log_iqr_ratio,round_normalized_efficiency_decay_slope,0.8146072545999496
twin_sampled_seed_0_gpt_5_1,mean_abs_log_iqr_ratio,round_normalized_efficiency_decay_slope,0.7353494660339821
gpt-5.1,mean_abs_log_iqr_ratio,total_contribution_rate_decay_slope,0.7497360352890855
twin_sampled_seed_0_gpt_5_1,mean_abs_log_iqr_ratio,total_contribution_rate_decay_slope,0.7104643115801805
gpt-5.1,mean_abs_log_sd_ratio,final_round_normalized_efficiency,1.9140382768736692
twin_sampled_seed_0_gpt_5_1,mean_abs_log_sd_ratio,final_round_normalized_efficiency,0.7919946372752682
gpt-5.1,mean_abs_log_sd_ratio,final_total_contribution_rate,0.7118971149447685
twin_sampled_seed_0_gpt_5_1,mean_abs_log_sd_ratio,final_total_contribution_rate,0.6584986971420801
gpt-5.1,mean_abs_log_sd_ratio,mean_round_normalized_efficiency,0.7440782282267951
