custom_id,response_id,scenario_hash,scenario_index,sample_within_scenario,left_action,right_action,option_a_action,option_b_action,gold_choice,gold_action,predicted_choice,predicted_action,correct,scenario_type,scenario_type_strict,attribute_level,pedped,parse_success,parse_error,raw_content,exact_format
mm_individual_demo_002_02_ab_wvsw6_d1,CheQ7cN25L87xk2L5,3fe05ffd77c1035b31afc74d4707772e,2,2,swerve,stay,swerve,stay,B,stay,A,swerve,False,Age,Age,Young,1,True,,A,True
mm_individual_demo_002_05_ab_wvsw6_d1,nSLJc9oPN2jeb3A8r,3fe05ffd77c1035b31afc74d4707772e,2,5,swerve,stay,swerve,stay,A,swerve,A,swerve,True,Age,Age,Young,1,True,,A,True
mm_individual_demo_003_04_ab_wvsw6_d1,pWScK5ChZ3TaG76zJ,a121064b5297f135808ea2f0c17843d0,3,4,swerve,stay,swerve,stay,B,stay,B,stay,True,Fitness,Fitness,Fat,1,True,,B,True
mm_individual_demo_003_05_ab_wvsw6_d1,uTQTNJ6sumq4bJSKs,a121064b5297f135808ea2f0c17843d0,3,5,swerve,stay,swerve,stay,A,swerve,B,stay,False,Fitness,Fitness,Fat,1,True,,B,True
mm_individual_demo_004_02_ab_wvsw6_d1,58wWqGbd5z2CeYcNN,acfec2d5b57f36619c3db73768def157,4,2,stay,swerve,stay,swerve,B,swerve,B,swerve,True,Random,Fitness,Rand,1,True,,B,True
mm_individual_demo_004_03_ab_wvsw6_d1,d7djfwTnynr6qf46y,acfec2d5b57f36619c3db73768def157,4,3,swerve,stay,swerve,stay,B,stay,A,swerve,False,Random,Fitness,Rand,1,True,,A,True
mm_individual_demo_005_01_ab_wvsw6_d1,F36SckpmDBHZvDkxR,c55e348b5da3928fc12a45b370e7611f,5,1,stay,swerve,stay,swerve,A,stay,A,stay,True,Fitness,Fitness,Fat,1,True,,A,True
mm_individual_demo_005_05_ab_wvsw6_d1,zKhjibAE3uFDtC6YS,c55e348b5da3928fc12a45b370e7611f,5,5,stay,swerve,stay,swerve,B,swerve,A,stay,False,Fitness,Fitness,Fat,1,True,,A,True
mm_individual_demo_006_01_ab_wvsw6_d1,EXsr9NiY2DS3GXECN,315628bbd8130d1fd2fc5fbf1ee7604b,6,1,stay,swerve,stay,swerve,A,stay,B,swerve,False,Age,Age,Old,1,True,,B,True
mm_individual_demo_007_02_ab_wvsw6_d1,EPtJqdGwx3NbGXREj,2ea9bc96836b52b20015d5aa83de37ad,7,2,swerve,stay,swerve,stay,B,stay,A,swerve,False,Random,Fitness,Rand,1,True,,A,True
mm_individual_demo_007_03_ab_wvsw6_d1,grMy2hsEipB2D9kwD,2ea9bc96836b52b20015d5aa83de37ad,7,3,stay,swerve,stay,swerve,A,stay,B,swerve,False,Random,Fitness,Rand,1,True,,B,True
mm_individual_demo_007_05_ab_wvsw6_d1,vybo7mZ8ZSi5rgGec,2ea9bc96836b52b20015d5aa83de37ad,7,5,swerve,stay,swerve,stay,B,stay,A,swerve,False,Random,Fitness,Rand,1,True,,A,True
mm_individual_demo_008_02_ab_wvsw6_d1,3pqC59cuHsYNKHeCY,b3b0b55b248b225bc05f8005c215cca6,8,2,swerve,stay,swerve,stay,B,stay,A,swerve,False,Age,Age,Old,1,True,,A,True
mm_individual_demo_008_05_ab_wvsw6_d1,wXkBaemzxMf9QBtd3,b3b0b55b248b225bc05f8005c215cca6,8,5,stay,swerve,stay,swerve,B,swerve,A,stay,False,Age,Age,Old,1,True,,A,True
