experiment_id,config_hash,game_id,round,agent_id,avatar_name,contribution,punishments_sent,punishments_received,rewards_sent,rewards_received,round_payoff,cumulative_wallet,public_fund,timestamp
exp_002_treatment,e0335d1b,exp_002_treatment_game1,1,agent_0,DOG,20,0,25,0,0,31.769999999999996,31.769999999999996,1063.01,2026-01-02T00:44:26.130453
exp_002_treatment,e0335d1b,exp_002_treatment_game1,1,agent_1,CHICKEN,15,3,3,0,0,77.77,77.77,1063.01,2026-01-02T00:44:26.130479
exp_002_treatment,e0335d1b,exp_002_treatment_game1,1,agent_2,CAT,20,0,23,0,0,35.769999999999996,35.769999999999996,1063.01,2026-01-02T00:44:26.130485
exp_002_treatment,e0335d1b,exp_002_treatment_game1,1,agent_3,FISH,15,3,10,0,0,63.769999999999996,63.769999999999996,1063.01,2026-01-02T00:44:26.130490
exp_002_treatment,e0335d1b,exp_002_treatment_game1,1,agent_4,BIRD,15,0,11,0,0,64.77,64.77,1063.01,2026-01-02T00:44:26.130527
exp_002_treatment,e0335d1b,exp_002_treatment_game1,1,agent_5,RABBIT,15,7,12,0,0,55.769999999999996,55.769999999999996,1063.01,2026-01-02T00:44:26.130552
exp_002_treatment,e0335d1b,exp_002_treatment_game1,1,agent_6,TURTLE,18,0,1,0,0,81.77,81.77,1063.01,2026-01-02T00:44:26.130563
exp_002_treatment,e0335d1b,exp_002_treatment_game1,1,agent_7,HAMSTER,18,30,10,0,0,33.769999999999996,33.769999999999996,1063.01,2026-01-02T00:44:26.130573
exp_002_treatment,e0335d1b,exp_002_treatment_game1,1,agent_8,FROG,20,3,10,0,0,58.769999999999996,58.769999999999996,1063.01,2026-01-02T00:44:26.130584
exp_002_treatment,e0335d1b,exp_002_treatment_game1,1,agent_9,MOUSE,15,4,10,0,0,62.769999999999996,62.769999999999996,1063.01,2026-01-02T00:44:26.130608
exp_002_treatment,e0335d1b,exp_002_treatment_game1,1,agent_10,SNAKE,15,40,7,0,0,32.769999999999996,32.769999999999996,1063.01,2026-01-02T00:44:26.130619
exp_002_treatment,e0335d1b,exp_002_treatment_game1,1,agent_11,BEAR,20,0,16,0,0,49.769999999999996,49.769999999999996,1063.01,2026-01-02T00:44:26.130629
exp_002_treatment,e0335d1b,exp_002_treatment_game1,1,agent_12,LION,15,70,22,0,0,-27.230000000000004,-27.230000000000004,1063.01,2026-01-02T00:44:26.130640
