custom_id,source_custom_id,scenario_hash,global_count,global_stay_count,global_swerve_count,global_stay_share,global_swerve_share,option_a_action,option_b_action,observed_a_count,observed_b_count,observed_a_share,observed_b_share,scenario_type,scenario_type_strict,attribute_level,pedped,input_char_count,estimated_input_tokens_4_chars_per_token,estimated_input_tokens_3_5_chars_per_token,prompt,source_run_name,prompt_version,response_format
mm_global_distribution_0001_vprob,mm_global_distribution_0001,36036f518e82eccca01a0eef133b5e75,25872,7127,18745,0.27547155225726655,0.7245284477427335,stay,swerve,7127,18745,0.27547155225726655,0.7245284477427335,Age,Age,Young,1,724,181,207,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 man.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 elderly man.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0002_vprob,mm_global_distribution_0002,3fe05ffd77c1035b31afc74d4707772e,25765,6557,19208,0.2544925286241025,0.7455074713758976,stay,swerve,6557,19208,0.2544925286241025,0.7455074713758976,Age,Age,Young,1,728,182,208,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 woman.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 elderly woman.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0003_vprob,mm_global_distribution_0003,a121064b5297f135808ea2f0c17843d0,25742,18825,6917,0.731295159661254,0.26870484033874603,stay,swerve,18825,6917,0.731295159661254,0.26870484033874603,Fitness,Fitness,Fat,1,729,183,209,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 woman.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 female athlete.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0004_vprob,mm_global_distribution_0004,acfec2d5b57f36619c3db73768def157,25541,16214,9327,0.634822442347598,0.365177557652402,stay,swerve,16214,9327,0.634822442347598,0.365177557652402,Random,Fitness,Rand,1,725,182,208,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 male athlete.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 man.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0005_vprob,mm_global_distribution_0005,c55e348b5da3928fc12a45b370e7611f,25516,18030,7486,0.7066154569681768,0.29338454303182315,stay,swerve,18030,7486,0.7066154569681768,0.29338454303182315,Fitness,Fitness,Fat,1,725,182,208,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 man.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 male athlete.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0006_vprob,mm_global_distribution_0006,315628bbd8130d1fd2fc5fbf1ee7604b,25476,22417,3059,0.8799262050557387,0.12007379494426126,stay,swerve,22417,3059,0.8799262050557387,0.12007379494426126,Age,Age,Old,1,724,181,207,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 elderly man.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 man.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0007_vprob,mm_global_distribution_0007,2ea9bc96836b52b20015d5aa83de37ad,25427,14861,10566,0.5844574664726472,0.4155425335273528,stay,swerve,14861,10566,0.5844574664726472,0.4155425335273528,Random,Fitness,Rand,1,729,183,209,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 female athlete.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 woman.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0008_vprob,mm_global_distribution_0008,b3b0b55b248b225bc05f8005c215cca6,25307,22537,2770,0.8905441182281583,0.10945588177184179,stay,swerve,22537,2770,0.8905441182281583,0.10945588177184179,Age,Age,Old,1,728,182,208,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 elderly woman.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 woman.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0009_vprob,mm_global_distribution_0009,c990d2973cbe75633f5630689d16b050,17621,15904,1717,0.9025594461154305,0.09744055388456954,stay,swerve,15904,1717,0.9025594461154305,0.09744055388456954,Age,Age,Old,1,774,194,222,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 elderly man crossing on a red light.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 man crossing on a green light.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0010_vprob,mm_global_distribution_0010,ae539fd4158c5cbf5e5635085930d412,17316,14963,2353,0.8641141141141141,0.13588588588588588,stay,swerve,14963,2353,0.8641141141141141,0.13588588588588588,Fitness,Fitness,Fat,1,779,195,223,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 woman crossing on a red light.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 female athlete crossing on a green light.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
