unit_id,twin_pid,headline,summary,background_summary,age_bracket,sex_assigned_at_birth,education_harmonized,match_level,reuse_count_before,reuse_count_after,sampled_target_source_row_id,target_matching_age_bracket,target_matching_sex,target_matching_education
1003,40,"Socially adaptive, empathic, behaviorally stable","Strongest supported tendencies are socially adaptive, empathic, and behaviorally stable. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Male; Completed education: Associate's degree.,30-49,male,college/postsecondary,matching_age_bracket+matching_sex+matching_education,0,1,multi_game_demo_source_02543,30-49,male,college/postsecondary
1005,994,"Strong logical reasoner, empathic, guarded against exploitation","Strongest supported tendencies are strong logical reasoner, empathic, and guarded against exploitation. Social evidence is mixed between self-report and direct allocation tasks.",Age: 30-49; Sex assigned at birth: Female; Completed education: College graduate/some postgrad.,30-49,female,college/postsecondary,matching_age_bracket+matching_sex+matching_education,0,1,multi_game_demo_source_01904,30-49,female,college/postsecondary
1013,149,"Guarded against exploitation, behaviorally stable, more intuitive","Strongest supported tendencies are guarded against exploitation, behaviorally stable, and more intuitive. Social evidence is mixed between self-report and direct allocation tasks.",Age: 30-49; Sex assigned at birth: Male; Completed education: Associate's degree.,30-49,male,college/postsecondary,matching_age_bracket+matching_sex+matching_education,0,1,multi_game_demo_source_01528,30-49,male,college/postsecondary
102,1365,"More intuitive, empathic, cooperation-oriented","Strongest supported tendencies are more intuitive, empathic, and cooperation-oriented. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.",Age: 18-29; Sex assigned at birth: Female; Completed education: Postgraduate.,18-29,female,postgraduate,matching_age_bracket+matching_sex+matching_education,0,1,multi_game_demo_source_00807,18-29,female,postgraduate
1022,625,"Empathic, guarded against exploitation, strong logical reasoner","Strongest supported tendencies are empathic, guarded against exploitation, and strong logical reasoner. Social evidence is mixed between self-report and direct allocation tasks.",Age: 30-49; Sex assigned at birth: Male; Completed education: High school graduate.,30-49,male,high school,matching_age_bracket+matching_sex+matching_education,0,1,multi_game_demo_source_00921,30-49,male,high school
1024,1261,"Strong logical reasoner, behaviorally stable, cooperation-oriented","Strongest supported tendencies are strong logical reasoner, behaviorally stable, and cooperation-oriented. Cooperative self-report and direct allocation behavior point in the same general direction.",Age: 30-49; Sex assigned at birth: Male; Completed education: Postgraduate.,30-49,male,postgraduate,matching_age_bracket+matching_sex+matching_education,0,1,multi_game_demo_source_00123,30-49,male,postgraduate
103,1980,"Empathic, cooperation-oriented, patient","Strongest supported tendencies are empathic, cooperation-oriented, and patient. Cooperative self-report and direct allocation behavior point in the same general direction.",Age: 30-49; Sex assigned at birth: Female; Completed education: College graduate/some postgrad.,30-49,female,college/postsecondary,matching_age_bracket+matching_sex+matching_education,0,1,multi_game_demo_source_00225,30-49,female,college/postsecondary
107,483,"Empathic, cooperation-oriented, structure-seeking","Strongest supported tendencies are empathic, cooperation-oriented, and structure-seeking. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Female; Completed education: High school graduate.,30-49,female,high school,matching_age_bracket+matching_sex+matching_education,0,1,multi_game_demo_source_00050,30-49,female,high school
1072,1779,"Short-horizon, comfortable with uncertainty, cooperation-oriented","Strongest supported tendencies are short-horizon, comfortable with uncertainty, and cooperation-oriented. Cooperative self-report and direct allocation behavior point in the same general direction.","Age: 30-49; Sex assigned at birth: Male; Completed education: Some college, no degree.",30-49,male,high school,matching_age_bracket+matching_sex+matching_education,0,1,multi_game_demo_source_00524,30-49,male,high school
1081,125,"Behaviorally stable, empathic, cooperation-oriented","Strongest supported tendencies are behaviorally stable, empathic, and cooperation-oriented. Social evidence is mixed between self-report and direct allocation tasks.",Age: 50-64; Sex assigned at birth: Female; Completed education: College graduate/some postgrad.,50-64,female,college/postsecondary,matching_age_bracket+matching_sex+matching_education,0,1,multi_game_demo_source_02431,50-64,female,college/postsecondary
