custom_id,input_tokens_tiktoken
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_01_m7xia7__game_1__p001__g001,1553
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_02_m7xiz2__game_1__p001__g002,1716
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_03_m8aexq__game_1__p001__g003,1685
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_05_m7xjzy__game_1__p001__g004,1718
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_07_m8ag8i__game_1__p001__g005,1771
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_12_m8agmu__game_1__p001__g006,1712
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_14_m8agmu__game_1__p001__g007,1778
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_15_m8agmu__game_1__p001__g008,1710
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p001__g009,1657
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p001__g010,1716
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_05_m8aexq__game_2_alt_profile__p001__g011,1734
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_12_m8agmu__game_2_alt_profile__p001__g012,1805
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_14_m8agmu__game_2_alt_profile__p001__g013,1789
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p001__g014,1616
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_18_m8agzl__game_2_alt_profile__p001__g015,1602
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_20_m8agzl__game_2_alt_profile__p001__g016,1641
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__cohort_01_m8aiq8__game_1__p001__g017,1691
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__cohort_05_m8aiq8__game_1__p001__g018,1680
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__g11_m5wp7b__game_1__p001__g019,1902
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__g17_m5wp8w__game_1__p001__g020,1738
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__g20_m5wq93__game_1__p001__g021,1748
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__g6_m5wp77__game_1__p001__g022,1785
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__g7_m5wp78__game_1__p001__g023,1859
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__g9_m5wp79__game_1__p001__g024,1658
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__cohort_01_m8aiq8__game_2_alt_profile__p001__g025,1604
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__cohort_02_m8aiq8__game_2_alt_profile__p001__g026,1717
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__cohort_03_m8aiq8__game_2_alt_profile__p001__g027,1637
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__cohort_06_m8ak4g__game_2_alt_profile__p001__g028,1722
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__g12_m5wp8p__game_2_alt_profile__p001__g029,1669
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__g13_m5wp8q__game_2_alt_profile__p001__g030,1867
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__g3_m5wp6q__game_2_alt_profile__p001__g031,1800
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__g7_m5wp78__game_2_alt_profile__p001__g032,1907
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_02_m89542__game_1__p001__g033,1752
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_04_m8aboy__game_1__p001__g034,1754
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_05_m7xlsd__game_1__p001__g035,1798
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_05_m89542__game_1__p001__g036,1807
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_05_m898xg__game_1__p001__g037,1788
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_06_m89b9z__game_1__p001__g038,1773
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_06_m8acrp__game_1__p001__g039,1898
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_07_m8ad4g__game_1__p001__g040,1940
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_01_m898xg__game_2_alt_profile__p001__g041,1654
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_02_m7xl5i__game_2_alt_profile__p001__g042,1882
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_02_m89542__game_2_alt_profile__p001__g043,1754
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_02_m8aboy__game_2_alt_profile__p001__g044,1747
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_03_m898xg__game_2_alt_profile__p001__g045,1812
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_04_m89542__game_2_alt_profile__p001__g046,1868
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_05_m7xlsd__game_2_alt_profile__p001__g047,1861
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_05_m898xg__game_2_alt_profile__p001__g048,1924
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_01_m7xia7__game_1__p002__g001,1545
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_02_m7xiz2__game_1__p002__g002,1708
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_03_m8aexq__game_1__p002__g003,1677
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_05_m7xjzy__game_1__p002__g004,1710
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_07_m8ag8i__game_1__p002__g005,1763
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_12_m8agmu__game_1__p002__g006,1704
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_14_m8agmu__game_1__p002__g007,1770
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_15_m8agmu__game_1__p002__g008,1702
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p002__g009,1649
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p002__g010,1708
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_05_m8aexq__game_2_alt_profile__p002__g011,1726
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_12_m8agmu__game_2_alt_profile__p002__g012,1797
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_14_m8agmu__game_2_alt_profile__p002__g013,1781
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p002__g014,1608
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_18_m8agzl__game_2_alt_profile__p002__g015,1594
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_20_m8agzl__game_2_alt_profile__p002__g016,1633
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip3__cohort_01_m8aiq8__game_1__p002__g017,1683
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip3__cohort_05_m8aiq8__game_1__p002__g018,1672
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip3__g11_m5wp7b__game_1__p002__g019,1894
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip3__g17_m5wp8w__game_1__p002__g020,1730
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip3__g20_m5wq93__game_1__p002__g021,1740
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip3__g6_m5wp77__game_1__p002__g022,1777
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip3__g7_m5wp78__game_1__p002__g023,1851
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip3__g9_m5wp79__game_1__p002__g024,1650
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip3__cohort_01_m8aiq8__game_2_alt_profile__p002__g025,1596
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip3__cohort_02_m8aiq8__game_2_alt_profile__p002__g026,1709
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip3__cohort_03_m8aiq8__game_2_alt_profile__p002__g027,1629
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip3__cohort_06_m8ak4g__game_2_alt_profile__p002__g028,1714
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip3__g12_m5wp8p__game_2_alt_profile__p002__g029,1661
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip3__g13_m5wp8q__game_2_alt_profile__p002__g030,1859
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip3__g3_m5wp6q__game_2_alt_profile__p002__g031,1792
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip3__g7_m5wp78__game_2_alt_profile__p002__g032,1899
