custom_id,treatment_name,metric,generated_value,human_mean,human_std,human_median,human_q25,human_q75,human_min,human_max,human_game_count,abs_diff_from_human_mean,z_score,abs_z_score,percentile_within_humans,within_human_range,within_human_iqr,chat_enabled,punishment_enabled,reward_enabled,metric_scope
trajectory_completion_compact__VALIDATION_0_C__K3BKmGpJcMFNK3TJz__k0__rep1,VALIDATION_0_C,final_round_normalized_efficiency,0.20192307692307693,0.8245013538135808,0.2731795634738752,0.8381456910387042,0.5355409995147987,0.9962121212121212,0.5,1.3131313131313131,10,0.6225782768905039,-2.2790075105674683,2.2790075105674683,0.0,0,0,True,False,False,all
trajectory_completion_compact__VALIDATION_0_C__tjEFcmYxtEBx3PZzY__k0__rep1,VALIDATION_0_C,final_round_normalized_efficiency,0.40384615384615385,0.8245013538135808,0.2731795634738752,0.8381456910387042,0.5355409995147987,0.9962121212121212,0.5,1.3131313131313131,10,0.42065519996742695,-1.5398487156878968,1.5398487156878968,0.0,0,0,True,False,False,all
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,VALIDATION_0_C,final_round_normalized_efficiency,0.5961538461538461,0.8245013538135808,0.2731795634738752,0.8381456910387042,0.5355409995147987,0.9962121212121212,0.5,1.3131313131313131,10,0.22834750765973466,-0.8358879586597336,0.8358879586597336,0.3,1,1,True,False,False,all
trajectory_completion_compact__VALIDATION_0_C__DLhhTyaSmN26NPemM__k0__rep1,VALIDATION_0_C,final_round_normalized_efficiency,0.0,0.8245013538135808,0.2731795634738752,0.8381456910387042,0.5355409995147987,0.9962121212121212,0.5,1.3131313131313131,10,0.8245013538135808,-3.018166305447039,3.018166305447039,0.0,0,0,True,False,False,all
trajectory_completion_compact__VALIDATION_0_C__eKvYkv4QEg8DiocsW__k0__rep1,VALIDATION_0_C,final_round_normalized_efficiency,0.5,0.8245013538135808,0.2731795634738752,0.8381456910387042,0.5355409995147987,0.9962121212121212,0.5,1.3131313131313131,10,0.3245013538135808,-1.1878683371738152,1.1878683371738152,0.1,1,0,True,False,False,all
trajectory_completion_compact__VALIDATION_0_C__4HwmGmWXPq5jBJust__k0__rep1,VALIDATION_0_C,final_round_normalized_efficiency,0.20192307692307693,0.8245013538135808,0.2731795634738752,0.8381456910387042,0.5355409995147987,0.9962121212121212,0.5,1.3131313131313131,10,0.6225782768905039,-2.2790075105674683,2.2790075105674683,0.0,0,0,True,False,False,all
trajectory_completion_compact__VALIDATION_0_C__kkGkkWk4kCvb4t5fK__k0__rep1,VALIDATION_0_C,final_round_normalized_efficiency,0.20192307692307693,0.8245013538135808,0.2731795634738752,0.8381456910387042,0.5355409995147987,0.9962121212121212,0.5,1.3131313131313131,10,0.6225782768905039,-2.2790075105674683,2.2790075105674683,0.0,0,0,True,False,False,all
trajectory_completion_compact__VALIDATION_0_C__F9zgaNoZPFFagrLwk__k0__rep1,VALIDATION_0_C,final_round_normalized_efficiency,0.5961538461538461,0.8245013538135808,0.2731795634738752,0.8381456910387042,0.5355409995147987,0.9962121212121212,0.5,1.3131313131313131,10,0.22834750765973466,-0.8358879586597336,0.8358879586597336,0.3,1,1,True,False,False,all
trajectory_completion_compact__VALIDATION_0_C__AaPW26f94YzzFxPLk__k0__rep1,VALIDATION_0_C,final_round_normalized_efficiency,0.0,0.8245013538135808,0.2731795634738752,0.8381456910387042,0.5355409995147987,0.9962121212121212,0.5,1.3131313131313131,10,0.8245013538135808,-3.018166305447039,3.018166305447039,0.0,0,0,True,False,False,all
trajectory_completion_compact__VALIDATION_0_C__pYDEzMS4KKQzGsFQW__k0__rep1,VALIDATION_0_C,final_round_normalized_efficiency,0.40384615384615385,0.8245013538135808,0.2731795634738752,0.8381456910387042,0.5355409995147987,0.9962121212121212,0.5,1.3131313131313131,10,0.42065519996742695,-1.5398487156878968,1.5398487156878968,0.0,0,0,True,False,False,all
