text,umap_x,umap_y,cluster_id,cluster_title,cluster_intro,cluster_size
"They repeatedly observe that some players contribute less while earning higher payoffs and sometimes also face heavy punishment from others. Despite this clear evidence of free-riding, payoff inequality, and active sanctioning norms in the group, they neither adjust their own contributions nor participate in enforcement. They tolerate being a consistent net contributor who often earns less than others without any visible attempt to protect themselves or to pressure laggards. They similarly observe positive rewards flowing among others (and to themselves at times) without changing their behavior. Overall, they appear largely indifferent, in terms of strategic adjustment, to others’ payoffs, to how much others spend on punishment or reward, and to who is targeted. Their primary reference point seems to be their own internal rule to fully cooperate, not the evolving distribution of costs and benefits in the group.",-0.4741159,0.74512357,2,Punishment / Reward / Payoffs,"This cluster groups personas with related strategy patterns around punishment, reward, payoffs, contribution, low.",111
"They observe a group where several players often contribute close to the maximum and sometimes spend on rewards, while one player regularly devotes substantial resources to punishing them. Despite this, they do not visibly condition their behavior on others’ payoffs, spending, or treatment of them. High contributors’ relatively strong earnings and prosocial signaling do not induce them to match those contribution levels, and the punisher’s lower payoffs (due to punishment costs) do not induce them to exploit that player further or adjust contributions downward. They appear largely indifferent, behaviorally, to whether others are sacrificing for the group (via high contribution or reward) or sacrificing to enforce norms (via punishment). This points to a type that monitors the environment enough to see that cooperation is stable and beneficial, and then “locks in” a personally satisfactory contribution that exploits some of the surplus generated by others’ generosity while avoiding extreme opportunism. Their social style is quiet and self-contained: they neither coordinate with prosocial players nor escalate conflict with punishers, and they maintain their own rule-of-thumb strategy regardless of others’ detailed outcomes.",-0.8519721,0.49226788,2,Punishment / Reward / Payoffs,"This cluster groups personas with related strategy patterns around punishment, reward, payoffs, contribution, low.",111
"This player observes substantial information each round: others’ contributions, payoffs, and costs spent on punishment and reward. Yet they display no behavioral adjustment in response. They do not increase contributions when others contribute very high amounts and group payoffs rise, and they do not decrease when others free-ride more or when punitive conflict escalates among others. They ignore both negative and positive incentive signals directed at other players and do not seem to take advantage of apparent “safe” opportunities to free-ride when cooperation stays high. This indicates low sensitivity to social comparison and low engagement with the strategic social dynamics. Their primary focus appears to be on maintaining a personally acceptable, predictable payoff stream rather than tailoring their behavior in response to others’ gains, losses, or enforcement activity. Overall, they behave as a stable, internally guided cooperator who treats others’ outcomes as background information rather than as cues for adaptation.",-1.1431009,1.1016299,2,Punishment / Reward / Payoffs,"This cluster groups personas with related strategy patterns around punishment, reward, payoffs, contribution, low.",111
"The player pays close attention to others’ contributions and resulting payoffs and appears sensitive to the relationship between effort and reward. When high contributors earn moderate or even slightly lower payoffs than some moderate contributors, the focal player intervenes, particularly against the moderate contributor whose earnings often compare favorably despite giving less than the top cooperators. This implies strong outcome‑based fairness concerns with an emphasis on relative payoffs. They never sanction or reward based purely on outcome size: they do not attack those with the very highest payoffs when these are paired with high contributions, nor do they protect lower earners if those are also low contributors. Their responses are tied to the pattern “contribution level vs. resulting payoff,” not payoff alone. The player seems comfortable with a differentiated outcome structure where high cooperators do well, moderate cooperators do reasonably, and no one is singled out without a behavioral basis. Once the group settles into a stable, high‑contribution equilibrium and the previously targeted player behaves in line with that standard, the focal player stops using punishment and cuts back on reward use as well. That suggests that they primarily deploy sanctions and rewards as tools to adjust the group toward a desired cooperative and fair pattern, and when that pattern is achieved, they revert to simpler contribution decisions without extra costly interventions. Overall, this player type is a conditionally cooperative, fairness‑oriented enforcer who uses both reward and targeted punishment to shape others’ behavior and relative payoffs, prioritizing alignment between contributions and outcomes over maximizing their own earnings.",0.020092454,-0.072665304,8,Contributions / Payoffs / High,"This cluster groups personas with related strategy patterns around contributions, payoffs, high, player, group.",119
"They observe that some players consistently contribute high amounts and sometimes sacrifice payoff through punishment or reward, while others contribute less and are occasionally heavily punished, yet they remain behaviorally detached from these dynamics. They do not move to shield heavily punished players by rewarding them, nor do they join punishers to intensify sanctions. They also see that non-punishers and non-rewarders often achieve higher round payoffs than those who police the group; their own consistent choice to avoid both punishment and reward aligns with this payoff pattern, suggesting they are attentive to the net costliness of sanctions. They adapt their own contributions as group averages fluctuate, but this adaptation is relatively modest and does not track any single player’s treatment—more a response to overall environment than to specific individuals’ fortunes. Their attitude toward inequality in outcomes seems tolerant: they accept that some earn more due to low contribution or due to not spending on sanctions, and that some earn less due to punishing, without intervening. Overall, they behave as a pragmatic cooperator who lets others manage social control while they adjust their own contribution levels to maintain good payoffs, showing low engagement with the social-emotional meaning of others’ costs and payoffs.",-0.43732736,1.1058624,2,Punishment / Reward / Payoffs,"This cluster groups personas with related strategy patterns around punishment, reward, payoffs, contribution, low.",111
"They consistently see others’ outcomes, including payoff differences driven by varying contributions and by some players’ use of punishment and reward. They do not mimic the enforcers’ behavior, nor do they react visibly to shifting payoff ranks: even when defectors earn more, the player neither punishes nor heavily reduces contributions, and even when cooperators are supported by rewards, they do not join in reinforcing them. This points to low sensitivity to outcome inequality and to others’ sanctioning choices. They adapt their own contributions slightly to the general contribution climate, but they ignore the “second‑order” layer of who is punishing or rewarding whom and with what cost. Socially, they behave as a quietly principled cooperator: they uphold a cooperative norm for themselves, largely independent of others’ sanctioning strategies or relative earnings, and refrain from directly intervening in others’ payoffs.",-0.39959717,0.8762846,2,Punishment / Reward / Payoffs,"This cluster groups personas with related strategy patterns around punishment, reward, payoffs, contribution, low.",111
"They observe variations in others’ contributions and outcomes, including a case where a lower contributor is heavily punished and where one player spends a moderate amount on punishment. They do not comment on these events, adjust their cooperation to reward or protect victims or punishers, or take advantage of temporarily weaker opponents. Their small temporary drop in contribution coincides with broader group instability rather than appearing targeted at any specific individual’s payoff. Overall, they treat others’ outcomes as background information rather than as a basis for strategic reallocation or moral signaling. They appear focused on preserving a high, stable group benefit rather than on rebalancing payoffs or engaging in distributive justice through punishment.",-0.60661644,1.5722367,5,Punishment / Payoffs / Outcomes,"This cluster groups personas with related strategy patterns around punishment, payoffs, outcomes, contributions, behavior.",116
"They observe others’ outcomes—including deviations from full contribution, use of punishment against a low contributor, and later punishment against themselves—but there is no behavioral sign that they adjust their strategy based on these observations. They do not reward or punish based on others’ payoffs, and they do not comment on payoff disparities. Their earlier cooperative affirmation in chat indicates that they value a “money printer” style, high-contribution equilibrium and appreciate when everyone benefits equally from it, but they do not act to correct deviations from that state beyond maintaining their own full contributions. Their attention to others’ outcomes seems conceptually present (they understand when things are going smoothly or not) but not operationalized into contingent actions. Overall, they are a steadfast, norm-following cooperator who neither enforces norms through punishment nor reacts behaviorally to being exploited or punished.",0.50527203,0.8603931,9,Punishment / Payoffs / High,"This cluster groups personas with related strategy patterns around punishment, payoffs, high, outcomes, contribution.",138
"They pay enough attention to notice others’ presence and absence and to see that everyone is profiting from the cooperative scheme, which they describe positively. They do not publicly react to others’ differential payoffs when small contribution deviations occur, nor to large punishment events imposed by other players, even though those significantly affect individual earnings. Their behavior remains stable and non-punitive in the face of these outcome disparities, suggesting that they prioritize the stability of the cooperative norm and their own earnings over addressing perceived unfairness via costly action. Their mild adjustment in contribution when some players contribute less is their only observable response to changed outcomes; they do not try to correct others’ behavior or rebalance payoffs through sanctions. Overall, they are outcome-aware but pragmatically hands-off, accepting some inequity as long as the group remains broadly profitable.",0.8676449,-0.39644796,12,Group / Contributions / Outcomes,"This cluster groups personas with related strategy patterns around group, contributions, outcomes, payoffs, cooperative.",94
"They see others’ contribution changes and payoff outcomes (including when some players under-contribute and are punished or when certain players spend heavily to punish), yet they do not visibly react in chat or via changes in their own punishment behavior. Their contributions are largely insensitive to these outcome shifts: they maintain the cooperative pattern, briefly reduce contributions alongside others late, then return to full cooperation. They do not openly approve or disapprove of punishment, and they do not exploit situations where others lose payoff through being punished. Their own occasional small deviations from full contribution occur at times when group contributions fall or composition shifts, but they do not appear to be a direct response to who gained or lost what through punishment. They act as if the main relevant outcome is whether the group is still broadly cooperating, not the detailed distribution of payoffs or sanction costs. Overall, their reaction to others’ outcomes is best characterized as “observant but behaviorally steady”: they stay cooperative, do not join in sanctioning, and do not visibly adjust strategy based on who is winning or losing.",-0.3431082,0.7243253,6,Punishment / Reward / Contributions,"This cluster groups personas with related strategy patterns around punishment, reward, contributions, contribution, payoffs.",123
