treatment_name,experiment_code,role,visibility,schema_type,metric,generated_value,human_value,abs_error,generated_n,human_n
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,check_rate,0.98,0.8,0.17999999999999994,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,act_rate,0.98,0.82,0.16000000000000003,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,mean_return_pct,48.86,38.38,10.479999999999997,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_checked_act,0.96,0.72,0.24,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_checked_no_act,0.02,0.08,0.06,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_unchecked_act,0.02,0.1,0.08,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_unchecked_no_act,0.0,0.1,0.1,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,check_rate,0.94,0.62,0.31999999999999995,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,act_rate,0.94,0.9,0.039999999999999925,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,mean_return_pct,46.9,41.74,5.159999999999997,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_checked_act,0.88,0.6,0.28,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_checked_no_act,0.06,0.02,0.039999999999999994,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_unchecked_act,0.06,0.3,0.24,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_unchecked_no_act,0.0,0.08,0.08,50,50
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,mean_send_if_act,7.22,5.76,1.46,50,50
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,mean_send_if_no_act,4.52,3.26,1.2599999999999998,50,50
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,mean_action_premium,2.7,2.5,0.20000000000000018,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_act_without_check,6.52,7.0,0.4800000000000004,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_act_after_check,6.76,6.68,0.08000000000000007,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_no_act_without_check,3.82,3.58,0.23999999999999977,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_no_act_after_check,3.08,3.3,0.21999999999999975,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_action_premium_without_check,2.7,3.42,0.7199999999999998,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_action_premium_after_check,3.68,3.38,0.30000000000000027,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_process_premium_if_act,-0.24,0.32,0.56,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_process_premium_if_no_act,0.74,0.28,0.45999999999999996,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,check_rate,0.98,0.74,0.24,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,act_rate,0.86,0.3,0.56,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,mean_return_pct,47.88,44.02,3.8599999999999994,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,pattern_checked_act,0.86,0.26,0.6,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,pattern_checked_no_act,0.12,0.48,0.36,50,50
