baseline,k,game_id,num_rounds,num_players,future_rounds,actor_rows,contribution_mae,contribution_rate_mae,contribution_exact_rate,round_payoff_mae,round_coin_gen_mae,round_relative_efficiency_mae,round_normalized_efficiency_mae,total_contribution_mae,total_contribution_rate_mae,actual_future_relative_efficiency,predicted_future_relative_efficiency,future_relative_efficiency_abs_error,actual_future_normalized_efficiency,predicted_future_normalized_efficiency,future_normalized_efficiency_abs_error,target_precision,target_recall,target_f1,target_set_exact_rate,action_exact_match_rate,punish_target_precision,punish_target_recall,punish_target_f1,reward_target_precision,reward_target_recall,reward_target_f1,punish_any_accuracy,reward_any_accuracy,unit_mae_on_overlap,punish_unit_mae_on_overlap,reward_unit_mae_on_overlap,cumulative_future_payoff_mae
ewma,1,2CpmMrTnRYQhD69qN,27,6,26,156,3.5128205128205128,0.17564102564102566,0.5833333333333334,6.237179487179487,19.346153846153847,0.05038060897435898,0.05038060897435898,6.615384615384615,0.055128205128205154,0.7434895833333334,0.703125,0.04036458333333337,0.7434895833333334,0.703125,0.04036458333333337,0.0,0.0,0.0,0.9294871794871795,0.9294871794871795,0.0,0.0,0.0,0.0,0.0,0.0,0.9615384615384616,0.967948717948718,,,,143.83333333333334
ewma,1,2fKfFJWpm9wfoPMfx,28,9,27,243,8.222222222222221,0.41111111111111115,0.32510288065843623,27.901234567901234,250.88888888888889,0.33186360964138745,0.33186360964138745,61.111111111111114,0.3395061728395061,0.9390064667842446,0.6071428571428571,0.3318636096413875,0.9390064667842446,0.6071428571428571,0.3318636096413875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,752.6666666666666
ewma,1,2kZ3jKdHmB57javWy,13,6,12,72,5.277777777777778,0.2638888888888889,0.5555555555555556,12.944444444444445,56.666666666666664,0.8585858585858586,0.8585858585858586,18.666666666666668,0.15555555555555556,1.5555555555555556,0.696969696969697,0.8585858585858586,1.5555555555555556,0.696969696969697,0.8585858585858586,0.08333333333333333,0.09090909090909091,0.08695652173913043,0.7361111111111112,0.7361111111111112,1.0,1.0,1.0,0.08333333333333333,0.09090909090909091,0.08695652173913043,1.0,0.7916666666666666,1.5,,1.5,118.0
ewma,1,3uYh9GbzKBb7ZadHf,23,6,22,132,6.795454545454546,0.33977272727272734,0.18181818181818182,6.840909090909091,2.6818181818181817,0.11174242424242425,0.11174242424242425,14.409090909090908,0.12007575757575756,0.5738636363636364,0.5833333333333334,0.009469696969697017,0.5738636363636364,0.5833333333333334,0.009469696969697017,0.1590909090909091,0.5833333333333334,0.25,0.8484848484848485,0.8333333333333334,1.0,1.0,1.0,0.1590909090909091,0.5833333333333334,0.25,1.0,0.8712121212121212,3.2857142857142856,,3.2857142857142856,114.5
ewma,1,3uqZPGxnY38PPCreu,20,8,19,152,13.026315789473685,0.6513157894736842,0.34868421052631576,37.96052631578947,276.42105263157896,0.6061865189289012,0.6061865189289012,104.21052631578948,0.6513157894736842,0.7770083102493075,0.17543859649122806,0.6015697137580794,0.7770083102493075,0.17543859649122806,0.6015697137580794,0.0,0.0,0.0,0.5328947368421053,0.5328947368421053,0.0,0.0,0.0,1.0,1.0,1.0,0.5394736842105263,1.0,,,,651.5
ewma,1,3zSNGrLvJJYZhmW2p,19,12,18,216,8.24074074074074,0.41203703703703703,0.5879629629629629,11.342592592592593,17.333333333333332,0.24074074074074078,0.24074074074074078,34.44444444444444,0.14351851851851852,0.4182098765432099,0.5555555555555556,0.13734567901234568,0.4182098765432099,0.5555555555555556,0.13734567901234568,0.0,0.0,0.0,0.6898148148148148,0.6898148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.9212962962962963,0.8148148148148148,,,,172.33333333333334
ewma,1,4jSXooYhn8K6Cucgv,12,10,11,110,4.663636363636364,0.23318181818181816,0.5454545454545454,13.172727272727272,113.18181818181819,0.1347402597402598,0.1347402597402598,22.09090909090909,0.11045454545454549,0.8621212121212121,0.7273809523809524,0.13474025974025972,0.8621212121212121,0.7273809523809524,0.13474025974025972,0.30303030303030304,0.0975609756097561,0.14760147601476015,0.5181818181818182,0.5181818181818182,1.0,1.0,1.0,0.30303030303030304,0.0975609756097561,0.14760147601476015,1.0,0.7090909090909091,0.0,,0.0,131.3
ewma,1,4nKD5eDXT2JfQEFC2,18,16,17,272,6.029411764705882,0.3014705882352941,0.6985294117647058,13.617647058823529,181.1764705882353,0.19865841073271412,0.19865841073271412,58.8235294117647,0.18382352941176472,0.8872549019607843,0.6885964912280702,0.19865841073271406,0.8872549019607843,0.6885964912280702,0.19865841073271406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,211.875
ewma,1,56mkyKr2q9hbfJo5e,20,3,19,57,12.982456140350877,0.6491228070175439,0.3508771929824561,10.596491228070175,4.842105263157895,0.4035087719298246,0.4035087719298246,24.210526315789473,0.4035087719298246,0.2631578947368421,0.6666666666666666,0.40350877192982454,0.2631578947368421,0.6666666666666666,0.40350877192982454,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,185.33333333333334
ewma,1,5JcvB7tm4oqd3iXPL,12,19,11,209,6.755980861244019,0.33779904306220093,0.2727272727272727,7.760765550239235,56.0,0.16374269005847955,0.16374269005847955,58.0,0.15263157894736848,0.391812865497076,0.5555555555555556,0.16374269005847958,0.391812865497076,0.5555555555555556,0.16374269005847958,0.030303030303030304,0.03571428571428571,0.03278688524590164,0.784688995215311,0.784688995215311,1.0,1.0,1.0,0.030303030303030304,0.03571428571428571,0.03278688524590164,1.0,0.8516746411483254,0.5,,0.5,63.36842105263158
