participant,cluster_id,cluster_title,weight,non_negligible
DTZZoihgn3RAp6nBo,3,**Strict Full Cooperation**,1.0,True
F5KawmecqZFsCNyFk,5,**Moderate Conditional Cooperation**,1.0,True
bQirT5AvqT5wycWYj,5,**Moderate Conditional Cooperation**,1.0,True
be9dLqkhDp6wZjbBo,17,**Conditional High Contribution**,1.0,True
dgD9YndT5WFPZRgzi,5,**Moderate Conditional Cooperation**,1.0,True
hZRwsfYigrXwGJa4j,7,**Stable High Contribution**,1.0,True
2tCNuFycZiP5mKtyF,0,**Volatile Conditional Cooperation**,1.0,True
3ec6gmS6weNqpvJAh,0,**Volatile Conditional Cooperation**,1.0,True
5jxF87MmgjFhTymm9,9,**Stable Full Cooperation**,1.0,True
8DctDA748b28zuZ3u,9,**Stable Full Cooperation**,1.0,True
A2pEcsP9CEJNQFgDu,0,**Volatile Conditional Cooperation**,1.0,True
NsiTAiRip94MCD7B6,0,**Volatile Conditional Cooperation**,1.0,True
PCTGddKWraBR8mWTj,0,**Volatile Conditional Cooperation**,1.0,True
S9ALoeCJKATXnvC7C,0,**Volatile Conditional Cooperation**,1.0,True
WBLkAFy3kSHSJBTAm,0,**Volatile Conditional Cooperation**,1.0,True
X6DDHjThocMtNvpB6,0,**Volatile Conditional Cooperation**,1.0,True
YqdtGcdjtoSgCdsu8,0,**Volatile Conditional Cooperation**,1.0,True
bLMxfumFzRf3vRjX2,0,**Volatile Conditional Cooperation**,1.0,True
dieqovizTAnjXTSJZ,0,**Volatile Conditional Cooperation**,1.0,True
fc5HALJgiFC3dWHhj,8,**Consistent Free-Riding**,1.0,True
npQ9NQ58E53hB7N5C,19,**Rigid Full Cooperation**,1.0,True
qsnrpRFMyBD7xK9xm,9,**Stable Full Cooperation**,1.0,True
8AS2QXCdR3pePLr8B,17,**Conditional High Contribution**,1.0,True
f5zTYPzJ5jvGdR39Z,17,**Conditional High Contribution**,1.0,True
mqg2PdSZhRpHJYLrW,17,**Conditional High Contribution**,1.0,True
rgXeqn2NT2JwqxZ64,5,**Moderate Conditional Cooperation**,1.0,True
7Q8u5GwmqYwqaXYDs,13,**Near-Maximal Cooperation**,1.0,True
7ez3SYi3tNx2Bfbei,11,**Conditional High Contribution**,1.0,True
CffvC6LTFjNNpgvZC,19,**Rigid Full Cooperation**,1.0,True
HPBpMdpchhh5cz4sv,11,**Conditional High Contribution**,1.0,True
SPF9vPF5hRJWzAdJa,19,**Rigid Full Cooperation**,1.0,True
oBmTWSk5vCYru9Mcd,19,**Rigid Full Cooperation**,1.0,True
pCKKPgH9rENJJXNgK,9,**Stable Full Cooperation**,1.0,True
q3g6KwabjgBtCjJkc,19,**Rigid Full Cooperation**,1.0,True
vbn9iN4G7DZAMbdnp,11,**Conditional High Contribution**,1.0,True
8hZfpp9ZYxgQnC4W2,15,**Steadfast High Contribution**,1.0,True
hoNbTgmYK3R2HtYnP,21,**High Conditional Contribution**,1.0,True
tju44RWZEghPjZJYr,21,**High Conditional Contribution**,1.0,True
uQqhvaMfYLCaM9h9g,2,**Steadfast Full Cooperation**,1.0,True
wxwCSxoBMnnyPJGJG,21,**High Conditional Contribution**,1.0,True
yrtT4gQpFJRmx2ZTS,21,**High Conditional Contribution**,1.0,True
5nHzFqz4u4vvpFTbW,3,**Strict Full Cooperation**,1.0,True
EhWKqX4CqLc3ibSzy,14,**Unwavering Full Cooperation**,1.0,True
Gj56ZRACcYwgcQ8rX,3,**Strict Full Cooperation**,1.0,True
LfhxA6PsupMxSZEhF,3,**Strict Full Cooperation**,1.0,True
QKXs7ogDhHa26SPuu,3,**Strict Full Cooperation**,1.0,True
T3wMpaCL5MisTWx55,3,**Strict Full Cooperation**,1.0,True
fSA7z4MC4ipCwo68C,3,**Strict Full Cooperation**,1.0,True
n2YEHuZd3p4ZMAmv6,3,**Strict Full Cooperation**,1.0,True
vvcPXqvweELCPFN85,6,**Inconsistent Conditional Cooperation**,1.0,True
BKmFeWvHvGNtz7AMX,17,**Conditional High Contribution**,1.0,True
Ckteup7i4djCkuA9e,17,**Conditional High Contribution**,1.0,True
Ju59MDJzvi3tvsKsZ,17,**Conditional High Contribution**,1.0,True
NomfvqqFReX6YdWt2,4,**Flexible Conditional Contribution**,1.0,True
WXmp6zK8DnNdT4kfZ,5,**Moderate Conditional Cooperation**,1.0,True
aTedxSvE2BSqp8DcG,17,**Conditional High Contribution**,1.0,True
