cluster 00 (153): **Volatile Conditional Cooperation** | title_source=openai-chatgpt-summary | top_terms=end, game, payoff, riding, free riding, contributing, payoffs, contribute
cluster 01 (168): **High Unconditional Cooperation** | title_source=openai-chatgpt-summary | top_terms=reward, rewards, punishment, rewarding, low, rewarded, contributors, payoff
cluster 02 (189): **Steadfast Full Cooperation** | title_source=openai-chatgpt-summary | top_terms=reward, rewards, punishment, communication, game, use, low, chat
cluster 03 (171): **Strict Full Cooperation** | title_source=openai-chatgpt-summary | top_terms=punishment, reward, punished, game, low, contributors, punish, use
cluster 04 (134): **Flexible Conditional Contribution** | title_source=openai-chatgpt-summary | top_terms=reward, rewards, rewarding, payoff, low, rewarded, rewarders, contribute
cluster 05 (186): **Moderate Conditional Cooperation** | title_source=openai-chatgpt-summary | top_terms=punishment, reward, punished, low, rewards, contributors, punish, sanctions
cluster 06 (163): **Inconsistent Conditional Cooperation** | title_source=openai-chatgpt-summary | top_terms=reward, punishment, rewards, low, game, chat, social, communication
cluster 07 (185): **Stable High Contribution** | title_source=openai-chatgpt-summary | top_terms=punishment, reward, rewards, punished, low, contributors, punish, use
cluster 08 (147): **Consistent Free-Riding** | title_source=openai-chatgpt-summary | top_terms=punishment, reward, free rider, rider, payoff, non, social, rewards
cluster 09 (118): **Stable Full Cooperation** | title_source=openai-chatgpt-summary | top_terms=game, end, end game, communication, rule, round, final, horizon
cluster 10 (219): **Strong High Contribution** | title_source=openai-chatgpt-summary | top_terms=punishment, reward, game, low, punished, rewards, punish, use
cluster 11 (119): **Conditional High Contribution** | title_source=openai-chatgpt-summary | top_terms=payoff, riding, free riding, payoffs, contributing, willing, low, moderate
cluster 12 (114): **Stable High Contribution** | title_source=openai-chatgpt-summary | top_terms=punishment, reward, rewards, punished, low, punish, players, game
cluster 13 (158): **Near-Maximal Cooperation** | title_source=openai-chatgpt-summary | top_terms=communication, game, low, social, contribute, coordination, light, maximum
cluster 14 (232): **Unwavering Full Cooperation** | title_source=openai-chatgpt-summary | top_terms=punishment, punished, unknown, low, communication, game, chat, non
cluster 15 (171): **Steadfast High Contribution** | title_source=openai-chatgpt-summary | top_terms=reward, rewards, rewarding, chat, game, communication, low, use
cluster 16 (154): **Rigid Full Cooperation** | title_source=openai-chatgpt-summary | top_terms=punishment, punished, low, punish, contributors, payoff, reward, enforcement
cluster 17 (178): **Conditional High Contribution** | title_source=openai-chatgpt-summary | top_terms=punishment, punished, low, punish, willing, contributors, contribute, game
cluster 18 (199): **Predominantly Free-Riding** | title_source=openai-chatgpt-summary | top_terms=reward, rewards, rewarding, payoff, rewarded, willing, game, low
cluster 19 (97): **Rigid Full Cooperation** | title_source=openai-chatgpt-summary | top_terms=payoff, rule, payoffs, cooperator, outcomes, game, fully, unknown
cluster 20 (148): **Conditional Cooperative Behavior** | title_source=openai-chatgpt-summary | top_terms=game, communication, payoff, end, low, social, contribute, chat
cluster 21 (160): **High Conditional Contribution** | title_source=openai-chatgpt-summary | top_terms=reward, punishment, rewards, low, communication, chat, game, use
cluster 22 (128): **Strategic Free-Riding** | title_source=openai-chatgpt-summary | top_terms=payoff, low, game, contributing, social, end, payoffs, contribute
