custom_id,record_id,unit_id,treatment_name,chip_family,chip_family_display,cohort_name,stage_name,stage_code,experiment_name,data_source,round,turn_index,absolute_turn_index,sender_id,buy_color,buy_quantity,sell_color,sell_quantity,status,recipient_id,accepted_binary,num_acceptors,multiple_acceptors_binary,proposer_net_surplus,trade_ratio,group_total_welfare_before,group_total_welfare_after,group_surplus_before,group_surplus_after,group_surplus_ratio_before,group_surplus_ratio_after
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,0,0,0,buffalo-green-2230,BLUE,2,RED,4,ACCEPTED,goose-green-3433,1,1,0,0.9999999999999999,2.0,41.0,42.2,0.0,1.2000000000000028,0.0,0.060431654676259126
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,0,1,1,bear-green-5745,RED,3,GREEN,3,ACCEPTED,goose-green-3433,1,1,0,0.2999999999999998,1.0,42.2,43.699999999999996,1.2000000000000028,2.6999999999999957,0.060431654676259126,0.1359712230215825
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,0,2,2,goose-green-3433,GREEN,2,BLUE,2,DECLINED,,0,0,0,0.8,1.0,43.699999999999996,43.699999999999996,2.6999999999999957,2.6999999999999957,0.1359712230215825,0.1359712230215825
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,1,0,3,buffalo-green-2230,BLUE,1,RED,2,ACCEPTED,goose-green-3433,1,1,0,0.49999999999999994,2.0,43.699999999999996,44.3,2.6999999999999957,3.299999999999997,0.1359712230215825,0.16618705035971204
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,1,1,4,bear-green-5745,BLUE,1,GREEN,1,ACCEPTED,goose-green-3433,1,1,0,0.5,1.0,44.3,45.199999999999996,3.299999999999997,4.199999999999996,0.16618705035971204,0.2115107913669062
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,1,2,5,goose-green-3433,GREEN,1,RED,1,ACCEPTED,bear-green-5745,1,1,0,0.4,1.0,45.199999999999996,45.7,4.199999999999996,4.700000000000003,0.2115107913669062,0.2366906474820145
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,2,0,6,buffalo-green-2230,BLUE,1,RED,2,DECLINED,,0,0,0,0.49999999999999994,2.0,45.7,45.7,4.700000000000003,4.700000000000003,0.2366906474820145,0.2366906474820145
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,2,1,7,bear-green-5745,RED,2,GREEN,2,ACCEPTED,goose-green-3433,1,1,0,0.19999999999999996,1.0,45.7,46.7,4.700000000000003,5.700000000000003,0.2366906474820145,0.2870503597122303
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,2,2,8,goose-green-3433,GREEN,1,BLUE,1,DECLINED,,0,0,0,0.4,1.0,46.7,46.7,5.700000000000003,5.700000000000003,0.2870503597122303,0.2870503597122303
chip_bargain__chip3_cohort_02_m8aiq8_game_1,chip3__cohort_02_m8aiq8__game_1,chip3__cohort_02_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 02-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,0,0,0,otter-blue-7516,BLUE,2,RED,2,ACCEPTED,cat-orange-2462,1,1,0,-1.2,1.0,61.0,60.4,0.0,-0.6000000000000014,0.0,-0.12000000000000029
