treatment_name,metric_family,metric,distance_kind,score
CHIP2__GAME_1,distribution_distance,final_surplus_ratio,wasserstein_1d,0.1692378305396846
CHIP2__GAME_1,distribution_distance,final_total_surplus,wasserstein_1d,0.7750000000000005
CHIP2__GAME_1,distribution_distance,mean_player_final_surplus,wasserstein_1d,0.25833333333333347
CHIP2__GAME_1,distribution_distance,proposer_net_surplus,wasserstein_1d,0.774074074074074
CHIP2__GAME_1,distribution_distance,trade_ratio,wasserstein_1d,0.21788902289310796
CHIP2__GAME_1,distribution_distance,acceptance_rate,wasserstein_1d,0.38888888888888884
CHIP2__GAME_1,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,0.6084896148417018
CHIP2__GAME_1,distribution_distance,accepted_trade_ratio,wasserstein_1d,0.2142086538184541
CHIP2__GAME_1,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,0.8776744186046512
CHIP2__GAME_1,distribution_distance,declined_trade_ratio,wasserstein_1d,0.20125616137928037
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,final_surplus_ratio,wasserstein_1d,0.056522926082430536
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,final_total_surplus,wasserstein_1d,0.5875
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,mean_player_final_surplus,wasserstein_1d,0.19583333333333336
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,proposer_net_surplus,wasserstein_1d,0.799074074074074
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,trade_ratio,wasserstein_1d,0.2250913566885789
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,acceptance_rate,wasserstein_1d,0.39814814814814814
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,0.5970930232558139
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,accepted_trade_ratio,wasserstein_1d,0.191468253968254
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,1.0209440559440557
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,declined_trade_ratio,wasserstein_1d,0.28273643023643025
CHIP3__GAME_1,distribution_distance,final_surplus_ratio,wasserstein_1d,0.19041684122823557
CHIP3__GAME_1,distribution_distance,final_total_surplus,wasserstein_1d,3.2958333333333325
