custom_id,estimated_input_chars,estimated_input_tokens_char4
persona_chip_match__pid_327__record_chip2__cohort_03_m8aexq__game_1__p001__g001,17736,4434
persona_chip_match__pid_327__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p001__g002,17611,4403
persona_chip_match__pid_327__record_chip3__cohort_03_m8aiq8__game_1__p001__g003,17878,4470
persona_chip_match__pid_327__record_chip3__g12_m5wp8p__game_2_alt_profile__p001__g004,17622,4406
persona_chip_match__pid_327__record_chip4__cohort_02_m7xl5i__game_1__p001__g005,17755,4439
persona_chip_match__pid_327__record_chip4__cohort_05_m898xg__game_2_alt_profile__p001__g006,18386,4596
persona_chip_match__pid_1199__record_chip2__cohort_03_m8aexq__game_1__p002__g001,18514,4628
persona_chip_match__pid_1199__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p002__g002,18389,4597
persona_chip_match__pid_1199__record_chip3__cohort_03_m8aiq8__game_1__p002__g003,18656,4664
persona_chip_match__pid_1199__record_chip3__g12_m5wp8p__game_2_alt_profile__p002__g004,18400,4600
persona_chip_match__pid_1199__record_chip4__cohort_02_m7xl5i__game_1__p002__g005,18533,4633
persona_chip_match__pid_1199__record_chip4__cohort_05_m898xg__game_2_alt_profile__p002__g006,19164,4791
persona_chip_match__pid_836__record_chip2__cohort_03_m8aexq__game_1__p003__g001,18754,4688
persona_chip_match__pid_836__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p003__g002,18629,4657
persona_chip_match__pid_836__record_chip3__cohort_03_m8aiq8__game_1__p003__g003,18896,4724
persona_chip_match__pid_836__record_chip3__g12_m5wp8p__game_2_alt_profile__p003__g004,18640,4660
persona_chip_match__pid_836__record_chip4__cohort_02_m7xl5i__game_1__p003__g005,18773,4693
persona_chip_match__pid_836__record_chip4__cohort_05_m898xg__game_2_alt_profile__p003__g006,19404,4851
persona_chip_match__pid_1667__record_chip2__cohort_03_m8aexq__game_1__p004__g001,18486,4622
persona_chip_match__pid_1667__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p004__g002,18361,4590
persona_chip_match__pid_1667__record_chip3__cohort_03_m8aiq8__game_1__p004__g003,18628,4657
persona_chip_match__pid_1667__record_chip3__g12_m5wp8p__game_2_alt_profile__p004__g004,18372,4593
persona_chip_match__pid_1667__record_chip4__cohort_02_m7xl5i__game_1__p004__g005,18505,4626
persona_chip_match__pid_1667__record_chip4__cohort_05_m898xg__game_2_alt_profile__p004__g006,19136,4784
persona_chip_match__pid_333__record_chip2__cohort_03_m8aexq__game_1__p005__g001,17846,4462
persona_chip_match__pid_333__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p005__g002,17721,4430
persona_chip_match__pid_333__record_chip3__cohort_03_m8aiq8__game_1__p005__g003,17988,4497
persona_chip_match__pid_333__record_chip3__g12_m5wp8p__game_2_alt_profile__p005__g004,17732,4433
persona_chip_match__pid_333__record_chip4__cohort_02_m7xl5i__game_1__p005__g005,17865,4466
persona_chip_match__pid_333__record_chip4__cohort_05_m898xg__game_2_alt_profile__p005__g006,18496,4624
persona_chip_match__pid_448__record_chip2__cohort_03_m8aexq__game_1__p006__g001,17349,4337
persona_chip_match__pid_448__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p006__g002,17224,4306
persona_chip_match__pid_448__record_chip3__cohort_03_m8aiq8__game_1__p006__g003,17491,4373
persona_chip_match__pid_448__record_chip3__g12_m5wp8p__game_2_alt_profile__p006__g004,17235,4309
persona_chip_match__pid_448__record_chip4__cohort_02_m7xl5i__game_1__p006__g005,17368,4342
persona_chip_match__pid_448__record_chip4__cohort_05_m898xg__game_2_alt_profile__p006__g006,17999,4500
persona_chip_match__pid_1898__record_chip2__cohort_03_m8aexq__game_1__p007__g001,17790,4448
persona_chip_match__pid_1898__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p007__g002,17665,4416
persona_chip_match__pid_1898__record_chip3__cohort_03_m8aiq8__game_1__p007__g003,17932,4483
persona_chip_match__pid_1898__record_chip3__g12_m5wp8p__game_2_alt_profile__p007__g004,17676,4419
persona_chip_match__pid_1898__record_chip4__cohort_02_m7xl5i__game_1__p007__g005,17809,4452
persona_chip_match__pid_1898__record_chip4__cohort_05_m898xg__game_2_alt_profile__p007__g006,18440,4610
persona_chip_match__pid_750__record_chip2__cohort_03_m8aexq__game_1__p008__g001,18652,4663
persona_chip_match__pid_750__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p008__g002,18527,4632
persona_chip_match__pid_750__record_chip3__cohort_03_m8aiq8__game_1__p008__g003,18794,4698
persona_chip_match__pid_750__record_chip3__g12_m5wp8p__game_2_alt_profile__p008__g004,18538,4634
persona_chip_match__pid_750__record_chip4__cohort_02_m7xl5i__game_1__p008__g005,18671,4668
persona_chip_match__pid_750__record_chip4__cohort_05_m898xg__game_2_alt_profile__p008__g006,19302,4826
