treatment_name,player,most_aligned_count,most_aligned_share,treatment_total
CHIP2__GAME_1,owl-orange-1045,4,0.5,8
CHIP2__GAME_1,dog-purple-778,3,0.375,8
CHIP2__GAME_1,peacock-purple-2249,1,0.125,8
CHIP2__GAME_2_ALT_PROFILE,camel-pink-767,7,0.875,8
CHIP2__GAME_2_ALT_PROFILE,butterfly-yellow-2139,1,0.125,8
CHIP3__GAME_1,badger-red-5032,6,0.75,8
CHIP3__GAME_1,camel-yellow-5577,2,0.25,8
CHIP3__GAME_2_ALT_PROFILE,bear-purple-7271,6,0.75,8
CHIP3__GAME_2_ALT_PROFILE,swan-purple-1670,1,0.125,8
CHIP3__GAME_2_ALT_PROFILE,peacock-red-7768,1,0.125,8
CHIP4__GAME_1,squid-pink-8454,5,0.625,8
CHIP4__GAME_1,otter-orange-7286,2,0.25,8
CHIP4__GAME_1,peacock-red-7894,1,0.125,8
CHIP4__GAME_2_ALT_PROFILE,butterfly-purple-4350,6,0.75,8
CHIP4__GAME_2_ALT_PROFILE,owl-yellow-8687,1,0.125,8
CHIP4__GAME_2_ALT_PROFILE,ram-green-9746,1,0.125,8
