record_id,treatment_name,player,player_key,initial_welfare,final_welfare,final_surplus,proposer_turn_count,proposer_mean_net_surplus,proposer_acceptance_rate,proposer_mean_trade_ratio,response_turn_count,response_acceptance_rate,response_mean_net_surplus_if_accepted,received_trade_rate
chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,dog-purple-778,chip2__cohort_03_m8aexq__game_1::dog-purple-778,14.0,15.2,1.1999999999999993,3,1.1666666666666667,0.6666666666666666,1.1666666666666667,6,0.16666666666666666,-0.20000000000000018,0.16666666666666666
chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,peacock-purple-2249,chip2__cohort_03_m8aexq__game_1::peacock-purple-2249,13.0,13.0,0.0,3,0.6333333333333335,0.3333333333333333,1.138888888888889,6,0.16666666666666666,0.10000000000000009,0.16666666666666666
chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,owl-orange-1045,chip2__cohort_03_m8aexq__game_1::owl-orange-1045,10.0,11.5,1.5,3,1.3333333333333333,0.3333333333333333,0.37222222222222223,6,0.5,0.6666666666666666,0.3333333333333333
chip2__cohort_15_m8agmu__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,camel-pink-767,chip2__cohort_15_m8agmu__game_2_alt_profile::camel-pink-767,13.0,16.8,3.8000000000000007,3,1.0,0.3333333333333333,0.49999999999999994,6,0.16666666666666666,2.4000000000000004,0.16666666666666666
chip2__cohort_15_m8agmu__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,butterfly-yellow-2139,chip2__cohort_15_m8agmu__game_2_alt_profile::butterfly-yellow-2139,7.0,9.4,2.4000000000000004,3,5.266666666666667,0.3333333333333333,0.4047619047619047,6,0.0,nan,0.0
chip2__cohort_15_m8agmu__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,alligator-orange-9612,chip2__cohort_15_m8agmu__game_2_alt_profile::alligator-orange-9612,7.0,7.4,0.40000000000000036,3,0.3,0.0,1.6666666666666667,6,0.16666666666666666,0.3999999999999999,0.16666666666666666
chip3__cohort_03_m8aiq8__game_1,CHIP3__GAME_1,badger-red-5032,chip3__cohort_03_m8aiq8__game_1::badger-red-5032,21.0,22.4,1.3999999999999986,3,0.8666666666666663,0.3333333333333333,0.762962962962963,6,0.3333333333333333,-0.09999999999999987,0.3333333333333333
chip3__cohort_03_m8aiq8__game_1,CHIP3__GAME_1,camel-yellow-5577,chip3__cohort_03_m8aiq8__game_1::camel-yellow-5577,15.0,18.0,3.0,3,3.5333333333333337,0.6666666666666666,0.6185185185185186,6,0.16666666666666666,0.7999999999999998,0.16666666666666666
chip3__cohort_03_m8aiq8__game_1,CHIP3__GAME_1,squid-yellow-9545,chip3__cohort_03_m8aiq8__game_1::squid-yellow-9545,13.0,16.2,3.1999999999999993,3,0.8000000000000002,0.3333333333333333,0.8888888888888888,6,0.16666666666666666,2.0,0.16666666666666666
chip3__g12_m5wp8p__game_2_alt_profile,CHIP3__GAME_2_ALT_PROFILE,bear-purple-7271,chip3__g12_m5wp8p__game_2_alt_profile::bear-purple-7271,22.0,22.5,0.5,3,1.1666666666666665,0.3333333333333333,1.3055555555555556,6,0.16666666666666666,2.4999999999999996,0.0
chip3__g12_m5wp8p__game_2_alt_profile,CHIP3__GAME_2_ALT_PROFILE,peacock-red-7768,chip3__g12_m5wp8p__game_2_alt_profile::peacock-red-7768,15.0,16.91,1.9100000000000001,3,0.6000000000000001,0.3333333333333333,0.9333333333333335,6,0.16666666666666666,1.2999999999999998,0.16666666666666666
chip3__g12_m5wp8p__game_2_alt_profile,CHIP3__GAME_2_ALT_PROFILE,swan-purple-1670,chip3__g12_m5wp8p__game_2_alt_profile::swan-purple-1670,19.0,21.9,2.8999999999999986,3,1.5999999999999999,0.0,1.0,6,0.16666666666666666,2.9000000000000004,0.16666666666666666
chip4__cohort_02_m7xl5i__game_1,CHIP4__GAME_1,peacock-red-7894,chip4__cohort_02_m7xl5i__game_1::peacock-red-7894,28.0,28.5,0.5,3,1.1666666666666667,0.3333333333333333,1.0,6,0.0,nan,0.0
chip4__cohort_02_m7xl5i__game_1,CHIP4__GAME_1,squid-pink-8454,chip4__cohort_02_m7xl5i__game_1::squid-pink-8454,26.0,27.0,1.0,3,1.6333333333333335,0.0,1.0,6,0.3333333333333333,0.5,0.3333333333333333
chip4__cohort_02_m7xl5i__game_1,CHIP4__GAME_1,otter-orange-7286,chip4__cohort_02_m7xl5i__game_1::otter-orange-7286,26.0,28.0,2.0,3,1.9000000000000001,0.3333333333333333,0.9333333333333332,6,0.0,nan,0.0
chip4__cohort_05_m898xg__game_2_alt_profile,CHIP4__GAME_2_ALT_PROFILE,butterfly-purple-4350,chip4__cohort_05_m898xg__game_2_alt_profile::butterfly-purple-4350,19.0,22.1,3.1000000000000014,3,0.4999999999999998,1.0,1.3888888888888886,6,0.6666666666666666,0.575,0.5
chip4__cohort_05_m898xg__game_2_alt_profile,CHIP4__GAME_2_ALT_PROFILE,owl-yellow-8687,chip4__cohort_05_m898xg__game_2_alt_profile::owl-yellow-8687,23.0,30.6,7.600000000000001,3,2.0333333333333337,0.6666666666666666,1.1833333333333333,6,0.16666666666666666,3.0,0.16666666666666666
chip4__cohort_05_m898xg__game_2_alt_profile,CHIP4__GAME_2_ALT_PROFILE,ram-green-9746,chip4__cohort_05_m898xg__game_2_alt_profile::ram-green-9746,19.0,24.9,5.899999999999999,3,1.133333333333333,0.6666666666666666,0.9999999999999999,6,0.8333333333333334,1.7199999999999995,0.5
