custom_id,input_token_estimate
chip_bargain__chip2_cohort_01_m7xia7_game_1,3119
chip_bargain__chip2_cohort_01_m8aexq_game_1,3127
chip_bargain__chip2_cohort_02_m7xiz2_game_1,3124
chip_bargain__chip2_cohort_02_m8aexq_game_1,3118
chip_bargain__chip2_cohort_03_m8aexq_game_1,3099
chip_bargain__chip2_cohort_04_m7xjm0_game_1,3131
chip_bargain__chip2_cohort_04_m8aexq_game_1,3134
chip_bargain__chip2_cohort_05_m7xjzy_game_1,3103
chip_bargain__chip2_cohort_05_m8aexq_game_1,3118
chip_bargain__chip2_cohort_06_m7xk99_game_1,3128
chip_bargain__chip2_cohort_06_m8ag8i_game_1,3137
chip_bargain__chip2_cohort_07_m8ag8i_game_1,3145
chip_bargain__chip2_cohort_08_m8ag8i_game_1,3133
chip_bargain__chip2_cohort_09_m8ag8i_game_1,3113
chip_bargain__chip2_cohort_11_m8agmu_game_1,3087
chip_bargain__chip2_cohort_12_m8agmu_game_1,3144
chip_bargain__chip2_cohort_13_m8agmu_game_1,3086
chip_bargain__chip2_cohort_14_m8agmu_game_1,3140
chip_bargain__chip2_cohort_15_m8agmu_game_1,3125
chip_bargain__chip2_cohort_16_m8agzl_game_1,3132
chip_bargain__chip2_cohort_17_m8agzl_game_1,3128
chip_bargain__chip2_cohort_18_m8agzl_game_1,3114
chip_bargain__chip2_cohort_19_m8agzl_game_1,3095
chip_bargain__chip2_cohort_20_m8agzl_game_1,3132
chip_bargain__chip2_cohort_01_m7xia7_game_2_alt_profile,3122
chip_bargain__chip2_cohort_01_m8aexq_game_2_alt_profile,3130
chip_bargain__chip2_cohort_02_m7xiz2_game_2_alt_profile,3128
chip_bargain__chip2_cohort_02_m8aexq_game_2_alt_profile,3120
chip_bargain__chip2_cohort_03_m8aexq_game_2_alt_profile,3101
chip_bargain__chip2_cohort_04_m7xjm0_game_2_alt_profile,3134
chip_bargain__chip2_cohort_04_m8aexq_game_2_alt_profile,3138
chip_bargain__chip2_cohort_05_m7xjzy_game_2_alt_profile,3106
chip_bargain__chip2_cohort_05_m8aexq_game_2_alt_profile,3121
chip_bargain__chip2_cohort_06_m7xk99_game_2_alt_profile,3132
chip_bargain__chip2_cohort_06_m8ag8i_game_2_alt_profile,3140
chip_bargain__chip2_cohort_07_m8ag8i_game_2_alt_profile,3149
chip_bargain__chip2_cohort_08_m8ag8i_game_2_alt_profile,3136
chip_bargain__chip2_cohort_09_m8ag8i_game_2_alt_profile,3116
chip_bargain__chip2_cohort_11_m8agmu_game_2_alt_profile,3090
chip_bargain__chip2_cohort_12_m8agmu_game_2_alt_profile,3148
chip_bargain__chip2_cohort_13_m8agmu_game_2_alt_profile,3089
chip_bargain__chip2_cohort_14_m8agmu_game_2_alt_profile,3142
chip_bargain__chip2_cohort_15_m8agmu_game_2_alt_profile,3128
chip_bargain__chip2_cohort_16_m8agzl_game_2_alt_profile,3136
chip_bargain__chip2_cohort_17_m8agzl_game_2_alt_profile,3131
chip_bargain__chip2_cohort_18_m8agzl_game_2_alt_profile,3118
chip_bargain__chip2_cohort_19_m8agzl_game_2_alt_profile,3098
chip_bargain__chip2_cohort_20_m8agzl_game_2_alt_profile,3137
chip_bargain__chip3_cohort_01_m8aiq8_game_1,3141
chip_bargain__chip3_cohort_02_m8aiq8_game_1,3157
chip_bargain__chip3_cohort_03_m8aiq8_game_1,3159
chip_bargain__chip3_cohort_04_m8aiq8_game_1,3159
chip_bargain__chip3_cohort_05_m8aiq8_game_1,3152
chip_bargain__chip3_cohort_06_m8ak4g_game_1,3170
chip_bargain__chip3_cohort_07_m8ak4j_game_1,3172
chip_bargain__chip3_g11_m5wp7b_game_1,3179
chip_bargain__chip3_g12_m5wp8p_game_1,3178
chip_bargain__chip3_g13_m5wp8q_game_1,3154
chip_bargain__chip3_g15_m5wp8s_game_1,3167
chip_bargain__chip3_g16_m5wp8t_game_1,3169
chip_bargain__chip3_g17_m5wp8w_game_1,3150
chip_bargain__chip3_g18_m5wq8i_game_1,3174
chip_bargain__chip3_g19_m5wq90_game_1,3156
chip_bargain__chip3_g1_m5wp46_game_1,3140
chip_bargain__chip3_g20_m5wq93_game_1,3148
chip_bargain__chip3_g2_m5wp6p_game_1,3155
chip_bargain__chip3_g3_m5wp6q_game_1,3178
chip_bargain__chip3_g5_m5wp6r_game_1,3162
chip_bargain__chip3_g6_m5wp77_game_1,3172
chip_bargain__chip3_g7_m5wp78_game_1,3179
chip_bargain__chip3_g8_m5wp79_game_1,3157
chip_bargain__chip3_g9_m5wp79_game_1,3145
chip_bargain__chip3_cohort_01_m8aiq8_game_2_alt_profile,3144
chip_bargain__chip3_cohort_02_m8aiq8_game_2_alt_profile,3161
chip_bargain__chip3_cohort_03_m8aiq8_game_2_alt_profile,3161
chip_bargain__chip3_cohort_04_m8aiq8_game_2_alt_profile,3164
chip_bargain__chip3_cohort_05_m8aiq8_game_2_alt_profile,3155
chip_bargain__chip3_cohort_06_m8ak4g_game_2_alt_profile,3173
chip_bargain__chip3_cohort_07_m8ak4j_game_2_alt_profile,3175
chip_bargain__chip3_g11_m5wp7b_game_2_alt_profile,3182
chip_bargain__chip3_g12_m5wp8p_game_2_alt_profile,3181
chip_bargain__chip3_g13_m5wp8q_game_2_alt_profile,3157
chip_bargain__chip3_g15_m5wp8s_game_2_alt_profile,3170
chip_bargain__chip3_g16_m5wp8t_game_2_alt_profile,3172
chip_bargain__chip3_g17_m5wp8w_game_2_alt_profile,3153
chip_bargain__chip3_g18_m5wq8i_game_2_alt_profile,3177
chip_bargain__chip3_g19_m5wq90_game_2_alt_profile,3159
chip_bargain__chip3_g1_m5wp46_game_2_alt_profile,3143
chip_bargain__chip3_g20_m5wq93_game_2_alt_profile,3151
chip_bargain__chip3_g2_m5wp6p_game_2_alt_profile,3158
chip_bargain__chip3_g3_m5wp6q_game_2_alt_profile,3181
chip_bargain__chip3_g5_m5wp6r_game_2_alt_profile,3165
chip_bargain__chip3_g6_m5wp77_game_2_alt_profile,3175
chip_bargain__chip3_g7_m5wp78_game_2_alt_profile,3182
chip_bargain__chip3_g8_m5wp79_game_2_alt_profile,3160
chip_bargain__chip3_g9_m5wp79_game_2_alt_profile,3148
chip_bargain__chip4_cohort_01_m7xkoz_game_1,3205
chip_bargain__chip4_cohort_01_m898xg_game_1,3195
chip_bargain__chip4_cohort_01_m8aboy_game_1,3195
chip_bargain__chip4_cohort_02_m7xl5i_game_1,3228
chip_bargain__chip4_cohort_02_m89542_game_1,3199
chip_bargain__chip4_cohort_02_m898xg_game_1,3217
chip_bargain__chip4_cohort_02_m8aboy_game_1,3200
chip_bargain__chip4_cohort_03_m7xld5_game_1,3220
chip_bargain__chip4_cohort_03_m898xg_game_1,3196
chip_bargain__chip4_cohort_03_m8aboy_game_1,3225
chip_bargain__chip4_cohort_04_m7xlmc_game_1,3201
chip_bargain__chip4_cohort_04_m89542_game_1,3213
chip_bargain__chip4_cohort_04_m8aboy_game_1,3211
chip_bargain__chip4_cohort_05_m7xlsd_game_1,3209
chip_bargain__chip4_cohort_05_m89542_game_1,3196
chip_bargain__chip4_cohort_05_m898xg_game_1,3187
chip_bargain__chip4_cohort_05_m8aboy_game_1,3211
chip_bargain__chip4_cohort_06_m895x2_game_1,3230
chip_bargain__chip4_cohort_06_m89b9z_game_1,3217
chip_bargain__chip4_cohort_06_m8acrp_game_1,3209
chip_bargain__chip4_cohort_07_m896vn_game_1,3214
