unit_id,twin_pid,headline,summary,background_summary,age_bracket,sex_assigned_at_birth,education_harmonized,match_level,reuse_count_before,reuse_count_after,sampled_target_source_row_id,target_matching_age_bracket,target_matching_sex,target_matching_education
00bepzvk,918,"Empathic, structure-seeking, inequality-tolerant","Strongest supported tendencies are empathic, structure-seeking, and inequality-tolerant. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.","Age: 50-64; Sex assigned at birth: Male; Completed education: Some college, no degree.",50-64,male,high school,matching_age_bracket+matching_sex+matching_education,0,1,minority_demo_source_01704,50-64,male,high school
00g8t5am,822,"Strong logical reasoner, patient, cooperation-oriented","Strongest supported tendencies are strong logical reasoner, patient, and cooperation-oriented. Social evidence is mixed between self-report and direct allocation tasks.",Age: 30-49; Sex assigned at birth: Male; Completed education: Postgraduate.,30-49,male,postgraduate,matching_age_bracket+matching_sex+matching_education,0,1,minority_demo_source_01276,30-49,male,postgraduate
00okp6aa,1055,"Strong logical reasoner, empathic, patient","Strongest supported tendencies are strong logical reasoner, empathic, and patient. Social evidence is mixed between self-report and direct allocation tasks.",Age: 30-49; Sex assigned at birth: Male; Completed education: Postgraduate.,30-49,male,postgraduate,matching_age_bracket+matching_sex+matching_education,0,1,minority_demo_source_01024,30-49,male,postgraduate
01ccqf0z,1813,"Reflective, behaviorally stable, patient","Strongest supported tendencies are reflective, behaviorally stable, and patient. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Male; Completed education: Postgraduate.,30-49,male,postgraduate,matching_age_bracket+matching_sex+matching_education,0,1,minority_demo_source_00541,30-49,male,postgraduate
01ubxp0s,883,"Reflective, inequality-tolerant, socially adaptive","Strongest supported tendencies are reflective, inequality-tolerant, and socially adaptive. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 18-29; Sex assigned at birth: Male; Completed education: College graduate/some postgrad.,18-29,male,college/postsecondary,matching_age_bracket+matching_sex+matching_education,0,1,minority_demo_source_00617,18-29,male,college/postsecondary
024b8dre,420,"Inequality-tolerant, strong logical reasoner, cooperation-oriented","Strongest supported tendencies are inequality-tolerant, strong logical reasoner, and cooperation-oriented. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 50-64; Sex assigned at birth: Male; Completed education: Postgraduate.,50-64,male,postgraduate,matching_age_bracket+matching_sex+matching_education,0,1,minority_demo_source_00083,50-64,male,postgraduate
0268s5y8,282,"Reflective, empathic, inequality-tolerant","Strongest supported tendencies are reflective, empathic, and inequality-tolerant. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 18-29; Sex assigned at birth: Male; Completed education: Postgraduate.,18-29,male,postgraduate,matching_age_bracket+matching_sex+matching_education,0,1,minority_demo_source_00151,18-29,male,postgraduate
02giodi8,715,"Short-horizon, empathic, structure-seeking","Strongest supported tendencies are short-horizon, empathic, and structure-seeking. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Female; Completed education: Associate's degree.,30-49,female,college/postsecondary,matching_age_bracket+matching_sex+matching_education,0,1,minority_demo_source_00034,30-49,female,college/postsecondary
02tv1qz6,104,"More intuitive, behaviorally stable, cooperation-oriented","Strongest supported tendencies are more intuitive, behaviorally stable, and cooperation-oriented. Cooperative self-report and direct allocation behavior point in the same general direction.",Age: 30-49; Sex assigned at birth: Male; Completed education: Associate's degree.,30-49,male,college/postsecondary,matching_age_bracket+matching_sex+matching_education,0,1,minority_demo_source_00352,30-49,male,college/postsecondary
02vnkog8,72,"Behaviorally stable, strong logical reasoner, inequality-tolerant","Strongest supported tendencies are behaviorally stable, strong logical reasoner, and inequality-tolerant. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.","Age: 30-49; Sex assigned at birth: Male; Completed education: Some college, no degree.",30-49,male,high school,matching_age_bracket+matching_sex+matching_education,0,1,minority_demo_source_01629,30-49,male,high school
051fm7lz,1155,"Strong logical reasoner, cooperation-oriented, empathic","Strongest supported tendencies are strong logical reasoner, cooperation-oriented, and empathic. Social evidence is mixed between self-report and direct allocation tasks.",Age: 50-64; Sex assigned at birth: Female; Completed education: College graduate/some postgrad.,50-64,female,college/postsecondary,matching_age_bracket+matching_sex+matching_education,0,1,minority_demo_source_01301,50-64,female,college/postsecondary
0559yfs3,381,"Behaviorally stable, reflective, moderately empathic","Strongest supported tendencies are behaviorally stable, reflective, and moderately empathic. Social evidence is mixed between self-report and direct allocation tasks.",Age: 30-49; Sex assigned at birth: Male; Completed education: Postgraduate.,30-49,male,postgraduate,matching_age_bracket+matching_sex+matching_education,0,1,minority_demo_source_01829,30-49,male,postgraduate
05m1mr7w,169,"Strong logical reasoner, behaviorally stable, empathic","Strongest supported tendencies are strong logical reasoner, behaviorally stable, and empathic. Cooperative self-report and direct allocation behavior point in the same general direction.",Age: 50-64; Sex assigned at birth: Male; Completed education: Postgraduate.,50-64,male,postgraduate,matching_age_bracket+matching_sex+matching_education,0,1,minority_demo_source_01009,50-64,male,postgraduate
06k1m1d7,1892,"Cooperation-oriented, patient, generosity-forward","Strongest supported tendencies are cooperation-oriented, patient, and generosity-forward. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.","Age: 30-49; Sex assigned at birth: Male; Completed education: Some college, no degree.",30-49,male,high school,matching_age_bracket+matching_sex+matching_education,0,1,minority_demo_source_01216,30-49,male,high school
