record_id,treatment_code,case_group,game,role_slice,expected_payoff,data_source,variant,model
1005,TRU,Benchmark,Sender,both,5.6938775510204085,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1083,TRU,Benchmark,Sender,both,5.0,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1089,TRP,Benchmark,Sender,both,5.775510204081633,human,demographic_only_row_resampled_seed_0,gpt-5-mini
11,TRP,Benchmark,Sender,both,5.775510204081633,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1111,TRP,Benchmark,Sender,both,5.775510204081633,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1121,TRU,Benchmark,Sender,both,5.6938775510204085,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1160,TRP,Benchmark,Sender,both,5.775510204081633,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1194,TRU,Benchmark,Sender,both,5.6938775510204085,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1229,TRU,Benchmark,Sender,both,5.0,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1237,TRU,Benchmark,Sender,both,5.6938775510204085,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1247,TRP,Benchmark,Sender,both,5.3979591836734695,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1377,TRU,Benchmark,Sender,both,5.6938775510204085,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1390,TRU,Benchmark,Sender,both,5.357142857142857,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1407,TRU,Benchmark,Sender,both,5.6938775510204085,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1442,TRP,Benchmark,Sender,both,5.775510204081633,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1467,TRP,Benchmark,Sender,both,5.775510204081633,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1494,TRU,Benchmark,Sender,both,5.6938775510204085,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1535,TRP,Benchmark,Sender,both,5.3979591836734695,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1541,TRU,Benchmark,Sender,both,5.6938775510204085,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1557,TRU,Benchmark,Sender,both,5.6938775510204085,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1586,TRP,Benchmark,Sender,both,5.775510204081633,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1594,TRU,Benchmark,Sender,both,5.6938775510204085,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1596,TRU,Benchmark,Sender,both,5.6938775510204085,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1618,TRU,Benchmark,Sender,both,5.6938775510204085,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1638,TRP,Benchmark,Sender,both,5.775510204081633,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1671,TRP,Benchmark,Sender,both,5.775510204081633,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1741,TRP,Benchmark,Sender,both,5.775510204081633,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1743,TRU,Benchmark,Sender,both,5.6938775510204085,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1760,TRP,Benchmark,Sender,both,5.0,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1782,TRP,Benchmark,Sender,both,5.775510204081633,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1828,TRU,Benchmark,Sender,both,5.0,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1831,TRU,Benchmark,Sender,both,5.0,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1842,TRU,Benchmark,Sender,both,5.357142857142857,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1924,TRU,Benchmark,Sender,both,5.357142857142857,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1934,TRP,Benchmark,Sender,both,5.775510204081633,human,demographic_only_row_resampled_seed_0,gpt-5-mini
1938,TRP,Benchmark,Sender,both,5.0,human,demographic_only_row_resampled_seed_0,gpt-5-mini
