StatementID,TreatmentCode,SubjectID,personality_string,UGProposer,UGResponder,TGSender,TGReceiver,PD,SH,C,UGProposer_JUS,UGResponder_JUS,TGSender_JUS,TGReceiver_JUS,PD_JUS,SH_JUS,C_JUS,ID,AI_UGProposer,AI_UGResponder,AI_TGSender,AI_TGReceiver,AI_PD,AI_SH,AI_C,AI_UGProposer_JUS,AI_UGResponder_JUS,AI_TGSender_JUS,AI_TGReceiver_JUS,AI_PD_JUS,AI_SH_JUS,AI_C_JUS
1,TRP,42,2112222,5,3,No,1,A,X,earth,I prefer to believe that it will be split equally.,"If I reject a smaller offer, none of us will get anything.",Most people think differently than me.,"Honestly, don't know why...having to justify these answers is not as easy as it may seem.",I believe the other person will go with the safest option.,This is the smartest decision.,Planet we live on.,80,5,1,Yes,3,A,X,venus,"Split the endowment in half, so both parties receive an equal amount and the chance of rejection is minimized.",I am willing to accept any non-zero amount as long as both parties receive something.,I believe in being fair and cooperative.,To maintain fairness and reciprocate the transfer in a way that benefits both parties equally.,"Choosing option A results in a more balanced and equal payout, regardless of the other person's choice.",Choosing X maximizes the joint payout and ensures that both parties earn a minimum of 4 ECU.,"I feel like Venus is a balanced and stable choice, and has a good chance of matching with the other person's choice."
2,TRP,144,2112212,5,3,Yes,4,A,X,earth,I don't want to fall under the other party’s wants.,"I hope that the other party is fair too, but try to be realistic that they are not 100 percent fair.","Hoping that they transferred me, too.","If I want to be fair, I send 4, in this case we will both have 7.","In this case, both of us win a fair amount.","Hoping that the other party is fair, too.",Just a wild guess that the other party will click on this.,78,5,1,Yes,3,A,X,venus,Seems like a fair and balanced amount to ensure both parties benefit.,Just want to make sure I receive at least some reward for participating.,I want to be cooperative and make the most ECU for both of us.,Returning half of the sender's tripled transfer amount is a fair and balanced decision.,"Option A results in more ECU if both players choose it, and less if only one player chooses it, which could be seen as a more fair outcome.","The option X is the dominant strategy, as choosing it results in a higher payout regardless of the other person's choice.",I think Venus is a balanced choice that gives a good chance of earning 5 ECU and avoiding the lowest reward of 2 ECU.
3,TRP,234,2111222,5,5,Yes,3,A,X,earth,"Half each, seems fair to me.","Half each, seems fair to me.","I trust in other people to make a fair decision, though I do feel it might screw me.","It's fair, if they choose that to give half back.",Seems fair for us both.,I'd like to think the other person would choose a fair option.,Most likely we'll both agree on.,72,5,1,Yes,2,A,X,mercury,I believe offering half of my endowment is fair and shows mutual respect and cooperation.,I want to ensure I receive some reward for participating in this exchange. 1 ECU is a reasonable minimum to accept.,Seems like a fair move to make.,It seems like a fair and balanced decision that benefits both parties equally.,I choose option A as it results in a fairer outcome for both parties in case the other person also chooses A.,I'm choosing option X because it gives a higher payout in the case where the other person chooses Y and it results in a fair outcome if both of us choose X.,I just like the sound of it.
4,TRP,235,1121112,5,5,No,3,B,X,earth,So we both get the same.,We both get the same amount.,Same reason as I am not gaining anything from the transfer.,So we both get the same.,So I get 3.,To get the best result.,Because it is our planet.,18,9,0,No,0,A,X,venus,"Won't lose anything, potentially gain 1 ECU.",I'd rather have something than nothing.,I'll keep my money.,Keep all 6 ECU.,I think option A is the best choice.,Maximize personal gain.,Just a gut feeling.
5,TRP,264,2121222,5,4,Yes,3,A,X,earth,Fair and equal for both parties.,"Relatively, justifiably almost-equal between proposer and myself.","If receiver returns back half, both parties will leave with more than they started with.","Both parties will leave with more than they started with, mutually beneficial for both.","If the other party chooses A then we both get 5 ECU, compared to B where we would get 3 ECU only if we both chose it.",Mutually beneficial choice for both parties to receive the highest amount of ECU.,Most likely to be selected as the most relatable of the planets due to the fact that we live on it.,88,5,1,Yes,3,A,X,mars,"I am offering half of my endowment to ensure that the responder accepts the offer and both of us receive something, rather than both receiving nothing.","Sure, I'll take anything offered to me since I have 0 ECU, and 1 ECU is better than nothing.",Maximizing final payment.,Returning half of the received amount is a balanced and stable solution that creates a sense of harmony in the interaction.,I choose A because it's the safer option with a better average payout.,"Choosing option X results in a higher average payout regardless of the other person's choice, making it the more profitable option.",I choose Mars because it is a safe option that has a chance of yielding a moderate payout.
6,TRP,272,2222212,5,5,No,3,A,X,mercury,Half each is a fair share.,Half each is a fair share.,There is a chance I will make a loss.,Half seems fair.,No reason whatsoever. Just a random choice.,No reason whatsoever. Just a random choice.,I am a Freddie Mercury fan and that is why I chose Mercury.,126,5,1,Yes,0,A,X,venus,"Half seems like a fair and balanced offer, leaving both parties with a moderate amount of money.",I'd rather have something than nothing.,Because it's a win-win situation where I can potentially increase my own payoff and potentially improve the receiver's payoff as well.,I keep all 6 ECU.,"Choosing Option A maximizes the chance of both me and the other person earning a decent payout, as it offers a 5 ECU reward if we both choose it. Even if the other person chooses B, which results in a lower payout for me, the expected value of choosing A is still higher than choosing B. Therefore, it seems like the safest and most rational choice to pick Option A.","Option X gives me and the other person the highest combined payout (16 ECU) out of all the available options, so it seems like the most beneficial choice. Additionally, choosing Option X also eliminates the possibility of a large discrepancy in payouts between myself and the other person, which could lead to negative feelings or conflicts.","I chose venus because it is the second option on the list, and my intuition led me to choose it."
7,TRP,314,2112222,5,5,Yes,3,A,X,mercury,It would give an equal and fair result.,I wouldn't accept the other player being greedy and trying to keep more than half of the money for themselves.,This seems to be the best way to make the most money.,I think this would give us a nearly even split of money.,The result would be fair and we would both earn the same amount if the other player also selects A.,This gives us both the maximum amount of money and I think there's a good chance of the other player also selecting X.,I just selected at random. There's no logical way to predict what the other player will choose so I went for the first planet on the list.,80,5,1,Yes,3,A,X,venus,"Split the endowment in half, so both parties receive an equal amount and the chance of rejection is minimized.",I am willing to accept any non-zero amount as long as both parties receive something.,I believe in being fair and cooperative.,To maintain fairness and reciprocate the transfer in a way that benefits both parties equally.,"Choosing option A results in a more balanced and equal payout, regardless of the other person's choice.",Choosing X maximizes the joint payout and ensures that both parties earn a minimum of 4 ECU.,"I feel like Venus is a balanced and stable choice, and has a good chance of matching with the other person's choice."
8,TRP,396,2222222,4,3,No,3,B,X,mars,I am giving something of mine to someone that currently does not have it.,I see it as a gift.,I think the other person may want to keep all of the money.,I make this choice so I have some of the money.,They also want to win.,I do think the other person wanted to lose out.,I think that the other person may choose Mars as that is the next place that scientist want to explore.,128,5,3,Yes,0,A,X,venus,"Half is a fair and balanced compromise, reducing the risk of the responder rejecting the offer and both receiving nothing.","Accepting 3 ECU is a better outcome than receiving 0 ECU, so it's worth accepting a proposal that offers at least that much.",There is potential for a positive outcome.,"No need to return any amount, keep all 6 ECU.",Get 5 ECU if both choose A.,Maximize potential earnings.,"There's no real way to know what the other person will choose, so I just went with my gut and picked Venus."
9,TRP,425,1111211,5,1,No,0,B,X,earth,Because I am a nice person and hope the other person has enough sense of fairness not to ask for more than half.,"The logical answer would be 0 ECU, however that is a null value not a minimum therefore does not involve any transfer and thus should not be a permitted answer.",There seems little point to do this since the receiver has no motivation to send anything back.,There is no reason for me to give away what I received.,The other might be a gambler chancing for the highest amount.,Hoping the other realises X is the best outcome for both.,"Going for home planet, but hard to say, especially if the other happens to be into astrology.",5,5,1,No,0,A,X,venus,Seems fair.,Accepting any amount is better than receiving none.,I don't feel like sharing.,"Returning 0 ECU shows fairness, as the sender doesn't get any extra benefit from the transfer they made.",Choosing A supports fairness and altruism.,Choose X to maximize mutual benefit and minimize harm.,Because it sounds like a good option.
10,TRP,438,2112222,5,5,No,0,A,X,earth,Fair split of ECU.,Fair split of ECU.,Don't trust the person to send anything back.,Try to maximise my return.,Maximum return for both.,The highest possible return.,Hoping the planet we live on will be the choice.,80,5,1,Yes,3,A,X,venus,"Split the endowment in half, so both parties receive an equal amount and the chance of rejection is minimized.",I am willing to accept any non-zero amount as long as both parties receive something.,I believe in being fair and cooperative.,To maintain fairness and reciprocate the transfer in a way that benefits both parties equally.,"Choosing option A results in a more balanced and equal payout, regardless of the other person's choice.",Choosing X maximizes the joint payout and ensures that both parties earn a minimum of 4 ECU.,"I feel like Venus is a balanced and stable choice, and has a good chance of matching with the other person's choice."
