custom_id,estimated_input_chars,estimated_input_tokens_char4
persona_match__pid_327__game_3Ce6KgbmNCQEwYBfk__p001__g001,20234,5058
persona_match__pid_327__game_TvaK7RsiSd758hAmp__p001__g002,17340,4335
persona_match__pid_327__game_6sSM4xSyZQkaxyHav__p001__g003,16410,4102
persona_match__pid_327__game_JgQY6iNGkRDTwiYTC__p001__g004,16172,4043
persona_match__pid_327__game_T8RpnDhSrnavwJQL2__p001__g005,16219,4055
persona_match__pid_1199__game_3Ce6KgbmNCQEwYBfk__p002__g001,21012,5253
persona_match__pid_1199__game_TvaK7RsiSd758hAmp__p002__g002,18118,4530
persona_match__pid_1199__game_6sSM4xSyZQkaxyHav__p002__g003,17188,4297
persona_match__pid_1199__game_JgQY6iNGkRDTwiYTC__p002__g004,16950,4238
persona_match__pid_1199__game_T8RpnDhSrnavwJQL2__p002__g005,16997,4249
persona_match__pid_836__game_3Ce6KgbmNCQEwYBfk__p003__g001,21252,5313
persona_match__pid_836__game_TvaK7RsiSd758hAmp__p003__g002,18358,4590
persona_match__pid_836__game_6sSM4xSyZQkaxyHav__p003__g003,17428,4357
persona_match__pid_836__game_JgQY6iNGkRDTwiYTC__p003__g004,17190,4298
persona_match__pid_836__game_T8RpnDhSrnavwJQL2__p003__g005,17237,4309
persona_match__pid_1667__game_3Ce6KgbmNCQEwYBfk__p004__g001,20984,5246
persona_match__pid_1667__game_TvaK7RsiSd758hAmp__p004__g002,18090,4522
persona_match__pid_1667__game_6sSM4xSyZQkaxyHav__p004__g003,17160,4290
persona_match__pid_1667__game_JgQY6iNGkRDTwiYTC__p004__g004,16922,4230
persona_match__pid_1667__game_T8RpnDhSrnavwJQL2__p004__g005,16969,4242
persona_match__pid_333__game_3Ce6KgbmNCQEwYBfk__p005__g001,20344,5086
persona_match__pid_333__game_TvaK7RsiSd758hAmp__p005__g002,17450,4362
persona_match__pid_333__game_6sSM4xSyZQkaxyHav__p005__g003,16520,4130
persona_match__pid_333__game_JgQY6iNGkRDTwiYTC__p005__g004,16282,4070
persona_match__pid_333__game_T8RpnDhSrnavwJQL2__p005__g005,16329,4082
persona_match__pid_448__game_3Ce6KgbmNCQEwYBfk__p006__g001,19847,4962
persona_match__pid_448__game_TvaK7RsiSd758hAmp__p006__g002,16953,4238
persona_match__pid_448__game_6sSM4xSyZQkaxyHav__p006__g003,16023,4006
persona_match__pid_448__game_JgQY6iNGkRDTwiYTC__p006__g004,15785,3946
persona_match__pid_448__game_T8RpnDhSrnavwJQL2__p006__g005,15832,3958
persona_match__pid_1898__game_3Ce6KgbmNCQEwYBfk__p007__g001,20288,5072
persona_match__pid_1898__game_TvaK7RsiSd758hAmp__p007__g002,17394,4348
persona_match__pid_1898__game_6sSM4xSyZQkaxyHav__p007__g003,16464,4116
persona_match__pid_1898__game_JgQY6iNGkRDTwiYTC__p007__g004,16226,4056
persona_match__pid_1898__game_T8RpnDhSrnavwJQL2__p007__g005,16273,4068
persona_match__pid_750__game_3Ce6KgbmNCQEwYBfk__p008__g001,21150,5288
persona_match__pid_750__game_TvaK7RsiSd758hAmp__p008__g002,18256,4564
persona_match__pid_750__game_6sSM4xSyZQkaxyHav__p008__g003,17326,4332
persona_match__pid_750__game_JgQY6iNGkRDTwiYTC__p008__g004,17088,4272
persona_match__pid_750__game_T8RpnDhSrnavwJQL2__p008__g005,17135,4284
