custom_id,persona_pid,persona_source,game_id,treatment_name,config_id,num_rounds,players,model,max_persona_chars,top_k,match_rank,player,probability,is_top1
persona_match__pid_327__game_3Ce6KgbmNCQEwYBfk__p001__g001,327,twin_direct_persona_summary,3Ce6KgbmNCQEwYBfk,VALIDATION_19_C,19,29,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",gpt-5-mini,0,3,1,CHICKEN,0.6,True
persona_match__pid_327__game_3Ce6KgbmNCQEwYBfk__p001__g001,327,twin_direct_persona_summary,3Ce6KgbmNCQEwYBfk,VALIDATION_19_C,19,29,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",gpt-5-mini,0,3,2,DUCK,0.3,False
persona_match__pid_327__game_3Ce6KgbmNCQEwYBfk__p001__g001,327,twin_direct_persona_summary,3Ce6KgbmNCQEwYBfk,VALIDATION_19_C,19,29,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",gpt-5-mini,0,3,3,SLOTH,0.1,False
persona_match__pid_327__game_TvaK7RsiSd758hAmp__p001__g002,327,twin_direct_persona_summary,TvaK7RsiSd758hAmp,VALIDATION_1_T,1,16,"[""SLOTH"", ""GORILLA"", ""DUCK""]",gpt-5-mini,0,3,1,GORILLA,0.7,True
persona_match__pid_327__game_TvaK7RsiSd758hAmp__p001__g002,327,twin_direct_persona_summary,TvaK7RsiSd758hAmp,VALIDATION_1_T,1,16,"[""SLOTH"", ""GORILLA"", ""DUCK""]",gpt-5-mini,0,3,2,SLOTH,0.3,False
persona_match__pid_327__game_6sSM4xSyZQkaxyHav__p001__g003,327,twin_direct_persona_summary,6sSM4xSyZQkaxyHav,VALIDATION_5_C,5,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",gpt-5-mini,0,3,1,SLOTH,0.65,True
persona_match__pid_327__game_6sSM4xSyZQkaxyHav__p001__g003,327,twin_direct_persona_summary,6sSM4xSyZQkaxyHav,VALIDATION_5_C,5,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",gpt-5-mini,0,3,2,DUCK,0.25,False
persona_match__pid_327__game_6sSM4xSyZQkaxyHav__p001__g003,327,twin_direct_persona_summary,6sSM4xSyZQkaxyHav,VALIDATION_5_C,5,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",gpt-5-mini,0,3,3,GORILLA,0.1,False
persona_match__pid_327__game_JgQY6iNGkRDTwiYTC__p001__g004,327,twin_direct_persona_summary,JgQY6iNGkRDTwiYTC,VALIDATION_5_T,5,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",gpt-5-mini,0,3,1,SLOTH,0.82,True
persona_match__pid_327__game_JgQY6iNGkRDTwiYTC__p001__g004,327,twin_direct_persona_summary,JgQY6iNGkRDTwiYTC,VALIDATION_5_T,5,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",gpt-5-mini,0,3,2,GORILLA,0.18,False
