custom_id,input_tokens_tiktoken
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_01_m7xia7__game_1__p001__g001,1510
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_02_m7xiz2__game_1__p001__g002,1673
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_03_m8aexq__game_1__p001__g003,1642
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_05_m7xjzy__game_1__p001__g004,1675
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_07_m8ag8i__game_1__p001__g005,1728
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_12_m8agmu__game_1__p001__g006,1669
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_14_m8agmu__game_1__p001__g007,1735
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_15_m8agmu__game_1__p001__g008,1667
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p001__g009,1614
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p001__g010,1673
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_05_m8aexq__game_2_alt_profile__p001__g011,1691
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_12_m8agmu__game_2_alt_profile__p001__g012,1762
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_14_m8agmu__game_2_alt_profile__p001__g013,1746
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p001__g014,1573
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_18_m8agzl__game_2_alt_profile__p001__g015,1559
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_20_m8agzl__game_2_alt_profile__p001__g016,1598
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__cohort_01_m8aiq8__game_1__p001__g017,1648
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__cohort_05_m8aiq8__game_1__p001__g018,1637
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__g11_m5wp7b__game_1__p001__g019,1859
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__g17_m5wp8w__game_1__p001__g020,1695
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__g20_m5wq93__game_1__p001__g021,1705
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__g6_m5wp77__game_1__p001__g022,1742
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__g7_m5wp78__game_1__p001__g023,1816
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__g9_m5wp79__game_1__p001__g024,1615
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__cohort_01_m8aiq8__game_2_alt_profile__p001__g025,1561
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__cohort_02_m8aiq8__game_2_alt_profile__p001__g026,1674
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__cohort_03_m8aiq8__game_2_alt_profile__p001__g027,1594
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__cohort_06_m8ak4g__game_2_alt_profile__p001__g028,1679
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__g12_m5wp8p__game_2_alt_profile__p001__g029,1626
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__g13_m5wp8q__game_2_alt_profile__p001__g030,1824
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__g3_m5wp6q__game_2_alt_profile__p001__g031,1757
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__g7_m5wp78__game_2_alt_profile__p001__g032,1864
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip4__cohort_02_m89542__game_1__p001__g033,1709
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip4__cohort_04_m8aboy__game_1__p001__g034,1711
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip4__cohort_05_m7xlsd__game_1__p001__g035,1755
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip4__cohort_05_m89542__game_1__p001__g036,1764
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip4__cohort_05_m898xg__game_1__p001__g037,1745
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip4__cohort_06_m89b9z__game_1__p001__g038,1730
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip4__cohort_06_m8acrp__game_1__p001__g039,1855
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip4__cohort_07_m8ad4g__game_1__p001__g040,1897
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip4__cohort_01_m898xg__game_2_alt_profile__p001__g041,1611
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip4__cohort_02_m7xl5i__game_2_alt_profile__p001__g042,1839
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip4__cohort_02_m89542__game_2_alt_profile__p001__g043,1711
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip4__cohort_02_m8aboy__game_2_alt_profile__p001__g044,1704
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip4__cohort_03_m898xg__game_2_alt_profile__p001__g045,1769
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip4__cohort_04_m89542__game_2_alt_profile__p001__g046,1825
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip4__cohort_05_m7xlsd__game_2_alt_profile__p001__g047,1818
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip4__cohort_05_m898xg__game_2_alt_profile__p001__g048,1881
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip2__cohort_01_m7xia7__game_1__p002__g001,1508
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip2__cohort_02_m7xiz2__game_1__p002__g002,1671
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip2__cohort_03_m8aexq__game_1__p002__g003,1640
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip2__cohort_05_m7xjzy__game_1__p002__g004,1673
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip2__cohort_07_m8ag8i__game_1__p002__g005,1726
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip2__cohort_12_m8agmu__game_1__p002__g006,1667
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip2__cohort_14_m8agmu__game_1__p002__g007,1733
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip2__cohort_15_m8agmu__game_1__p002__g008,1665
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p002__g009,1612
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p002__g010,1671
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip2__cohort_05_m8aexq__game_2_alt_profile__p002__g011,1689
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip2__cohort_12_m8agmu__game_2_alt_profile__p002__g012,1760
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip2__cohort_14_m8agmu__game_2_alt_profile__p002__g013,1744
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p002__g014,1571
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip2__cohort_18_m8agzl__game_2_alt_profile__p002__g015,1557
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip2__cohort_20_m8agzl__game_2_alt_profile__p002__g016,1596
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip3__cohort_01_m8aiq8__game_1__p002__g017,1646
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip3__cohort_05_m8aiq8__game_1__p002__g018,1635
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip3__g11_m5wp7b__game_1__p002__g019,1857
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip3__g17_m5wp8w__game_1__p002__g020,1693
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip3__g20_m5wq93__game_1__p002__g021,1703
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip3__g6_m5wp77__game_1__p002__g022,1740
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip3__g7_m5wp78__game_1__p002__g023,1814
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip3__g9_m5wp79__game_1__p002__g024,1613
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip3__cohort_01_m8aiq8__game_2_alt_profile__p002__g025,1559
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip3__cohort_02_m8aiq8__game_2_alt_profile__p002__g026,1672
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip3__cohort_03_m8aiq8__game_2_alt_profile__p002__g027,1592
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip3__cohort_06_m8ak4g__game_2_alt_profile__p002__g028,1677
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip3__g12_m5wp8p__game_2_alt_profile__p002__g029,1624
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip3__g13_m5wp8q__game_2_alt_profile__p002__g030,1822
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip3__g3_m5wp6q__game_2_alt_profile__p002__g031,1755
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip3__g7_m5wp78__game_2_alt_profile__p002__g032,1862
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip4__cohort_02_m89542__game_1__p002__g033,1707
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip4__cohort_04_m8aboy__game_1__p002__g034,1709
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip4__cohort_05_m7xlsd__game_1__p002__g035,1753
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip4__cohort_05_m89542__game_1__p002__g036,1762
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip4__cohort_05_m898xg__game_1__p002__g037,1743
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip4__cohort_06_m89b9z__game_1__p002__g038,1728
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip4__cohort_06_m8acrp__game_1__p002__g039,1853
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip4__cohort_07_m8ad4g__game_1__p002__g040,1895
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip4__cohort_01_m898xg__game_2_alt_profile__p002__g041,1609
personahub_elite_preview_chip_match__pid_personahub_elite_b52c91b15358__record_chip4__cohort_02_m7xl5i__game_2_alt_profile__p002__g042,1837
