custom_id,persona_pid,persona_source,source_dataset,source_row_idx,uuid,persona_chars,raw_profile_chars,profile_sha1,raw_profile_sha1,age,sex,marital_status,education_level,bachelors_field,occupation,city,state,country,record_id,unit_id,treatment_name,chip_family,chip_family_display,cohort_name,stage_name,stage_code,experiment_name,players,model,top_k,match_rank,player,probability,is_top1
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_01_m7xia7__game_1__p001__g001,nemotron_9c3d91aa5e61,nemotron_personas_usa_full_profile,nvidia/Nemotron-Personas-USA,905035,9c3d91aa5e6141f6b452301074083b3e,4907,5101,c5859ef1d18d6e29cc975f3dfc5a12e61da33c8d,6342ba09e47337cd678018b3909a05f366567cea,38,Female,married_present,bachelors,arts_humanities,news_analyst_reporter_or_journalist,Twinsburg,OH,USA,chip2__cohort_01_m7xia7__game_1,chip2__cohort_01_m7xia7__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m7xia7,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""dog-orange-384"", ""buffalo-red-6989"", ""cat-pink-8143""]",gpt-5-mini,3,1,dog-orange-384,0.6,True
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_01_m7xia7__game_1__p001__g001,nemotron_9c3d91aa5e61,nemotron_personas_usa_full_profile,nvidia/Nemotron-Personas-USA,905035,9c3d91aa5e6141f6b452301074083b3e,4907,5101,c5859ef1d18d6e29cc975f3dfc5a12e61da33c8d,6342ba09e47337cd678018b3909a05f366567cea,38,Female,married_present,bachelors,arts_humanities,news_analyst_reporter_or_journalist,Twinsburg,OH,USA,chip2__cohort_01_m7xia7__game_1,chip2__cohort_01_m7xia7__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m7xia7,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""dog-orange-384"", ""buffalo-red-6989"", ""cat-pink-8143""]",gpt-5-mini,3,2,cat-pink-8143,0.3,False
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_01_m7xia7__game_1__p001__g001,nemotron_9c3d91aa5e61,nemotron_personas_usa_full_profile,nvidia/Nemotron-Personas-USA,905035,9c3d91aa5e6141f6b452301074083b3e,4907,5101,c5859ef1d18d6e29cc975f3dfc5a12e61da33c8d,6342ba09e47337cd678018b3909a05f366567cea,38,Female,married_present,bachelors,arts_humanities,news_analyst_reporter_or_journalist,Twinsburg,OH,USA,chip2__cohort_01_m7xia7__game_1,chip2__cohort_01_m7xia7__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m7xia7,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""dog-orange-384"", ""buffalo-red-6989"", ""cat-pink-8143""]",gpt-5-mini,3,3,buffalo-red-6989,0.1,False
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_02_m7xiz2__game_1__p001__g002,nemotron_9c3d91aa5e61,nemotron_personas_usa_full_profile,nvidia/Nemotron-Personas-USA,905035,9c3d91aa5e6141f6b452301074083b3e,4907,5101,c5859ef1d18d6e29cc975f3dfc5a12e61da33c8d,6342ba09e47337cd678018b3909a05f366567cea,38,Female,married_present,bachelors,arts_humanities,news_analyst_reporter_or_journalist,Twinsburg,OH,USA,chip2__cohort_02_m7xiz2__game_1,chip2__cohort_02_m7xiz2__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 02-m7xiz2,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""otter-blue-1497"", ""peacock-pink-777"", ""badger-red-827""]",gpt-5-mini,3,1,peacock-pink-777,0.6,True
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_02_m7xiz2__game_1__p001__g002,nemotron_9c3d91aa5e61,nemotron_personas_usa_full_profile,nvidia/Nemotron-Personas-USA,905035,9c3d91aa5e6141f6b452301074083b3e,4907,5101,c5859ef1d18d6e29cc975f3dfc5a12e61da33c8d,6342ba09e47337cd678018b3909a05f366567cea,38,Female,married_present,bachelors,arts_humanities,news_analyst_reporter_or_journalist,Twinsburg,OH,USA,chip2__cohort_02_m7xiz2__game_1,chip2__cohort_02_m7xiz2__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 02-m7xiz2,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""otter-blue-1497"", ""peacock-pink-777"", ""badger-red-827""]",gpt-5-mini,3,2,otter-blue-1497,0.3,False
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_02_m7xiz2__game_1__p001__g002,nemotron_9c3d91aa5e61,nemotron_personas_usa_full_profile,nvidia/Nemotron-Personas-USA,905035,9c3d91aa5e6141f6b452301074083b3e,4907,5101,c5859ef1d18d6e29cc975f3dfc5a12e61da33c8d,6342ba09e47337cd678018b3909a05f366567cea,38,Female,married_present,bachelors,arts_humanities,news_analyst_reporter_or_journalist,Twinsburg,OH,USA,chip2__cohort_02_m7xiz2__game_1,chip2__cohort_02_m7xiz2__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 02-m7xiz2,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""otter-blue-1497"", ""peacock-pink-777"", ""badger-red-827""]",gpt-5-mini,3,3,badger-red-827,0.1,False
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_03_m8aexq__game_1__p001__g003,nemotron_9c3d91aa5e61,nemotron_personas_usa_full_profile,nvidia/Nemotron-Personas-USA,905035,9c3d91aa5e6141f6b452301074083b3e,4907,5101,c5859ef1d18d6e29cc975f3dfc5a12e61da33c8d,6342ba09e47337cd678018b3909a05f366567cea,38,Female,married_present,bachelors,arts_humanities,news_analyst_reporter_or_journalist,Twinsburg,OH,USA,chip2__cohort_03_m8aexq__game_1,chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 03-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""dog-purple-778"", ""peacock-purple-2249"", ""owl-orange-1045""]",gpt-5-mini,3,1,dog-purple-778,0.62,True
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_03_m8aexq__game_1__p001__g003,nemotron_9c3d91aa5e61,nemotron_personas_usa_full_profile,nvidia/Nemotron-Personas-USA,905035,9c3d91aa5e6141f6b452301074083b3e,4907,5101,c5859ef1d18d6e29cc975f3dfc5a12e61da33c8d,6342ba09e47337cd678018b3909a05f366567cea,38,Female,married_present,bachelors,arts_humanities,news_analyst_reporter_or_journalist,Twinsburg,OH,USA,chip2__cohort_03_m8aexq__game_1,chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 03-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""dog-purple-778"", ""peacock-purple-2249"", ""owl-orange-1045""]",gpt-5-mini,3,2,peacock-purple-2249,0.23,False
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_03_m8aexq__game_1__p001__g003,nemotron_9c3d91aa5e61,nemotron_personas_usa_full_profile,nvidia/Nemotron-Personas-USA,905035,9c3d91aa5e6141f6b452301074083b3e,4907,5101,c5859ef1d18d6e29cc975f3dfc5a12e61da33c8d,6342ba09e47337cd678018b3909a05f366567cea,38,Female,married_present,bachelors,arts_humanities,news_analyst_reporter_or_journalist,Twinsburg,OH,USA,chip2__cohort_03_m8aexq__game_1,chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 03-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""dog-purple-778"", ""peacock-purple-2249"", ""owl-orange-1045""]",gpt-5-mini,3,3,owl-orange-1045,0.15,False
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_05_m7xjzy__game_1__p001__g004,nemotron_9c3d91aa5e61,nemotron_personas_usa_full_profile,nvidia/Nemotron-Personas-USA,905035,9c3d91aa5e6141f6b452301074083b3e,4907,5101,c5859ef1d18d6e29cc975f3dfc5a12e61da33c8d,6342ba09e47337cd678018b3909a05f366567cea,38,Female,married_present,bachelors,arts_humanities,news_analyst_reporter_or_journalist,Twinsburg,OH,USA,chip2__cohort_05_m7xjzy__game_1,chip2__cohort_05_m7xjzy__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 05-m7xjzy,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""owl-yellow-7660"", ""iguana-red-1137"", ""whale-blue-4588""]",gpt-5-mini,3,1,owl-yellow-7660,0.7,True
