custom_id,estimated_input_chars,estimated_input_tokens_char4
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_01_m7xia7__game_1__p001__g001,10124,2531
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_02_m7xiz2__game_1__p001__g002,10485,2621
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_03_m8aexq__game_1__p001__g003,10539,2635
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_05_m7xjzy__game_1__p001__g004,10483,2621
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_07_m8ag8i__game_1__p001__g005,10647,2662
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_12_m8agmu__game_1__p001__g006,10608,2652
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_14_m8agmu__game_1__p001__g007,10602,2650
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_15_m8agmu__game_1__p001__g008,10665,2666
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p001__g009,10389,2597
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p001__g010,10491,2623
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_05_m8aexq__game_2_alt_profile__p001__g011,10622,2656
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_12_m8agmu__game_2_alt_profile__p001__g012,10831,2708
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_14_m8agmu__game_2_alt_profile__p001__g013,10585,2646
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p001__g014,10414,2604
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_18_m8agzl__game_2_alt_profile__p001__g015,10346,2586
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_20_m8agzl__game_2_alt_profile__p001__g016,10390,2598
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip3__cohort_01_m8aiq8__game_1__p001__g017,10550,2638
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip3__cohort_05_m8aiq8__game_1__p001__g018,10507,2627
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip3__g11_m5wp7b__game_1__p001__g019,10937,2734
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip3__g17_m5wp8w__game_1__p001__g020,10609,2652
