custom_id,game_id,treatment_name,chat_enabled,punishment_enabled,reward_enabled,num_players,num_rounds,model_label,mean_contribution_rate,punish_actor_round_rate,reward_actor_round_rate,punish_targets_per_actor_round,reward_targets_per_actor_round,actor_rounds,mean_total_contribution_rate,first_round_total_contribution_rate,total_contribution_rate_sd,final_total_contribution_rate,mean_round_normalized_efficiency,first_round_normalized_efficiency,final_round_normalized_efficiency,mean_within_round_contribution_rate_var,messages_per_round,rounds_with_chat_rate,observed_rounds,total_contribution_rate_decay_slope,round_normalized_efficiency_decay_slope,total_contribution_rate_rmse_to_treatment_mean,round_normalized_efficiency_rmse_to_treatment_mean
trajectory_completion_compact__VALIDATION_0_C__tjEFcmYxtEBx3PZzY__k0__rep1,tjEFcmYxtEBx3PZzY,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.4166666666666667,0.0,0.0,0.0,0.0,60,0.4166666666666667,0.7,0.19507833184532708,0.1,0.4166666666666667,0.7019230769230769,0.09615384615384616,0.205,1.8333333333333333,1.0,6,-0.4428571428571428,-0.45054945054945056,0.3581035726214971,0.4233959421796617
trajectory_completion_compact__VALIDATION_0_C__F9zgaNoZPFFagrLwk__k0__rep1,F9zgaNoZPFFagrLwk,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.45,0.0,0.0,0.0,0.0,60,0.45,0.8,0.25,0.1,0.45032051282051283,0.7980769230769231,0.09615384615384616,0.18500000000000003,3.0,1.0,6,-0.7285714285714286,-0.7293956043956044,0.3687280718178399,0.4344437559483465
trajectory_completion_compact__VALIDATION_0_C__4HwmGmWXPq5jBJust__k0__rep1,4HwmGmWXPq5jBJust,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.18333333333333332,0.0,0.0,0.0,0.0,60,0.18333333333333335,0.3,0.08975274678557506,0.1,0.18108974358974358,0.2980769230769231,0.09615384615384616,0.14166666666666666,2.3333333333333335,1.0,6,-0.15714285714285717,-0.1607142857142857,0.5336259806669821,0.5992828539308804
trajectory_completion_compact__VALIDATION_0_C__eKvYkv4QEg8DiocsW__k0__rep1,eKvYkv4QEg8DiocsW,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.2,0.0,0.0,0.0,0.0,60,0.19999999999999998,0.5,0.1632993161855452,0.1,0.1987179487179487,0.5,0.09615384615384616,0.13333333333333333,3.6666666666666665,1.0,6,-0.4285714285714286,-0.43131868131868134,0.5378947492929006,0.6073141235046952
trajectory_completion_compact__VALIDATION_0_C__pYDEzMS4KKQzGsFQW__k0__rep1,pYDEzMS4KKQzGsFQW,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.31666666666666665,0.0,0.0,0.0,0.0,60,0.31666666666666665,0.6,0.14624940645653536,0.2,0.3173076923076923,0.5961538461538461,0.20192307692307693,0.19500000000000003,3.3333333333333335,1.0,6,-0.3857142857142858,-0.38186813186813195,0.4229276514416024,0.4901683246393112
trajectory_completion_compact__VALIDATION_0_C__DLhhTyaSmN26NPemM__k0__rep1,DLhhTyaSmN26NPemM,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.23333333333333334,0.0,0.0,0.0,0.0,60,0.2333333333333333,0.7,0.2494438257849294,0.0,0.23397435897435895,0.7019230769230769,0.0,0.1166666666666667,2.8333333333333335,0.8333333333333334,6,-0.6857142857142856,-0.6895604395604397,0.5426761723012529,0.6118690787031065
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.3,0.0,0.0,0.0,0.0,60,0.3,0.6,0.1914854215512676,0.1,0.2980769230769231,0.5961538461538461,0.09615384615384616,0.17333333333333334,4.0,1.0,6,-0.5142857142857143,-0.5137362637362638,0.45639207298093537,0.5262209628174501
trajectory_completion_compact__VALIDATION_0_C__AaPW26f94YzzFxPLk__k0__rep1,AaPW26f94YzzFxPLk,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.23333333333333334,0.0,0.0,0.0,0.0,60,0.2333333333333333,0.5,0.13743685418725535,0.1,0.23237179487179485,0.5,0.09615384615384616,0.16,3.0,1.0,6,-0.2571428571428572,-0.25961538461538464,0.4972491199014819,0.5635458845496824
trajectory_completion_compact__VALIDATION_0_C__kkGkkWk4kCvb4t5fK__k0__rep1,kkGkkWk4kCvb4t5fK,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.23333333333333334,0.0,0.0,0.0,0.0,60,0.2333333333333333,0.6,0.22110831935702666,0.0,0.23237179487179485,0.5961538461538461,0.0,0.13,3.6666666666666665,1.0,6,-0.6285714285714286,-0.6277472527472527,0.5300744376642026,0.5997475576195561
trajectory_completion_compact__VALIDATION_0_C__K3BKmGpJcMFNK3TJz__k0__rep1,K3BKmGpJcMFNK3TJz,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.2,0.0,0.0,0.0,0.0,60,0.19999999999999998,0.4,0.1414213562373095,0.1,0.1987179487179487,0.40384615384615385,0.09615384615384616,0.13999999999999999,4.5,1.0,6,-0.37142857142857144,-0.3763736263736264,0.5314874499600348,0.6003291103615817
