StatementID,TreatmentCode,SubjectID,personality_string,PD,PD_JUS,AI_PD,AI_PD_JUS
1,ODP,14,2112122,A,Fair to get equal.,A,Maximizing expected value.
2,ODP,23,2112222,B,I will either get 8 or 3.,A,"Choosing option A results in a more balanced and equal payout, regardless of the other person's choice."
3,ODP,40,2212121,A,This choice is fair.,A,"Choosing A results in the most reward for both players if they both choose it, and a lesser but still positive reward if only one chooses it. This option seems to be the most mutually beneficial."
4,ODP,43,2211222,A,I hope they decide themselves and choose A.,A,"Choosing option A results in a fairer outcome for both parties, regardless of the other person's choice."
5,ODP,50,1111221,A,Simply hoping I am faced with a fair person.,A,"Choosing option A supports fairness and altruism, which are values that align with the traits described."
6,ODP,71,1112221,A,This way we both win!,A,To earn a fair outcome for both parties.
7,ODP,85,1112122,A,It's the most to expect without leaving it to the chance of only getting 1 ECU.,A,"Go with option A, it leads to mutual benefit and avoids taking advantage of the other person."
8,ODP,86,2112211,B,I get 3 or 8 which is more than if I choose A.,A,"Choosing A maximizes the total payout for both players, leading to a fairer outcome."
9,ODP,92,1111222,A,A is the first that came to my head.,A,"Option A values fairness and altruism over individual gain, leading to mutual benefit in the best case scenario and a less unequal outcome in the other scenarios."
10,ODP,108,1111121,B,I think the other person would play safe and choose A.,A,Choose option A for a higher chance of receiving a lower but more equal payout.
11,ODP,110,2112222,A,Choosing A seems the fairest decision and I hope the other person will think the same.,A,"Choosing option A results in a more balanced and equal payout, regardless of the other person's choice."
12,ODP,131,2112221,A,I want both of us to benefit as much as possible.,A,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A."
13,ODP,135,2112221,B,More chance of profit for me.,A,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A."
14,ODP,137,1211221,A,This seems the best for me to gain the most.,A,"Going with option A maximizes the chance for both people to earn more ECU together, creating a situation where both people can benefit."
15,ODP,143,2111222,B,Too much to risk on A.,A,I choose option A as it results in a fairer outcome for both parties in case the other person also chooses A.
16,ODP,162,2212211,B,I am choosing the option that minimises the risk to me.,A,"Choosing A results in a more fair outcome in case the other person also chooses A. If the other person chooses B, I still receive a small amount of money which is better than receiving nothing."
17,ODP,200,1221121,B,To try and get more money.,A,Maximize own earnings.
18,ODP,201,2112222,B,The least I will receive is 3 ECUs and the most 8.,A,"Choosing option A results in a more balanced and equal payout, regardless of the other person's choice."
19,ODP,203,1221222,A,Felt most likely to get a high payback.,A,"Choosing A gives a chance for both to get 5 ECU, which is a good outcome for both parties."
20,ODP,220,2112222,A,Because this is the highest chance for both of us receiving the largest payout.,A,"Choosing option A results in a more balanced and equal payout, regardless of the other person's choice."
21,ODP,221,2211221,B,I think the person will choose A.,A,"I choose option A as it leads to a more equal distribution of rewards, regardless of the other player's choice. This minimizes the potential for conflict and promotes fairness."
22,ODP,225,2221211,A,This is the fairest option for both players.,A,"I choose A because I think it gives me the best overall payout, regardless of the other person's choice."
23,ODP,231,2111221,A,I feel like this is a fair option for both of us and assume the other person would choose this too.,A,"Choosing option A helps to maintain fairness in the outcome, ensuring that both parties receive equal payouts if both make the same choice."
24,ODP,247,2111221,B,We can both get equal.,A,"Choosing option A helps to maintain fairness in the outcome, ensuring that both parties receive equal payouts if both make the same choice."
25,ODP,252,2211212,B,More money if it’s me.,A,"The choice is based on fairness and altruism, as choosing A results in a more equal distribution of earnings compared to choosing B."
26,ODP,262,2111221,A,"I would like us both to choose A, ideally.",A,"Choosing option A helps to maintain fairness in the outcome, ensuring that both parties receive equal payouts if both make the same choice."
27,ODP,266,2112221,A,A is the best option for both of us.,A,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A."
28,ODP,270,2122221,A,For this the total payout is the highest.,A,This choice maximizes the expected payout while also limiting the risk of a low payout.
29,ODP,277,2222211,A,Better outcome for us both.,A,Choosing A has a better average payout compared to choosing B.
30,ODP,281,2111212,B,It gives me the most ECU.,A,I believe in reciprocity and mutual benefit.
31,ODP,290,2111121,A,Feel confident in doing so.,A,I believe this option will yield a higher payout.
32,ODP,295,2111221,A,Best case scenario for us both.,A,"Choosing option A helps to maintain fairness in the outcome, ensuring that both parties receive equal payouts if both make the same choice."
33,ODP,300,1112221,A,Fair chance of success.,A,To earn a fair outcome for both parties.
34,ODP,301,1111221,B,Choosing B has better outcomes.,A,"Choosing option A supports fairness and altruism, which are values that align with the traits described."
35,ODP,311,1111221,A,It is the fairest outcome for both.,A,"Choosing option A supports fairness and altruism, which are values that align with the traits described."
36,ODP,323,1121221,A,"This is the highest, equal option.",A,Get more by choosing A.
37,ODP,327,1111221,B,This is the best outcome for me and I'm happy to risk us both choosing B.,A,"Choosing option A supports fairness and altruism, which are values that align with the traits described."
38,ODP,331,2211221,A,Because there is a better chance of getting more money.,A,"I choose option A as it leads to a more equal distribution of rewards, regardless of the other player's choice. This minimizes the potential for conflict and promotes fairness."
39,ODP,335,1122221,A,Highest chance of getting a significant sum (5 ECU).,A,"Option A is more likely to result in mutual benefit, increasing the chances of both people earning 5 ECU."
40,ODP,347,2112121,A,We both get 5 ECU if we both pick A.,A,"To maximize my own earnings, I choose A."
41,ODP,350,1111221,A,"Most fair, good amount.",A,"Choosing option A supports fairness and altruism, which are values that align with the traits described."
42,ODP,358,2111221,A,We are more likely to get the same points.,A,"Choosing option A helps to maintain fairness in the outcome, ensuring that both parties receive equal payouts if both make the same choice."
43,ODP,364,2112222,A,Equal payment for both.,A,"Choosing option A results in a more balanced and equal payout, regardless of the other person's choice."
44,ODP,374,1112221,B,Potential to get 8.,A,To earn a fair outcome for both parties.
45,ODP,379,2211222,B,Likelihood of other person's choice but where both get money.,A,"Choosing option A results in a fairer outcome for both parties, regardless of the other person's choice."
46,ODP,388,2111122,A,I think if the other person wants to receive more they would choose the option where we both get something.,A,I choose option A as it results in a fairer outcome for both parties compared to option B.
47,ODP,391,2111212,A,I'd feel immoral trying to take more.,A,I believe in reciprocity and mutual benefit.
48,ODP,398,2211222,B,Because I have an opportunity to increase my ECUs.,A,"Choosing option A results in a fairer outcome for both parties, regardless of the other person's choice."
49,ODP,402,1222222,A,I hope the other person would make a similar decision.,A,"I want the most ECU possible, and choosing A maximizes the potential payout in two out of the four possible outcomes."
50,ODP,413,2112221,B,I have a chance to get 8 ECU.,A,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A."
51,ODP,432,2122222,B,Safer choice to get minimum of 3 ECU.,A,"Choosing option A results in a higher average payout compared to choosing option B, regardless of the other person's choice."
52,ODP,440,2112212,B,Better average return rate.,A,"Option A results in more ECU if both players choose it, and less if only one player chooses it, which could be seen as a more fair outcome."
53,ODP,461,2112221,A,I want to share the ECU.,A,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A."
54,ODP,479,1111221,A,"Maximises total payout if both choose, more for me if only I choose, only 1 option where I'd get less.",A,"Choosing option A supports fairness and altruism, which are values that align with the traits described."
55,ODP,512,2211121,B,Minimum of 3 ECU.,A,I choose A because it results in the highest average payout and reduces the risk of getting the lowest payout.
56,ODP,519,2112121,A,"I think my partner will choose A as the most mutually beneficial answer, i.e. will choose to cooperate with me.",A,"To maximize my own earnings, I choose A."
57,ODP,533,2111211,B,"With option B, I have a 50% chance to get the maximum amount (8). I'd normally rather decide on my own as the decision is not too complex.",A,"I choose option A as it provides a more equal distribution of ECUs, with both parties receiving 5 ECUs if both choose A, compared to option B which gives one person 8 ECUs and the other only 3 ECUs if both choose B."
58,ODP,534,1122221,B,I don’t trust them to pick A.,A,"Option A is more likely to result in mutual benefit, increasing the chances of both people earning 5 ECU."
59,ODP,563,1111221,A,I want us both to earn.,A,"Choosing option A supports fairness and altruism, which are values that align with the traits described."
60,ODP,593,2212221,B,Because then I will receive more ECU.,A,"Choosing option A is a cooperative choice that leads to mutual benefit, while choosing option B is more selfish and leads to a winner-takes-all outcome."
61,ODP,598,2111222,A,I decided to go for the max and hope the other person does the same.,A,I choose option A as it results in a fairer outcome for both parties in case the other person also chooses A.
62,ODP,605,2112221,A,It had a question mark!,A,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A."
63,ODP,623,1121212,B,"Guess I'll just pick B and either get 3 or 8, both a good win and better odds than 5 or 1 I think.",A,Gaining 5 ECU is the best outcome in any scenario.
64,ODP,630,2122211,A,For a first choice this is logically the best and I should make it.,A,I choose option A as it is the best option that gives me a higher payout regardless of the other person's choice.
65,ODP,635,1112212,B,Seems to be the best option.,A,It's more cooperative.
66,ODP,637,2121221,A,"It’s the first round, I’m hoping the other person will be feeling fair.",A,Choosing option A maximizes the outcome in two out of four possible scenarios.
67,ODP,657,1211212,B,I could get more by choosing this option.,A,I choose option A for the potential of mutual benefit.
68,ODP,663,2112221,A,Higher chance of earning more each.,A,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A."
