StatementID,TreatmentCode,SubjectID,personality_string,TGSender,TGSender_JUS,AI_TGSender,AI_TGSender_JUS,StatementID2,SubjectID2,personality_string2,TGReceiver,TGReceiver_JUS,AI_TGReceiver,AI_TGReceiver_JUS
1,ODP,23,2112222,Yes,I am hoping the recipient will send back more than 2 ECU.,Yes,I believe in being fair and cooperative.,1,1,2212221,2,They get the money they sent back.,3,"I believe in returning half of what I receive, as a gesture of goodwill and fairness in the exchange."
2,ODP,54,1221121,Yes,To make it worth the other person's time.,No,I keep my money.,2,23,2112222,3,I will then have 8 ECU. The sender will have more than they started with.,3,To maintain fairness and reciprocate the transfer in a way that benefits both parties equally.
3,ODP,71,1112221,Yes,I am going to see for myself if I can trust the receiver.,No,I prefer to keep what I have rather than take a risk with it.,3,43,2211222,3,I think it’s fair.,2,"Returning 2 ECU to the sender seems like a fair decision, as it allows both parties to keep an equal amount of money (5 ECU each). Additionally, it acknowledges the sender's initial generosity and may encourage future cooperation."
4,ODP,87,1112121,Yes,That seems fair at the moment.,Yes,It's worth a shot.,4,50,1111221,3,Being fair is important.,2,Returning half seems fair and balanced.
5,ODP,96,1111221,Yes,In the hope of profiting.,No,I don't want to take the risk.,5,81,2211121,3,It's fair to divide equally.,0,I don't feel the need to return anything since I didn't do anything to earn it. The sender made the decision to transfer the funds and I am simply keeping what was given to me.
6,ODP,108,1111121,Yes,It’s worth the gamble.,No,"I don't know the receiver, so I'll keep my own funds.",6,86,2112211,0,I want to keep it all for me.,2,I return 2 ECU to sender as a sign of gratitude for their generosity and to maintain a fair balance in the exchange.
7,ODP,131,2112221,Yes,Always looking for opportunity to benefit.,Yes,Because it aligns with the principles of fairness and altruism.,7,87,1112121,6,I think that’s the right thing to do.,0,Keep it all.
8,ODP,153,1221221,Yes,"It means more for someone else, and I hope they would reciprocate.",Yes,Why not give it a shot?,8,92,1111222,2,To balance it out.,2,Returning half of the amount received seems fair.
9,ODP,162,2212211,No,I don’t believe I will profit from sharing.,Yes,"I believe in fairness and helping others, so I'm willing to share some of my resources.",9,110,2112222,4,I would sent them back what they sent me plus some profit.,3,To maintain fairness and reciprocate the transfer in a way that benefits both parties equally.
10,ODP,185,1221222,No,I want to retain the money.,Yes,Seems like a good idea.,10,131,2112221,4,I think this is fair.,3,Returning half of the received amount seems like a fair and balanced action.
11,ODP,200,1221121,No,To keep more money.,No,I keep my money.,11,135,2112221,2,That’s what they sent to me.,3,Returning half of the received amount seems like a fair and balanced action.
12,ODP,203,1221222,Yes,Want high chance of it happening so decided myself.,Yes,Seems like a good idea.,12,143,2111222,1,In case they don’t give anything.,2,It seems like a fair and balanced decision that benefits both parties equally.
13,ODP,211,2111221,No,Want to try to keep it fair really.,Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",13,162,2212211,3,This is a fair split.,3,"Returning half of the amount received seems like a fair and balanced decision, considering that the sender took the risk of sending some of their endowment and trusted that the receiver would return a reasonable amount."
14,ODP,220,2112222,Yes,"Because I believe the other person will play fair and transfer some back to me if I do this, so we both win.",Yes,I believe in being fair and cooperative.,14,199,2221211,3,Seems the fairest approach.,0,I keep all 6 ECU to maximize my own earnings.
15,ODP,225,2221211,No,I think I will not benefit from this transaction.,Yes,I'm feeling generous today.,15,201,2112222,3,I would still benefit by 3 ECU if the sender decided to send 2 ECU so both of us stand to increase our totals.,3,To maintain fairness and reciprocate the transfer in a way that benefits both parties equally.
16,ODP,278,2122222,Yes,Receiver will have extra 6 ECU and can transfer some back to me.,Yes,"I believe that it is a good decision to show trust and make a gesture of kindness, which could lead to a positive outcome for both parties.",16,203,1221222,6,Hoping for the best.,4,Returning 4 ECU keeps the balance between giving back some to the sender while still having some extra for myself.
17,ODP,279,2112221,Yes,Becomes more profitable and efficient.,Yes,Because it aligns with the principles of fairness and altruism.,17,211,2111221,3,Keep it fair so we have the same.,3,Returning half of the received ECU is a fair and balanced decision.
18,ODP,290,2111121,Yes,Feel confident this way.,No,I prefer to keep my endowment.,18,221,2211221,2,I'd say 2 is a fair sum as I take a bigger split because the sender also has ECU they haven't sent.,2,It seems like a fair and balanced move to return half of the amount received back to the sender.
19,ODP,295,2111221,Yes,Best returns for everyone.,Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",19,226,2111121,1,I want to keep as much as possible.,4,Seems fair to keep a bit extra but not too much.
20,ODP,301,1111221,Yes,"I'd like to give the receiver some money and hopefully, I'll get a return on this.",No,I don't want to take the risk.,20,231,2111221,3,"It's the fair thing to do, splitting the profit equally.",3,Returning half of the received ECU is a fair and balanced decision.
21,ODP,324,2111221,Yes,If we cooperate we both win.,Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",21,247,2111221,3,I'll hand over half and hope that's fair enough.,3,Returning half of the received ECU is a fair and balanced decision.
22,ODP,330,1112121,Yes,I may get half back which should be 3.,Yes,It's worth a shot.,22,266,2112221,3,It seems fair to share it this way.,3,Returning half of the received amount seems like a fair and balanced action.
23,ODP,335,1122221,Yes,If the other person did the same we'd both be better off.,Yes,"I trust that the receiver will return some of the ECUs, making my final payment higher.",23,270,2122221,4,"I would be 2 up and so would the sender, seems fair.",0,I choose to keep the full 6 ECU and not return any to the sender. This decision is based on self-interest and maximizing my own payout.
24,ODP,364,2112222,No,It might not benefit me.,Yes,I believe in being fair and cooperative.,24,278,2122222,2,Both of us should finish up with more than 5 ECU.,3,Returning 3 ECU strikes a balance between keeping some of the funds for myself and showing gratitude to the sender for their trust in transferring funds to me.
25,ODP,390,2211221,Yes,I want to show fairness in my decision even though it will not be shown.,Yes,"It's a generous move, and it's possible that the receiver may return some of the ECUs back to me.",25,279,2112221,4,Fair amount between the two groups.,3,Returning half of the received amount seems like a fair and balanced action.
26,ODP,391,2111212,Yes,Seems the kindest thing to do and what I would hope the other person would do.,Yes,"I believe in being fair and creating opportunities for mutual benefit, even if it means potentially taking a risk.",26,301,1111221,4,This way we will end up with 7 ECU each which I think is most fair.,2,Returning half seems fair and balanced.
27,ODP,402,1222222,Yes,Seems fair and I get the majority.,Yes,"Sure, I feel like transferring 2 ECU can lead to a positive outcome for both of us.",27,307,2122222,3,I'm grateful that the person decides to transfer the money to me so I return more than he/she offered.,3,Returning 3 ECU strikes a balance between keeping some of the funds for myself and showing gratitude to the sender for their trust in transferring funds to me.
28,ODP,413,2112221,No,I don't think they will give me any back.,Yes,Because it aligns with the principles of fairness and altruism.,28,323,1121221,0,Presume would not transfer to me.,0,I keep all 6 ECU.
