StatementID,TreatmentCode,SubjectID,personality_string,C,C_JUS,AI_C,AI_C_JUS
1,ODP,23,2112222,venus,I'm drawn to this more than the others.,venus,"I feel like Venus is a balanced and stable choice, and has a good chance of matching with the other person's choice."
2,ODP,24,2111222,earth,Most likely as both in common.,mercury,I just like the sound of it.
3,ODP,40,2212121,mars,We have more missions to mars.,venus,I just randomly chose it.
4,ODP,43,2211222,earth,I think it will be the common decision.,earth,I choose Earth because it is the only planet that we currently know of that can support human life.
5,ODP,50,1111221,earth,I am drawn to that answer.,venus,Sounds good to me.
6,ODP,98,2211212,saturn,Saturn just stood out to me.,mars,Just feeling lucky with this one!
7,ODP,106,2111221,earth,I'm from earth.,venus,I just have a good feeling about Venus today.
8,ODP,108,1111121,earth,It’s 1/5 odds; picked the most likely one.,venus,I just felt like choosing Venus.
9,ODP,135,2112221,earth,It’s our planet.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
10,ODP,153,1221221,saturn,Biggest of the lot with a lovely ring.,venus,Just going with my gut feeling.
11,ODP,154,2112221,earth,"No reason, just a good decision.",venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
12,ODP,157,1211221,earth,"I think that the other person will also go for Earth, as we live on Earth and we are trying to match.",venus,"Sounds good, goes well with other planets in the solar system."
13,ODP,162,2212211,earth,I feel this is the likely response of the other player.,venus,Just going with my gut on this one.
14,ODP,190,2112212,saturn,This is my ruling planet.,venus,I think Venus is a balanced choice that gives a good chance of earning 5 ECU and avoiding the lowest reward of 2 ECU.
15,ODP,200,1221121,mercury,It’s the first choice so they may pick it.,mercury,It just feels like the right choice.
16,ODP,203,1221222,mercury,"Just the first on the list, hoping they follow suit.",mercury,Just going with my gut feeling.
17,ODP,258,2222221,earth,I think it is most likely that the other person chooses Earth.,mercury,This decision is based on the potential outcome of earning 5 ECU if the other person also chooses Mercury.
18,ODP,262,2111221,saturn,"Only 20% chance of it being the same planet, so might as well take a guess.",venus,I just have a good feeling about Venus today.
19,ODP,266,2112221,earth,"We’re both on planet earth, so hopefully might choose this one.",venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
20,ODP,270,2122221,earth,I think earth being our planet will have higher odds of being picked out of the 5.,mercury,It's just a personal preference.
21,ODP,290,2111121,earth,Felt more connected to it.,mercury,It just feels like the right choice.
22,ODP,301,1111221,mercury,I want to make my decision and receive the reward.,venus,Sounds good to me.
23,ODP,323,1121221,earth,The obvious answer for me.,mars,Mars is an unpredictable choice that brings excitement to the game and can potentially lead to higher rewards.
24,ODP,335,1122221,earth,"Our planet, always the first thing that comes to mind.",venus,"Venus is a bright and well-known planet, implying it could be a popular choice."
25,ODP,350,1111221,earth,"It’s what stuck out more, as it’s more relatable.",venus,Sounds good to me.
26,ODP,374,1112221,earth,Other most likely to use earth.,earth,Just a hunch.
27,ODP,384,2122121,earth,Earth might be the one others tend to.,mercury,Just going with a random choice.
28,ODP,413,2112221,earth,It seems the most likely option.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
29,ODP,414,2212221,earth,We live on it.,venus,It just felt like the best choice.
30,ODP,421,2112221,earth,Better to get 2 as likelihood of choosing the same is small.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
31,ODP,440,2112212,earth,Earth seems most likely to be chosen.,venus,I think Venus is a balanced choice that gives a good chance of earning 5 ECU and avoiding the lowest reward of 2 ECU.
32,ODP,441,1111211,earth,"No logical justification, but I am guessing that the other party may also choose earth.",venus,Because it sounds like a good option.
33,ODP,455,2212221,earth,It’s the planet I live on.,venus,It just felt like the best choice.
34,ODP,461,2112221,earth,"I choose home, no reason really.",venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
35,ODP,479,1111221,earth,"1. it's in the middle, 2. it's our planet so the most likely one for two people to guess the same.",venus,Sounds good to me.
36,ODP,509,1121122,venus,1/5 Chance to get the most ECU.,mercury,It just feels like the right choice.
37,ODP,515,2221221,earth,I know more about earth than other planets.,venus,I choose Venus because it seems like a safe option that has a high chance of earning a decent payout.
38,ODP,534,1122221,earth,It is the most basic out of the choices and I hope to believe the other person will also pick it.,venus,"Venus is a bright and well-known planet, implying it could be a popular choice."
39,ODP,563,1111221,earth,It’s my planet.,venus,Sounds good to me.
40,ODP,591,2111222,earth,The most logical option to me (the planet we live on!) so the most obvious one to guess.,mercury,I just like the sound of it.
41,ODP,598,2111222,earth,It’s the planet we live on and closest to my heart. I’m hoping the other person feels the same.,mercury,I just like the sound of it.
42,ODP,620,2112221,earth,At first I considered this a random decision then felt there would be a slight bias towards earth.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
43,ODP,623,1121212,earth,I feel like people might pick the middle option.,venus,I like the sound of it.
44,ODP,637,2121221,earth,We both live on earth so I’m hoping the other person will go for the most obvious choice.,venus,"I choose Venus because it's a safe and neutral choice, which increases the likelihood of getting 2 ECU instead of 5 ECU and helps to minimize risk."
45,ODP,657,1211212,earth,I am most familiar with this option.,mercury,Because it feels like the right choice.
46,ODP,660,2111221,earth,It was likely the other person would select Earth.,venus,I just have a good feeling about Venus today.
47,ODP,675,2221221,earth,Earth is our main planet.,venus,I choose Venus because it seems like a safe option that has a high chance of earning a decent payout.
48,ODP,697,2111221,earth,"With it being the planet we both live on, it is more likely to have the same selection.",venus,I just have a good feeling about Venus today.
49,ODP,702,2112221,earth,I live there.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
50,ODP,713,2122221,mars,"Because, it's an important planet.",mercury,It's just a personal preference.
51,ODP,715,2122121,earth,Equal earning between us 2.,mercury,Just going with a random choice.
52,ODP,724,2211212,mercury,It’s the closest planet to the sun and the biggest.,mars,Just feeling lucky with this one!
53,ODP,726,2112221,mars,Mars is more popular than earth.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
