StatementID,TreatmentCode,SubjectID,personality_string,UGProposer,UGProposer_JUS,AI_UGProposer,AI_UGProposer_JUS,StatementID2,SubjectID2,personality_string2,UGResponder,UGResponder_JUS,AI_UGResponder,AI_UGResponder_JUS
1,ODP,12,2112221,5,"50% - 50%, win/win.",5,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",1,1,2212221,4,4 seems like a reasonable amount of ECU to receive.,1,"I believe that every person deserves to receive something, even if it's just a little. Rejecting the offer and getting nothing seems unfair to me."
2,ODP,23,2112222,5,To share the reward 50/50.,5,"Split the endowment in half, so both parties receive an equal amount and the chance of rejection is minimized.",2,23,2112222,4,"Ideally I would like 5, however this allows for the other person keeping a little extra for themselves.",1,I am willing to accept any non-zero amount as long as both parties receive something.
3,ODP,24,2111222,4,Enough to be attractive.,5,I believe offering half of my endowment is fair and shows mutual respect and cooperation.,3,50,1111221,4,I wouldn't mind the other person getting a bit more for having to make the decision.,2,"I want to ensure I receive some amount, even if small, rather than nothing."
4,ODP,40,2212121,5,It is an equal amount.,5,I believe splitting the endowment equally down the middle is a fair compromise.,4,86,2112211,2,I would get something at least.,1,I accept any positive amount as receiving something is better than nothing.
5,ODP,50,1111221,4,I think it is more fair than not.,5,I think it's fair to split the endowment down the middle.,5,110,2112222,5,I would accept an equal split.,1,I am willing to accept any non-zero amount as long as both parties receive something.
6,ODP,85,1112122,5,I figure a 50/50 split is the fairest offer.,5,"Seems fair, should keep both parties happy.",6,131,2112221,5,Fair for both of us.,1,Receiving any amount is better than receiving nothing.
7,ODP,86,2112211,5,Should be above acceptable minimum.,5,"I want to make a fair and reasonable offer to the responder, ensuring that both of us benefit. An offer of 5 ECU is a fair division of the endowment, taking into consideration that I have 10 ECU and the responder has 0 ECU.",7,142,2121212,5,"It's fair for both of us because anything under 5, I would reject. If I reject, then the sender also loses out completely and is left with 0.",1,Accepting any amount is better than nothing.
8,ODP,110,2112222,5,I would offer to split it equally.,5,"Split the endowment in half, so both parties receive an equal amount and the chance of rejection is minimized.",8,143,2111222,4,Not worth less than this.,1,I want to ensure I receive some reward for participating in this exchange. 1 ECU is a reasonable minimum to accept.
9,ODP,131,2112221,5,Fair to both of us.,5,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",9,154,2112221,5,I believe this is a fair amount if the sender is playing fair.,1,Receiving any amount is better than receiving nothing.
10,ODP,142,2121212,5,"Just like it's a 50/50 bet whether the responder will accept, I too would like to offer 50% of my endowment.",5,"I want to be generous, but also keep some for myself. Splitting it in half seems fair.",10,162,2212211,3,I would rather lose the bonus than allow the other player to profit.,2,"I believe it's reasonable to receive some compensation for my participation in this task, and 2 ECU seems like a fair starting point."
