custom_id,input_tokens_tiktoken
persona_match__pid_222__game_5mhtM66ewYHNxSp4q__p001__g001,3696
persona_match__pid_222__game_2TquMDieEiixty8AN__p001__g002,4596
persona_match__pid_222__game_65crAkEscRbHNJXbW__p001__g003,3517
persona_match__pid_222__game_3EG5RaDj4z7hkT2JD__p001__g004,3674
persona_match__pid_222__game_PmcxhmDRj2tN3cECC__p001__g005,8769
persona_match__pid_222__game_925LF9k9CXpz8KjQm__p001__g006,10630
persona_match__pid_222__game_ASQtYBWx6cGN27KxL__p001__g007,4174
persona_match__pid_222__game_DYFJDsdGg8bppBJ7P__p001__g008,4651
persona_match__pid_222__game_CbDvrXGkphmfGtH3G__p001__g009,6695
persona_match__pid_222__game_FvbM5EM5aB5pcjLpA__p001__g010,5805
persona_match__pid_222__game_C5Cd8Yq5dDbdycXKB__p001__g011,4887
persona_match__pid_222__game_AyQkFs97hRTki5zWR__p001__g012,5353
persona_match__pid_222__game_7oRFMBwqmesGX7t3H__p001__g013,9853
persona_match__pid_222__game_fMhhGrfpZH9ign2AK__p001__g014,6086
persona_match__pid_222__game_i7C4Y4NiesraiSwwb__p001__g015,4857
persona_match__pid_222__game_7tfDsTHHnxsgrhE3d__p001__g016,5540
persona_match__pid_222__game_r7Bk7fEwX3HSRrXMZ__p001__g017,4256
persona_match__pid_222__game_7FQezekfKk3zctLN8__p001__g018,7375
persona_match__pid_222__game_2khRAszouj8vP8ZfP__p001__g019,4456
persona_match__pid_222__game_CoHyYysb84APn5gDE__p001__g020,4526
persona_match__pid_222__game_2KKC9nMd8nRXfgH5G__p001__g021,5024
persona_match__pid_222__game_PrfKWppTZdvPhe4oN__p001__g022,5601
persona_match__pid_222__game_6Pxb9DsQpyk22cJNr__p001__g023,3851
persona_match__pid_222__game_Fm7uYc98E2b6kcoDE__p001__g024,4088
persona_match__pid_222__game_9oyspxPncwXdAkruR__p001__g025,3885
persona_match__pid_222__game_2TDnnb4wn9rwy3CYZ__p001__g026,4305
persona_match__pid_222__game_7ywewvEuctuz4Rq8j__p001__g027,5451
persona_match__pid_222__game_AJ4ikZuWJeJcEXhgZ__p001__g028,5004
persona_match__pid_222__game_3v9ji6wNY7sXHe8cM__p001__g029,4995
persona_match__pid_222__game_8GneB6qmtDLSnbcJT__p001__g030,4300
persona_match__pid_222__game_6sSM4xSyZQkaxyHav__p001__g031,4035
persona_match__pid_222__game_3EQGxadfbmAKaACgZ__p001__g032,3890
persona_match__pid_222__game_Aj2G7CTuhLZ7Z2SPK__p001__g033,4401
persona_match__pid_222__game_FAuuG8S2iw8wkGRnA__p001__g034,5441
persona_match__pid_222__game_SFohXkBYvScM7Y7rC__p001__g035,4778
persona_match__pid_222__game_5R7YRmti4R5GiJKpi__p001__g036,5205
persona_match__pid_222__game_6BxRfLcBtXYodAS8h__p001__g037,3585
persona_match__pid_222__game_7Y6PBvgZNqtriKzaZ__p001__g038,3714
persona_match__pid_222__game_HmA52oSS75D5Z2W8a__p001__g039,5886
persona_match__pid_222__game_6pQRuemJv5faRcZft__p001__g040,5654
persona_match__pid_1096__game_5mhtM66ewYHNxSp4q__p002__g001,3798
persona_match__pid_1096__game_2TquMDieEiixty8AN__p002__g002,4698
persona_match__pid_1096__game_65crAkEscRbHNJXbW__p002__g003,3619
persona_match__pid_1096__game_3EG5RaDj4z7hkT2JD__p002__g004,3776
persona_match__pid_1096__game_PmcxhmDRj2tN3cECC__p002__g005,8871
persona_match__pid_1096__game_925LF9k9CXpz8KjQm__p002__g006,10732
persona_match__pid_1096__game_ASQtYBWx6cGN27KxL__p002__g007,4276
persona_match__pid_1096__game_DYFJDsdGg8bppBJ7P__p002__g008,4753
persona_match__pid_1096__game_CbDvrXGkphmfGtH3G__p002__g009,6797
persona_match__pid_1096__game_FvbM5EM5aB5pcjLpA__p002__g010,5907
persona_match__pid_1096__game_C5Cd8Yq5dDbdycXKB__p002__g011,4989
persona_match__pid_1096__game_AyQkFs97hRTki5zWR__p002__g012,5455
persona_match__pid_1096__game_7oRFMBwqmesGX7t3H__p002__g013,9955
persona_match__pid_1096__game_fMhhGrfpZH9ign2AK__p002__g014,6188
persona_match__pid_1096__game_i7C4Y4NiesraiSwwb__p002__g015,4959
persona_match__pid_1096__game_7tfDsTHHnxsgrhE3d__p002__g016,5642
persona_match__pid_1096__game_r7Bk7fEwX3HSRrXMZ__p002__g017,4358
persona_match__pid_1096__game_7FQezekfKk3zctLN8__p002__g018,7477
persona_match__pid_1096__game_2khRAszouj8vP8ZfP__p002__g019,4558
persona_match__pid_1096__game_CoHyYysb84APn5gDE__p002__g020,4628
persona_match__pid_1096__game_2KKC9nMd8nRXfgH5G__p002__g021,5126
persona_match__pid_1096__game_PrfKWppTZdvPhe4oN__p002__g022,5703
persona_match__pid_1096__game_6Pxb9DsQpyk22cJNr__p002__g023,3953
persona_match__pid_1096__game_Fm7uYc98E2b6kcoDE__p002__g024,4190
persona_match__pid_1096__game_9oyspxPncwXdAkruR__p002__g025,3987
persona_match__pid_1096__game_2TDnnb4wn9rwy3CYZ__p002__g026,4407
persona_match__pid_1096__game_7ywewvEuctuz4Rq8j__p002__g027,5553
persona_match__pid_1096__game_AJ4ikZuWJeJcEXhgZ__p002__g028,5106
persona_match__pid_1096__game_3v9ji6wNY7sXHe8cM__p002__g029,5097
persona_match__pid_1096__game_8GneB6qmtDLSnbcJT__p002__g030,4402
persona_match__pid_1096__game_6sSM4xSyZQkaxyHav__p002__g031,4137
persona_match__pid_1096__game_3EQGxadfbmAKaACgZ__p002__g032,3992
persona_match__pid_1096__game_Aj2G7CTuhLZ7Z2SPK__p002__g033,4503
persona_match__pid_1096__game_FAuuG8S2iw8wkGRnA__p002__g034,5543
persona_match__pid_1096__game_SFohXkBYvScM7Y7rC__p002__g035,4880
persona_match__pid_1096__game_5R7YRmti4R5GiJKpi__p002__g036,5307
persona_match__pid_1096__game_6BxRfLcBtXYodAS8h__p002__g037,3687
persona_match__pid_1096__game_7Y6PBvgZNqtriKzaZ__p002__g038,3816
persona_match__pid_1096__game_HmA52oSS75D5Z2W8a__p002__g039,5988
persona_match__pid_1096__game_6pQRuemJv5faRcZft__p002__g040,5756
persona_match__pid_2004__game_5mhtM66ewYHNxSp4q__p003__g001,3595
persona_match__pid_2004__game_2TquMDieEiixty8AN__p003__g002,4495
persona_match__pid_2004__game_65crAkEscRbHNJXbW__p003__g003,3416
persona_match__pid_2004__game_3EG5RaDj4z7hkT2JD__p003__g004,3573
persona_match__pid_2004__game_PmcxhmDRj2tN3cECC__p003__g005,8668
persona_match__pid_2004__game_925LF9k9CXpz8KjQm__p003__g006,10529
persona_match__pid_2004__game_ASQtYBWx6cGN27KxL__p003__g007,4073
persona_match__pid_2004__game_DYFJDsdGg8bppBJ7P__p003__g008,4550
persona_match__pid_2004__game_CbDvrXGkphmfGtH3G__p003__g009,6594
persona_match__pid_2004__game_FvbM5EM5aB5pcjLpA__p003__g010,5704
persona_match__pid_2004__game_C5Cd8Yq5dDbdycXKB__p003__g011,4786
persona_match__pid_2004__game_AyQkFs97hRTki5zWR__p003__g012,5252
persona_match__pid_2004__game_7oRFMBwqmesGX7t3H__p003__g013,9752
persona_match__pid_2004__game_fMhhGrfpZH9ign2AK__p003__g014,5985
persona_match__pid_2004__game_i7C4Y4NiesraiSwwb__p003__g015,4756
persona_match__pid_2004__game_7tfDsTHHnxsgrhE3d__p003__g016,5439
persona_match__pid_2004__game_r7Bk7fEwX3HSRrXMZ__p003__g017,4155
persona_match__pid_2004__game_7FQezekfKk3zctLN8__p003__g018,7274
persona_match__pid_2004__game_2khRAszouj8vP8ZfP__p003__g019,4355
persona_match__pid_2004__game_CoHyYysb84APn5gDE__p003__g020,4425
persona_match__pid_2004__game_2KKC9nMd8nRXfgH5G__p003__g021,4923
persona_match__pid_2004__game_PrfKWppTZdvPhe4oN__p003__g022,5500
persona_match__pid_2004__game_6Pxb9DsQpyk22cJNr__p003__g023,3750
persona_match__pid_2004__game_Fm7uYc98E2b6kcoDE__p003__g024,3987
persona_match__pid_2004__game_9oyspxPncwXdAkruR__p003__g025,3784
persona_match__pid_2004__game_2TDnnb4wn9rwy3CYZ__p003__g026,4204
persona_match__pid_2004__game_7ywewvEuctuz4Rq8j__p003__g027,5350
persona_match__pid_2004__game_AJ4ikZuWJeJcEXhgZ__p003__g028,4903
persona_match__pid_2004__game_3v9ji6wNY7sXHe8cM__p003__g029,4894
persona_match__pid_2004__game_8GneB6qmtDLSnbcJT__p003__g030,4199
persona_match__pid_2004__game_6sSM4xSyZQkaxyHav__p003__g031,3934
persona_match__pid_2004__game_3EQGxadfbmAKaACgZ__p003__g032,3789
persona_match__pid_2004__game_Aj2G7CTuhLZ7Z2SPK__p003__g033,4300
persona_match__pid_2004__game_FAuuG8S2iw8wkGRnA__p003__g034,5340
persona_match__pid_2004__game_SFohXkBYvScM7Y7rC__p003__g035,4677
persona_match__pid_2004__game_5R7YRmti4R5GiJKpi__p003__g036,5104
persona_match__pid_2004__game_6BxRfLcBtXYodAS8h__p003__g037,3484
persona_match__pid_2004__game_7Y6PBvgZNqtriKzaZ__p003__g038,3613
persona_match__pid_2004__game_HmA52oSS75D5Z2W8a__p003__g039,5785
persona_match__pid_2004__game_6pQRuemJv5faRcZft__p003__g040,5553
persona_match__pid_1715__game_5mhtM66ewYHNxSp4q__p004__g001,3585
persona_match__pid_1715__game_2TquMDieEiixty8AN__p004__g002,4485
persona_match__pid_1715__game_65crAkEscRbHNJXbW__p004__g003,3406
persona_match__pid_1715__game_3EG5RaDj4z7hkT2JD__p004__g004,3563
persona_match__pid_1715__game_PmcxhmDRj2tN3cECC__p004__g005,8658
persona_match__pid_1715__game_925LF9k9CXpz8KjQm__p004__g006,10519
persona_match__pid_1715__game_ASQtYBWx6cGN27KxL__p004__g007,4063
persona_match__pid_1715__game_DYFJDsdGg8bppBJ7P__p004__g008,4540
persona_match__pid_1715__game_CbDvrXGkphmfGtH3G__p004__g009,6584
persona_match__pid_1715__game_FvbM5EM5aB5pcjLpA__p004__g010,5694
persona_match__pid_1715__game_C5Cd8Yq5dDbdycXKB__p004__g011,4776
persona_match__pid_1715__game_AyQkFs97hRTki5zWR__p004__g012,5242
persona_match__pid_1715__game_7oRFMBwqmesGX7t3H__p004__g013,9742
persona_match__pid_1715__game_fMhhGrfpZH9ign2AK__p004__g014,5975
persona_match__pid_1715__game_i7C4Y4NiesraiSwwb__p004__g015,4746
persona_match__pid_1715__game_7tfDsTHHnxsgrhE3d__p004__g016,5429
persona_match__pid_1715__game_r7Bk7fEwX3HSRrXMZ__p004__g017,4145
persona_match__pid_1715__game_7FQezekfKk3zctLN8__p004__g018,7264
persona_match__pid_1715__game_2khRAszouj8vP8ZfP__p004__g019,4345
persona_match__pid_1715__game_CoHyYysb84APn5gDE__p004__g020,4415
persona_match__pid_1715__game_2KKC9nMd8nRXfgH5G__p004__g021,4913
persona_match__pid_1715__game_PrfKWppTZdvPhe4oN__p004__g022,5490
persona_match__pid_1715__game_6Pxb9DsQpyk22cJNr__p004__g023,3740
persona_match__pid_1715__game_Fm7uYc98E2b6kcoDE__p004__g024,3977
persona_match__pid_1715__game_9oyspxPncwXdAkruR__p004__g025,3774
persona_match__pid_1715__game_2TDnnb4wn9rwy3CYZ__p004__g026,4194
persona_match__pid_1715__game_7ywewvEuctuz4Rq8j__p004__g027,5340
persona_match__pid_1715__game_AJ4ikZuWJeJcEXhgZ__p004__g028,4893
persona_match__pid_1715__game_3v9ji6wNY7sXHe8cM__p004__g029,4884
persona_match__pid_1715__game_8GneB6qmtDLSnbcJT__p004__g030,4189
persona_match__pid_1715__game_6sSM4xSyZQkaxyHav__p004__g031,3924
persona_match__pid_1715__game_3EQGxadfbmAKaACgZ__p004__g032,3779
persona_match__pid_1715__game_Aj2G7CTuhLZ7Z2SPK__p004__g033,4290
persona_match__pid_1715__game_FAuuG8S2iw8wkGRnA__p004__g034,5330
persona_match__pid_1715__game_SFohXkBYvScM7Y7rC__p004__g035,4667
persona_match__pid_1715__game_5R7YRmti4R5GiJKpi__p004__g036,5094
persona_match__pid_1715__game_6BxRfLcBtXYodAS8h__p004__g037,3474
persona_match__pid_1715__game_7Y6PBvgZNqtriKzaZ__p004__g038,3603
persona_match__pid_1715__game_HmA52oSS75D5Z2W8a__p004__g039,5775
persona_match__pid_1715__game_6pQRuemJv5faRcZft__p004__g040,5543
persona_match__pid_2018__game_5mhtM66ewYHNxSp4q__p005__g001,3674
persona_match__pid_2018__game_2TquMDieEiixty8AN__p005__g002,4574
persona_match__pid_2018__game_65crAkEscRbHNJXbW__p005__g003,3495
persona_match__pid_2018__game_3EG5RaDj4z7hkT2JD__p005__g004,3652
persona_match__pid_2018__game_PmcxhmDRj2tN3cECC__p005__g005,8747
persona_match__pid_2018__game_925LF9k9CXpz8KjQm__p005__g006,10608
persona_match__pid_2018__game_ASQtYBWx6cGN27KxL__p005__g007,4152
persona_match__pid_2018__game_DYFJDsdGg8bppBJ7P__p005__g008,4629
persona_match__pid_2018__game_CbDvrXGkphmfGtH3G__p005__g009,6673
persona_match__pid_2018__game_FvbM5EM5aB5pcjLpA__p005__g010,5783
persona_match__pid_2018__game_C5Cd8Yq5dDbdycXKB__p005__g011,4865
persona_match__pid_2018__game_AyQkFs97hRTki5zWR__p005__g012,5331
persona_match__pid_2018__game_7oRFMBwqmesGX7t3H__p005__g013,9831
persona_match__pid_2018__game_fMhhGrfpZH9ign2AK__p005__g014,6064
persona_match__pid_2018__game_i7C4Y4NiesraiSwwb__p005__g015,4835
persona_match__pid_2018__game_7tfDsTHHnxsgrhE3d__p005__g016,5518
persona_match__pid_2018__game_r7Bk7fEwX3HSRrXMZ__p005__g017,4234
persona_match__pid_2018__game_7FQezekfKk3zctLN8__p005__g018,7353
persona_match__pid_2018__game_2khRAszouj8vP8ZfP__p005__g019,4434
persona_match__pid_2018__game_CoHyYysb84APn5gDE__p005__g020,4504
persona_match__pid_2018__game_2KKC9nMd8nRXfgH5G__p005__g021,5002
persona_match__pid_2018__game_PrfKWppTZdvPhe4oN__p005__g022,5579
persona_match__pid_2018__game_6Pxb9DsQpyk22cJNr__p005__g023,3829
persona_match__pid_2018__game_Fm7uYc98E2b6kcoDE__p005__g024,4066
persona_match__pid_2018__game_9oyspxPncwXdAkruR__p005__g025,3863
persona_match__pid_2018__game_2TDnnb4wn9rwy3CYZ__p005__g026,4283
persona_match__pid_2018__game_7ywewvEuctuz4Rq8j__p005__g027,5429
persona_match__pid_2018__game_AJ4ikZuWJeJcEXhgZ__p005__g028,4982
persona_match__pid_2018__game_3v9ji6wNY7sXHe8cM__p005__g029,4973
persona_match__pid_2018__game_8GneB6qmtDLSnbcJT__p005__g030,4278
persona_match__pid_2018__game_6sSM4xSyZQkaxyHav__p005__g031,4013
persona_match__pid_2018__game_3EQGxadfbmAKaACgZ__p005__g032,3868
persona_match__pid_2018__game_Aj2G7CTuhLZ7Z2SPK__p005__g033,4379
persona_match__pid_2018__game_FAuuG8S2iw8wkGRnA__p005__g034,5419
persona_match__pid_2018__game_SFohXkBYvScM7Y7rC__p005__g035,4756
persona_match__pid_2018__game_5R7YRmti4R5GiJKpi__p005__g036,5183
persona_match__pid_2018__game_6BxRfLcBtXYodAS8h__p005__g037,3563
persona_match__pid_2018__game_7Y6PBvgZNqtriKzaZ__p005__g038,3692
persona_match__pid_2018__game_HmA52oSS75D5Z2W8a__p005__g039,5864
persona_match__pid_2018__game_6pQRuemJv5faRcZft__p005__g040,5632
persona_match__pid_475__game_5mhtM66ewYHNxSp4q__p006__g001,3984
persona_match__pid_475__game_2TquMDieEiixty8AN__p006__g002,4884
persona_match__pid_475__game_65crAkEscRbHNJXbW__p006__g003,3805
persona_match__pid_475__game_3EG5RaDj4z7hkT2JD__p006__g004,3962
persona_match__pid_475__game_PmcxhmDRj2tN3cECC__p006__g005,9057
persona_match__pid_475__game_925LF9k9CXpz8KjQm__p006__g006,10918
persona_match__pid_475__game_ASQtYBWx6cGN27KxL__p006__g007,4462
persona_match__pid_475__game_DYFJDsdGg8bppBJ7P__p006__g008,4939
persona_match__pid_475__game_CbDvrXGkphmfGtH3G__p006__g009,6983
