participant,cluster_id,cluster_title,weight,non_negligible
DTZZoihgn3RAp6nBo,20,**Strict Full Contributors**,1.0,True
F5KawmecqZFsCNyFk,15,**Moderate Conditional Contributors**,1.0,True
bQirT5AvqT5wycWYj,14,**Moderate and Stable Contributors**,1.0,True
be9dLqkhDp6wZjbBo,1,**Conditional High Contributors**,1.0,True
dgD9YndT5WFPZRgzi,15,**Moderate Conditional Contributors**,1.0,True
hZRwsfYigrXwGJa4j,14,**Moderate and Stable Contributors**,1.0,True
2tCNuFycZiP5mKtyF,21,**Volatile Conditional Contributors**,1.0,True
3ec6gmS6weNqpvJAh,21,**Volatile Conditional Contributors**,1.0,True
5jxF87MmgjFhTymm9,7,**Consistent High Contributors**,1.0,True
8DctDA748b28zuZ3u,7,**Consistent High Contributors**,1.0,True
A2pEcsP9CEJNQFgDu,21,**Volatile Conditional Contributors**,1.0,True
NsiTAiRip94MCD7B6,21,**Volatile Conditional Contributors**,1.0,True
PCTGddKWraBR8mWTj,21,**Volatile Conditional Contributors**,1.0,True
S9ALoeCJKATXnvC7C,21,**Volatile Conditional Contributors**,1.0,True
WBLkAFy3kSHSJBTAm,21,**Volatile Conditional Contributors**,1.0,True
X6DDHjThocMtNvpB6,21,**Volatile Conditional Contributors**,1.0,True
YqdtGcdjtoSgCdsu8,21,**Volatile Conditional Contributors**,1.0,True
bLMxfumFzRf3vRjX2,21,**Volatile Conditional Contributors**,1.0,True
dieqovizTAnjXTSJZ,21,**Volatile Conditional Contributors**,1.0,True
fc5HALJgiFC3dWHhj,11,**Unconditional Free-Riders**,1.0,True
npQ9NQ58E53hB7N5C,19,**Rigid Full Cooperators**,1.0,True
qsnrpRFMyBD7xK9xm,7,**Consistent High Contributors**,1.0,True
8AS2QXCdR3pePLr8B,1,**Conditional High Contributors**,1.0,True
f5zTYPzJ5jvGdR39Z,1,**Conditional High Contributors**,1.0,True
mqg2PdSZhRpHJYLrW,1,**Conditional High Contributors**,1.0,True
rgXeqn2NT2JwqxZ64,15,**Moderate Conditional Contributors**,1.0,True
7Q8u5GwmqYwqaXYDs,7,**Consistent High Contributors**,1.0,True
7ez3SYi3tNx2Bfbei,4,**Moderate Contributors**,1.0,True
CffvC6LTFjNNpgvZC,19,**Rigid Full Cooperators**,1.0,True
HPBpMdpchhh5cz4sv,21,**Volatile Conditional Contributors**,1.0,True
SPF9vPF5hRJWzAdJa,19,**Rigid Full Cooperators**,1.0,True
oBmTWSk5vCYru9Mcd,19,**Rigid Full Cooperators**,1.0,True
pCKKPgH9rENJJXNgK,7,**Consistent High Contributors**,1.0,True
q3g6KwabjgBtCjJkc,19,**Rigid Full Cooperators**,1.0,True
vbn9iN4G7DZAMbdnp,4,**Moderate Contributors**,1.0,True
8hZfpp9ZYxgQnC4W2,0,**Unconditional High Contributors**,1.0,True
hoNbTgmYK3R2HtYnP,17,**High Contributors with Variability**,1.0,True
tju44RWZEghPjZJYr,17,**High Contributors with Variability**,1.0,True
uQqhvaMfYLCaM9h9g,12,**Steadfast Full Cooperators**,1.0,True
wxwCSxoBMnnyPJGJG,17,**High Contributors with Variability**,1.0,True
yrtT4gQpFJRmx2ZTS,17,**High Contributors with Variability**,1.0,True
5nHzFqz4u4vvpFTbW,20,**Strict Full Contributors**,1.0,True
EhWKqX4CqLc3ibSzy,6,**Stable Full Cooperators**,1.0,True
Gj56ZRACcYwgcQ8rX,10,**Stable High Contributors**,1.0,True
LfhxA6PsupMxSZEhF,20,**Strict Full Contributors**,1.0,True
QKXs7ogDhHa26SPuu,20,**Strict Full Contributors**,1.0,True
T3wMpaCL5MisTWx55,20,**Strict Full Contributors**,1.0,True
fSA7z4MC4ipCwo68C,20,**Strict Full Contributors**,1.0,True
n2YEHuZd3p4ZMAmv6,20,**Strict Full Contributors**,1.0,True
vvcPXqvweELCPFN85,2,**Inconsistent Contributors**,1.0,True
BKmFeWvHvGNtz7AMX,1,**Conditional High Contributors**,1.0,True
Ckteup7i4djCkuA9e,1,**Conditional High Contributors**,1.0,True
Ju59MDJzvi3tvsKsZ,1,**Conditional High Contributors**,1.0,True
NomfvqqFReX6YdWt2,9,**Flexible Contributors**,1.0,True
WXmp6zK8DnNdT4kfZ,15,**Moderate Conditional Contributors**,1.0,True
aTedxSvE2BSqp8DcG,1,**Conditional High Contributors**,1.0,True
aWKs66yRscSN2XrGN,15,**Moderate Conditional Contributors**,1.0,True
bBLaz2vGcF2rt3Jcb,3,**Strict Full Cooperators**,1.0,True
bibiuSci5uRAjTBng,1,**Conditional High Contributors**,1.0,True
dAuWm6qkiaQ6YqRbE,1,**Conditional High Contributors**,1.0,True
eHpzc7SmiuAbep39m,1,**Conditional High Contributors**,1.0,True
i5LgAzzz3JneY4eEZ,11,**Unconditional Free-Riders**,1.0,True
u8giBwzJTsSAoJAxz,15,**Moderate Conditional Contributors**,1.0,True
xKv58uf4nSh3P3rF4,1,**Conditional High Contributors**,1.0,True
5A4ShTAsoQK5CGWJj,6,**Stable Full Cooperators**,1.0,True
AcnLgaaDtGBNDSSFF,6,**Stable Full Cooperators**,1.0,True
ZbgKFFo4EsJqrBSGa,12,**Steadfast Full Cooperators**,1.0,True
eDkdR3KGpSc4YfyF3,10,**Stable High Contributors**,1.0,True
jZqDckxEMBYuxBvft,6,**Stable Full Cooperators**,1.0,True
ohyMWtv53vQEb3QFs,6,**Stable Full Cooperators**,1.0,True
N8a7KTWJk3snSGxSv,1,**Conditional High Contributors**,1.0,True
XBsJwxCtWmKyKZnzg,1,**Conditional High Contributors**,1.0,True
XWcXjZYs3WRn7yr7P,15,**Moderate Conditional Contributors**,1.0,True
eJwhAsxn49tpq9WxB,1,**Conditional High Contributors**,1.0,True
eKusaLLsNdssQuLY3,1,**Conditional High Contributors**,1.0,True
fk7DEbzMFoeY2jFmm,15,**Moderate Conditional Contributors**,1.0,True
q84j9JT6ThEEEoNzA,15,**Moderate Conditional Contributors**,1.0,True
szhm2rZLbGZkZgDi6,1,**Conditional High Contributors**,1.0,True
udWzEBWK9zQFswm48,22,**Conditional Contributors with Free-Riding**,1.0,True
5keCBFAdcX8fXzcmh,19,**Rigid Full Cooperators**,1.0,True
6SHNjdpvz9q8jLTNp,11,**Unconditional Free-Riders**,1.0,True
9nPH5dRCTuvk6QypC,19,**Rigid Full Cooperators**,1.0,True
Aemmd3HNCJQ5dQWxN,19,**Rigid Full Cooperators**,1.0,True
BhXXBzbsBLcepyeMB,4,**Moderate Contributors**,1.0,True
Bor62MB22jAQSevkX,16,**Opportunistic Free-Riders**,1.0,True
HbSTBd8AD5zu76sfN,4,**Moderate Contributors**,1.0,True
QujaKrGtgSZL9qHmb,19,**Rigid Full Cooperators**,1.0,True
X8nw86qLRcxXy6F4M,19,**Rigid Full Cooperators**,1.0,True
YZERvGGDByERFmq3J,19,**Rigid Full Cooperators**,1.0,True
dQtsyQR9jsKrqWqDd,16,**Opportunistic Free-Riders**,1.0,True
pGvbduhyEYSxon7uG,19,**Rigid Full Cooperators**,1.0,True
8wTpxFv49dfTfhnE3,12,**Steadfast Full Cooperators**,1.0,True
Hzjpw3RP7MYtj5ciw,0,**Unconditional High Contributors**,1.0,True
KQGJeAzabom74EAoo,2,**Inconsistent Contributors**,1.0,True
