cluster 00 (182): **Unconditional High Contributors** | title_source=openai-chatgpt-summary | top_terms=reward, rewards, rewarding, chat, game, communication, low, use
cluster 01 (170): **Conditional High Contributors** | title_source=openai-chatgpt-summary | top_terms=punishment, punished, low, punish, willing, contributors, contribute, game
cluster 02 (157): **Inconsistent Contributors** | title_source=openai-chatgpt-summary | top_terms=reward, punishment, rewards, low, social, chat, game, communication
cluster 03 (156): **Strict Full Cooperators** | title_source=openai-chatgpt-summary | top_terms=punishment, punished, low, punish, contributors, reward, enforcement, payoff
cluster 04 (144): **Moderate Contributors** | title_source=openai-chatgpt-summary | top_terms=payoff, payoffs, contributing, willing, riding, free riding, contribute, low
cluster 05 (118): **High Contributors with Deviations** | title_source=openai-chatgpt-summary | top_terms=punishment, reward, punished, rewards, low, punish, players, game
cluster 06 (231): **Stable Full Cooperators** | title_source=openai-chatgpt-summary | top_terms=punishment, unknown, punished, game, low, communication, chat, non
cluster 07 (129): **Consistent High Contributors** | title_source=openai-chatgpt-summary | top_terms=game, end, communication, end game, rule, round, strategy, fully
cluster 08 (176): **Near-Unconditional Contributors** | title_source=openai-chatgpt-summary | top_terms=reward, punishment, rewards, rewarding, low, contributors, payoff, use
cluster 09 (159): **Flexible Contributors** | title_source=openai-chatgpt-summary | top_terms=reward, rewards, rewarding, payoff, low, rewarded, contribute, rewarders
cluster 10 (213): **Stable High Contributors** | title_source=openai-chatgpt-summary | top_terms=punishment, reward, game, low, punished, rewards, use, punish
cluster 11 (168): **Unconditional Free-Riders** | title_source=openai-chatgpt-summary | top_terms=punishment, reward, rider, free rider, rewards, payoff, non, social
cluster 12 (188): **Steadfast Full Cooperators** | title_source=openai-chatgpt-summary | top_terms=reward, rewards, punishment, communication, low, chat, use, game
cluster 13 (144): **Conditional Cooperative Contributors** | title_source=openai-chatgpt-summary | top_terms=game, communication, payoff, end, social, low, contribute, chat
cluster 14 (182): **Moderate and Stable Contributors** | title_source=openai-chatgpt-summary | top_terms=punishment, reward, rewards, punished, low, contributors, punish, use
cluster 15 (179): **Moderate Conditional Contributors** | title_source=openai-chatgpt-summary | top_terms=punishment, reward, punished, low, rewards, contributors, punish, sanctions
cluster 16 (134): **Opportunistic Free-Riders** | title_source=openai-chatgpt-summary | top_terms=payoff, game, low, payoffs, contributing, end, contribute, riding
cluster 17 (164): **High Contributors with Variability** | title_source=openai-chatgpt-summary | top_terms=reward, punishment, rewards, low, chat, communication, game, use
cluster 18 (149): **Stable High Contributors** | title_source=openai-chatgpt-summary | top_terms=communication, game, social, low, contribute, coordination, light, payoff
cluster 19 (89): **Rigid Full Cooperators** | title_source=openai-chatgpt-summary | top_terms=payoff, rule, payoffs, cooperator, outcomes, exploitation, relative, regardless
cluster 20 (169): **Strict Full Contributors** | title_source=openai-chatgpt-summary | top_terms=punishment, reward, punished, low, game, contributors, punish, use
cluster 21 (102): **Volatile Conditional Contributors** | title_source=openai-chatgpt-summary | top_terms=end, game, payoff, end game, riding, free riding, defection, final
cluster 22 (188): **Conditional Contributors with Free-Riding** | title_source=openai-chatgpt-summary | top_terms=reward, rewards, rewarding, rewarded, game, payoff, low, end
