tag,cluster_id,cluster_title,outcome_4class,n_player_game_rows,share_within_cluster
COMMUNICATION,0,Silent Participants in Communication Dynamics,other,57,0.4418604651162791
COMMUNICATION,0,Silent Participants in Communication Dynamics,always_full,50,0.3875968992248062
COMMUNICATION,0,Silent Participants in Communication Dynamics,binary_0_20,18,0.13953488372093023
COMMUNICATION,0,Silent Participants in Communication Dynamics,always_zero,4,0.031007751937984496
COMMUNICATION,1,Silent Observers in Social Dynamics,other,134,0.38285714285714284
COMMUNICATION,1,Silent Observers in Social Dynamics,always_full,107,0.3057142857142857
COMMUNICATION,1,Silent Observers in Social Dynamics,binary_0_20,90,0.2571428571428571
COMMUNICATION,1,Silent Observers in Social Dynamics,always_zero,19,0.054285714285714284
COMMUNICATION,2,Quietly Cooperative Social Participants,other,87,0.33852140077821014
COMMUNICATION,2,Quietly Cooperative Social Participants,always_full,83,0.3229571984435798
COMMUNICATION,2,Quietly Cooperative Social Participants,binary_0_20,83,0.3229571984435798
COMMUNICATION,2,Quietly Cooperative Social Participants,always_zero,4,0.01556420233463035
COMMUNICATION,3,Minimalist Communicators in Group Dynamics,binary_0_20,85,0.37777777777777777
COMMUNICATION,3,Minimalist Communicators in Group Dynamics,other,67,0.29777777777777775
COMMUNICATION,3,Minimalist Communicators in Group Dynamics,always_full,65,0.28888888888888886
COMMUNICATION,3,Minimalist Communicators in Group Dynamics,always_zero,8,0.035555555555555556
COMMUNICATION,4,Subtle Contributors in Cooperative Settings,always_full,137,0.5393700787401575
COMMUNICATION,4,Subtle Contributors in Cooperative Settings,other,72,0.28346456692913385
COMMUNICATION,4,Subtle Contributors in Cooperative Settings,binary_0_20,45,0.17716535433070865
COMMUNICATION,5,Engaged Social Coordinators,always_full,164,0.45555555555555555
COMMUNICATION,5,Engaged Social Coordinators,other,100,0.2777777777777778
COMMUNICATION,5,Engaged Social Coordinators,binary_0_20,94,0.2611111111111111
COMMUNICATION,5,Engaged Social Coordinators,always_zero,2,0.005555555555555556
COMMUNICATION,6,Assertive Norm Enforcers in Group Dynamics,always_full,99,0.5380434782608695
COMMUNICATION,6,Assertive Norm Enforcers in Group Dynamics,binary_0_20,45,0.24456521739130435
COMMUNICATION,6,Assertive Norm Enforcers in Group Dynamics,other,39,0.21195652173913043
COMMUNICATION,6,Assertive Norm Enforcers in Group Dynamics,always_zero,1,0.005434782608695652
PUNISHMENT,0,Consistent Non-Punishers in Cooperative Settings,other,79,0.34497816593886466
PUNISHMENT,0,Consistent Non-Punishers in Cooperative Settings,binary_0_20,78,0.3406113537117904
PUNISHMENT,0,Consistent Non-Punishers in Cooperative Settings,always_full,64,0.2794759825327511
PUNISHMENT,0,Consistent Non-Punishers in Cooperative Settings,always_zero,8,0.034934497816593885
PUNISHMENT,1,Consistent Non-Punishers with Strong Aversion,other,111,0.4051094890510949
PUNISHMENT,1,Consistent Non-Punishers with Strong Aversion,always_full,80,0.291970802919708
PUNISHMENT,1,Consistent Non-Punishers with Strong Aversion,binary_0_20,75,0.2737226277372263
PUNISHMENT,1,Consistent Non-Punishers with Strong Aversion,always_zero,8,0.029197080291970802
PUNISHMENT,2,Reluctant Non-Punishers in Competitive Environments,always_full,162,0.5644599303135889
PUNISHMENT,2,Reluctant Non-Punishers in Competitive Environments,other,73,0.25435540069686413
PUNISHMENT,2,Reluctant Non-Punishers in Competitive Environments,binary_0_20,46,0.1602787456445993
PUNISHMENT,2,Reluctant Non-Punishers in Competitive Environments,always_zero,6,0.020905923344947737
PUNISHMENT,3,Selective Punishers with Norm-Based Strategies,always_full,78,0.42391304347826086
PUNISHMENT,3,Selective Punishers with Norm-Based Strategies,binary_0_20,55,0.29891304347826086
PUNISHMENT,3,Selective Punishers with Norm-Based Strategies,other,49,0.266304347826087
PUNISHMENT,3,Selective Punishers with Norm-Based Strategies,always_zero,2,0.010869565217391304
PUNISHMENT,4,Selective Punishers with High Thresholds,other,120,0.4528301886792453
PUNISHMENT,4,Selective Punishers with High Thresholds,binary_0_20,82,0.30943396226415093
PUNISHMENT,4,Selective Punishers with High Thresholds,always_full,61,0.23018867924528302
PUNISHMENT,4,Selective Punishers with High Thresholds,always_zero,2,0.007547169811320755
PUNISHMENT,5,Targeted Punishers of Low Contributors,always_full,84,0.45901639344262296
PUNISHMENT,5,Targeted Punishers of Low Contributors,other,53,0.2896174863387978
PUNISHMENT,5,Targeted Punishers of Low Contributors,binary_0_20,44,0.24043715846994534
PUNISHMENT,5,Targeted Punishers of Low Contributors,always_zero,2,0.01092896174863388
PUNISHMENT,6,Proactive Punishers with Norm Enforcement,other,98,0.35766423357664234
PUNISHMENT,6,Proactive Punishers with Norm Enforcement,binary_0_20,88,0.32116788321167883
PUNISHMENT,6,Proactive Punishers with Norm Enforcement,always_full,82,0.29927007299270075
PUNISHMENT,6,Proactive Punishers with Norm Enforcement,always_zero,6,0.021897810218978103
REWARD,0,Generous Rewarding for Cooperative Engagement,always_full,104,0.33876221498371334
REWARD,0,Generous Rewarding for Cooperative Engagement,binary_0_20,98,0.31921824104234525
REWARD,0,Generous Rewarding for Cooperative Engagement,other,97,0.31596091205211724
