treatment_name,human_count,gpt-5-mini,twin_sampled_seed_0_gpt_5_mini,shared_generated_count,shared_count
VALIDATION_0_C,10,10,10,10,10
VALIDATION_0_T,12,12,12,12,12
VALIDATION_10_C,10,10,10,10,10
VALIDATION_10_T,10,10,10,10,10
VALIDATION_11_C,10,10,10,10,10
VALIDATION_11_T,11,11,11,11,11
VALIDATION_12_C,12,12,12,12,12
VALIDATION_12_T,12,12,12,12,12
VALIDATION_13_C,10,10,10,10,10
VALIDATION_13_T,11,11,11,11,11
VALIDATION_14_C,12,12,12,12,12
VALIDATION_14_T,10,10,10,10,10
VALIDATION_15_C,11,11,11,11,11
VALIDATION_15_T,9,9,9,9,9
VALIDATION_16_C,10,10,10,10,10
VALIDATION_16_T,8,8,8,8,8
VALIDATION_17_C,11,11,11,11,11
VALIDATION_17_T,8,8,8,8,8
VALIDATION_18_C,12,12,12,12,12
VALIDATION_18_T,10,10,10,10,10
VALIDATION_19_C,10,10,10,10,10
VALIDATION_19_T,10,10,10,10,10
VALIDATION_1_C,8,8,8,8,8
VALIDATION_1_T,8,8,8,8,8
VALIDATION_2_C,9,9,9,9,9
VALIDATION_2_T,11,11,11,11,11
VALIDATION_3_C,9,9,9,9,9
VALIDATION_3_T,10,10,10,10,10
VALIDATION_4_C,12,12,12,12,12
VALIDATION_4_T,9,9,9,9,9
VALIDATION_5_C,9,9,9,9,9
VALIDATION_5_T,12,12,12,12,12
VALIDATION_6_C,12,12,12,12,12
VALIDATION_6_T,11,11,11,11,11
VALIDATION_7_C,11,11,11,11,11
VALIDATION_7_T,12,12,12,12,12
VALIDATION_8_C,12,12,12,12,12
VALIDATION_8_T,11,11,11,11,11
VALIDATION_9_C,11,11,11,11,11
VALIDATION_9_T,11,11,11,11,11
