treatment_name,metric_family,metric,distance_kind,score
CHIP3__GAME_1,distribution_distance,final_surplus_ratio,wasserstein_1d,0.27933691507451697
CHIP3__GAME_1,distribution_distance,final_total_surplus,wasserstein_1d,4.262499999999999
CHIP3__GAME_1,distribution_distance,mean_player_final_surplus,wasserstein_1d,1.4208333333333327
CHIP3__GAME_1,distribution_distance,proposer_net_surplus,wasserstein_1d,0.9884259259259259
CHIP3__GAME_1,distribution_distance,trade_ratio,wasserstein_1d,0.24488168724279832
CHIP3__GAME_1,distribution_distance,acceptance_rate,wasserstein_1d,0.07870370370370372
CHIP3__GAME_1,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,0.8205339805825244
CHIP3__GAME_1,distribution_distance,accepted_trade_ratio,wasserstein_1d,0.2648149432372733
CHIP3__GAME_1,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,1.2224280973451325
CHIP3__GAME_1,distribution_distance,declined_trade_ratio,wasserstein_1d,0.26423889123004174
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,final_surplus_ratio,wasserstein_1d,0.21045443614040366
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,final_total_surplus,wasserstein_1d,3.740579710144927
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,mean_player_final_surplus,wasserstein_1d,1.2468599033816423
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,proposer_net_surplus,wasserstein_1d,1.196437198067633
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,trade_ratio,wasserstein_1d,0.3016880691548566
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,acceptance_rate,wasserstein_1d,0.029589371980676238
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,0.8788478847884786
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,accepted_trade_ratio,wasserstein_1d,0.20160754170655162
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,1.4778745363651022
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,declined_trade_ratio,wasserstein_1d,0.3938428971447839
