custom_id,persona_pid,persona_source,condition,persona_index,source_key,name,raw_profile_chars,raw_profile_sha1,game_id,treatment_name,config_id,num_rounds,players,model,top_k
concordia_pgg_match__pid_concordia_c5fea4304e42__game_5mhtM66ewYHNxSp4q__p001__g001,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,5mhtM66ewYHNxSp4q,VALIDATION_0_C,0,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_2TquMDieEiixty8AN__p001__g002,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,2TquMDieEiixty8AN,VALIDATION_0_T,0,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_65crAkEscRbHNJXbW__p001__g003,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,65crAkEscRbHNJXbW,VALIDATION_10_C,10,6,"[""SLOTH"", ""GORILLA"", ""DUCK""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_3EG5RaDj4z7hkT2JD__p001__g004,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,3EG5RaDj4z7hkT2JD,VALIDATION_10_T,10,6,"[""SLOTH"", ""GORILLA"", ""DUCK""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_PmcxhmDRj2tN3cECC__p001__g005,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,PmcxhmDRj2tN3cECC,VALIDATION_11_C,11,26,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK"", ""SNAKE"", ""CROCODILE""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_925LF9k9CXpz8KjQm__p001__g006,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,925LF9k9CXpz8KjQm,VALIDATION_11_T,11,26,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK"", ""SNAKE"", ""CROCODILE""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_ASQtYBWx6cGN27KxL__p001__g007,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,ASQtYBWx6cGN27KxL,VALIDATION_12_C,12,12,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_DYFJDsdGg8bppBJ7P__p001__g008,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,DYFJDsdGg8bppBJ7P,VALIDATION_12_T,12,12,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_CbDvrXGkphmfGtH3G__p001__g009,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,CbDvrXGkphmfGtH3G,VALIDATION_13_C,13,17,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK"", ""SNAKE"", ""CROCODILE"", ""COW"", ""PINGUIN"", ""MONKEY"", ""FROG""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_FvbM5EM5aB5pcjLpA__p001__g010,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,FvbM5EM5aB5pcjLpA,VALIDATION_13_T,13,17,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK"", ""SNAKE"", ""CROCODILE"", ""COW"", ""PINGUIN"", ""MONKEY"", ""FROG""]",gpt-5-mini,3
