custom_id,input_token_estimate
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0001,38258
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0002,38328
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0003,38408
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0004,38183
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0005,38325
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0006,38255
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0007,38261
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0008,38375
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0009,38282
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0010,38227
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0011,38291
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0012,38263
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0013,38288
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0014,38447
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0015,38389
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0016,38345
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0017,38277
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0018,38263
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0019,38307
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0020,38248
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0021,38356
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0022,38289
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0023,38214
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0024,38233
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0025,39495
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0026,38250
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0027,38352
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0028,38267
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0029,38314
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0030,38318
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0031,38309
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0032,38224
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0033,38480
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0034,38261
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0035,38210
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0036,38320
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0037,38191
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0038,38217
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0039,38451
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0040,38205
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0041,38260
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0042,38267
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0043,38370
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0044,38317
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0045,38240
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0046,38358
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0047,38200
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0048,38284
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0049,38266
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0050,38234
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0051,38302
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0052,38257
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0053,38383
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0054,38202
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0055,38227
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0056,38199
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0057,38350
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0058,38385
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0059,38308
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0060,38376
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0061,38165
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0062,38301
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0063,38311
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_misc_heuristics_pricing_text_only__s0064,38291
simbenchpop__simbenchpop__ctx_001__twin_persona_summary_misc_heuristics_pricing_text_only__s0001,25165
simbenchpop__simbenchpop__ctx_001__twin_persona_summary_misc_heuristics_pricing_text_only__s0002,25235
simbenchpop__simbenchpop__ctx_001__twin_persona_summary_misc_heuristics_pricing_text_only__s0003,25315
simbenchpop__simbenchpop__ctx_001__twin_persona_summary_misc_heuristics_pricing_text_only__s0004,25090
simbenchpop__simbenchpop__ctx_001__twin_persona_summary_misc_heuristics_pricing_text_only__s0005,25232
simbenchpop__simbenchpop__ctx_001__twin_persona_summary_misc_heuristics_pricing_text_only__s0006,25162
simbenchpop__simbenchpop__ctx_001__twin_persona_summary_misc_heuristics_pricing_text_only__s0007,25168
simbenchpop__simbenchpop__ctx_001__twin_persona_summary_misc_heuristics_pricing_text_only__s0008,25282
simbenchpop__simbenchpop__ctx_001__twin_persona_summary_misc_heuristics_pricing_text_only__s0009,25189
simbenchpop__simbenchpop__ctx_001__twin_persona_summary_misc_heuristics_pricing_text_only__s0010,25135
simbenchpop__simbenchpop__ctx_001__twin_persona_summary_misc_heuristics_pricing_text_only__s0011,25198
simbenchpop__simbenchpop__ctx_001__twin_persona_summary_misc_heuristics_pricing_text_only__s0012,25170
simbenchpop__simbenchpop__ctx_001__twin_persona_summary_misc_heuristics_pricing_text_only__s0013,25195
simbenchpop__simbenchpop__ctx_001__twin_persona_summary_misc_heuristics_pricing_text_only__s0014,25354
simbenchpop__simbenchpop__ctx_001__twin_persona_summary_misc_heuristics_pricing_text_only__s0015,25296
simbenchpop__simbenchpop__ctx_001__twin_persona_summary_misc_heuristics_pricing_text_only__s0016,25252
simbenchpop__simbenchpop__ctx_001__twin_persona_summary_misc_heuristics_pricing_text_only__s0017,25184
