experiment_id,config_hash,game_id,round,agent_id,avatar_name,contribution,punishments_sent,punishments_received,rewards_sent,rewards_received,round_payoff,cumulative_wallet,public_fund,timestamp
exp_025_control,d90d4344,exp_025_control_game1,1,agent_0,DOG,20,0,0,0,0,108.0,108.0,1943.9999999999998,2026-01-02T01:46:54.257007
exp_025_control,d90d4344,exp_025_control_game1,1,agent_1,CHICKEN,20,0,0,0,0,108.0,108.0,1943.9999999999998,2026-01-02T01:46:54.257062
exp_025_control,d90d4344,exp_025_control_game1,1,agent_2,CAT,20,0,0,0,0,108.0,108.0,1943.9999999999998,2026-01-02T01:46:54.257079
exp_025_control,d90d4344,exp_025_control_game1,1,agent_3,FISH,20,0,0,0,0,108.0,108.0,1943.9999999999998,2026-01-02T01:46:54.257094
exp_025_control,d90d4344,exp_025_control_game1,1,agent_4,BIRD,20,0,0,0,0,108.0,108.0,1943.9999999999998,2026-01-02T01:46:54.257108
exp_025_control,d90d4344,exp_025_control_game1,1,agent_5,RABBIT,20,0,0,0,0,108.0,108.0,1943.9999999999998,2026-01-02T01:46:54.257122
exp_025_control,d90d4344,exp_025_control_game1,1,agent_6,TURTLE,20,0,0,0,0,108.0,108.0,1943.9999999999998,2026-01-02T01:46:54.257136
exp_025_control,d90d4344,exp_025_control_game1,1,agent_7,HAMSTER,20,0,0,0,0,108.0,108.0,1943.9999999999998,2026-01-02T01:46:54.257151
exp_025_control,d90d4344,exp_025_control_game1,1,agent_8,FROG,20,0,0,0,0,108.0,108.0,1943.9999999999998,2026-01-02T01:46:54.257167
exp_025_control,d90d4344,exp_025_control_game1,1,agent_9,MOUSE,20,0,0,0,0,108.0,108.0,1943.9999999999998,2026-01-02T01:46:54.257181
exp_025_control,d90d4344,exp_025_control_game1,1,agent_10,SNAKE,20,0,0,0,0,108.0,108.0,1943.9999999999998,2026-01-02T01:46:54.257196
exp_025_control,d90d4344,exp_025_control_game1,1,agent_11,BEAR,20,0,0,0,0,108.0,108.0,1943.9999999999998,2026-01-02T01:46:54.257211
exp_025_control,d90d4344,exp_025_control_game1,1,agent_12,LION,20,0,0,0,0,108.0,108.0,1943.9999999999998,2026-01-02T01:46:54.257225
exp_025_control,d90d4344,exp_025_control_game1,1,agent_13,TIGER,20,0,0,0,0,108.0,108.0,1943.9999999999998,2026-01-02T01:46:54.257239
exp_025_control,d90d4344,exp_025_control_game1,1,agent_14,ELEPHANT,20,0,0,0,0,108.0,108.0,1943.9999999999998,2026-01-02T01:46:54.257253
exp_025_control,d90d4344,exp_025_control_game1,1,agent_15,MONKEY,20,0,0,0,0,108.0,108.0,1943.9999999999998,2026-01-02T01:46:54.257267
exp_025_control,d90d4344,exp_025_control_game1,1,agent_16,PANDA,20,0,0,0,0,108.0,108.0,1943.9999999999998,2026-01-02T01:46:54.257281
exp_025_control,d90d4344,exp_025_control_game1,1,agent_17,KOALA,20,0,0,0,0,108.0,108.0,1943.9999999999998,2026-01-02T01:46:54.257295
