question_id,block_name,question_type,n_csv_columns,is_wave4_target,is_wave1_3_match_for_wave4_target,family,candidate_role,exclusion_group,question_text_short
QID184,Absolute vs. relative - jacket,MC,1,True,True,other,digital_twin_sim_target,,Imagine that you go to purchase a jacket for $250. The jacket salesperson informs you that the jacket you wish to buy is on sale for $240 at the other branch...
QID192,Allais Form 1,MC,1,True,True,heuristics_biases,digital_twin_sim_target,,Choose between:
QID163,Anchoring - African countries low ,MC,1,True,True,heuristics_biases,digital_twin_sim_target,,Do you think there are more or fewer than 12 African countries in the United Nations?
QID164,Anchoring - African countries low ,TE,1,True,True,heuristics_biases,digital_twin_sim_target,,How many African countries do you think are in the United Nations?
QID167,Anchoring - redwood low,MC,1,True,True,heuristics_biases,digital_twin_sim_target,,Is the tallest redwood tree in the world more or less than 85 feet tall?
QID168,Anchoring - redwood low,TE,1,True,True,heuristics_biases,digital_twin_sim_target,,How tall do you think the tallest redwood tree in the world is? Enter a number of feet.
QID156,Base-rate 70 engineers,Slider,1,True,True,other,digital_twin_sim_target,,"A panel of psychologist have interviewed and administered personality tests to 70 engineers and 30 lawyers, all successful in their respective fields. On the..."
QID158,Disease-loss,MC,1,True,True,other,digital_twin_sim_target,,"Imagine that the U.S. is preparing for the outbreak of an unusual disease, which is expected to kill 600 people. Two alternative programs to combat the disea..."
QID287,False consensus ,Matrix,10,True,True,other,digital_twin_sim_target,,Would you support or oppose...
QID173,Less is More Gamble C ,MC,1,True,True,other,digital_twin_sim_target,,"Please rate your level of disagreement or agreement with the following statement: ""I would find a game that had a 7/36 chance of winning $9 and a 29/36 chanc..."
QID160,Linda-conjunction,Matrix,3,True,True,other,digital_twin_sim_target,,"Linda is 31 years old, single, outspoken, and very bright. She majored in philosophy. As a student, she was deeply concerned with issues of discrimination an..."
QID195,Myside German,MC,1,True,True,other,digital_twin_sim_target,,"According to a comprehensive study by the U.S. Department of Transportation, a particular German car is 8 times more likely than a typical family car to kill..."
QID196,Non-experimental heuristics and biases ,MC,1,True,True,heuristics_biases,digital_twin_sim_target,,"Assume that you are presented with two trays of black and white marbles, a large tray that contains 100 marbles and a small tray that contains 10 marbles. Th..."
QID288,Non-experimental heuristics and biases ,Matrix,4,True,True,heuristics_biases,digital_twin_sim_target,,"Please rate the following technology or products from ""not at all beneficial"" to ""extremely beneficial"""
QID289,Non-experimental heuristics and biases ,Matrix,4,True,True,heuristics_biases,digital_twin_sim_target,,"Please rate the following technology or products from ""not at all risky"" to ""extremely risky"""
QID290,Non-experimental heuristics and biases ,Slider,10,True,True,heuristics_biases,digital_twin_sim_target,,"What percentage of the public do you think supports the following policies? For each policy, choose a number from 0% to 100%."
QID291,Non-experimental heuristics and biases ,MC,1,True,True,heuristics_biases,digital_twin_sim_target,,Imagine that there will be a deadly flu going around your area next winter. Your doctor says that you have a 10% chance (10 out of 100) of dying from this fl...
QID161,Outcome bias - success ,MC,1,True,True,other,digital_twin_sim_target,,A 55-year-old man had a heart condition. He had to stop working because of chest pain. He enjoyed his work and did not want to stop. His pain also interfered...
QID198,Probability matching vs. maximizing - Problem 1,Matrix,10,True,True,other,digital_twin_sim_target,,Consider the following hypothetical situation: A deck with 10 cards is randomly shuffled 10 separate times. The 10 cards are composed of 7 cards with the num...
QID8,Product Preferences - Pricing,DB,0,True,True,pricing,digital_twin_sim_target,,"You will now be asked a series of 40 questions. In each question, you will given information about a product that you may or may not decide to purchase in a ..."
QID9_1,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Dairy Products. Suppose you are in a grocery store, and you see the following product in that category: Land ..."
QID9_10,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Lunchmeat - Sliced - Refrigerated. Suppose you are in a grocery store, and you see the following product in t..."
QID9_11,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Refrigerated Entrees. Suppose you are in a grocery store, and you see the following product in that category:..."
QID9_12,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Beer. Suppose you are in a grocery store, and you see the following product in that category: Stella Artois L..."
QID9_13,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Cereal - Ready to Eat. Suppose you are in a grocery store, and you see the following product in that category..."
QID9_14,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Cleaning Supplies. Suppose you are in a grocery store, and you see the following product in that category: AR..."
QID9_15,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Frozen Novelties. Suppose you are in a grocery store, and you see the following product in that category: Pop..."
QID9_16,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Soft Drinks - Carbonated. Suppose you are in a grocery store, and you see the following product in that categ..."
QID9_17,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Toilet Tissue. Suppose you are in a grocery store, and you see the following product in that category: Angel ..."
QID9_18,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Baby Milk and Milk Flavoring. Suppose you are in a grocery store, and you see the following product in that c..."
QID9_19,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Ground and Whole Bean Coffee. Suppose you are in a grocery store, and you see the following product in that c..."
QID9_2,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Pain Remedies - Headache. Suppose you are in a grocery store, and you see the following product in that categ..."
QID9_20,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Frozen Foods. Suppose you are in a grocery store, and you see the following product in that category: Great V..."
QID9_21,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Yogurt - Refrigerated. Suppose you are in a grocery store, and you see the following product in that category..."
QID9_22,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Dairy - Milk - Refrigerated. Suppose you are in a grocery store, and you see the following product in that ca..."
QID9_23,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Soft Drinks - Low Calorie. Suppose you are in a grocery store, and you see the following product in that cate..."
QID9_24,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Paper Towels. Suppose you are in a grocery store, and you see the following product in that category: Bounty ..."
QID9_25,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Candy - Non-Chocolate. Suppose you are in a grocery store, and you see the following product in that category..."
QID9_26,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Bakery - Fresh Cakes. Suppose you are in a grocery store, and you see the following product in that category:..."
QID9_27,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Fruit Drinks. Suppose you are in a grocery store, and you see the following product in that category: Kool Ai..."
QID9_28,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Snacks - Tortilla Chips. Suppose you are in a grocery store, and you see the following product in that catego..."
QID9_29,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Refrigerated Bacon. Suppose you are in a grocery store, and you see the following product in that category: O..."
QID9_3,Product Preferences - Pricing,MC,1,True,True,pricing,digital_twin_sim_target,,"Please consider the following product category: Cat Food - Wet Type. Suppose you are in a grocery store, and you see the following product in that category: ..."
