question_id,block_name,question_type,source,wave_1_exists,wave_2_exists,wave_3_exists,wave_presence,wave_mapping_method,question_text_full,options_json,rows_json,csv_columns_json
QID183,Absolute vs. relative - calculator,MC,wave4_Q_wave1_3_A,False,True,False,2,questionnaire_text_match,Imagine that you go to purchase a calculator for $30. The calculator salesperson informs you that the calculator you wish to buy is on sale for $20 at the other branch of the store which is ten minutes away by car. Would you drive to the other store?,"[""Yes"", ""No""]",[],"[""QID183""]"
QID184,Absolute vs. relative - jacket,MC,wave4_Q_wave1_3_A,False,True,False,2,questionnaire_text_match,Imagine that you go to purchase a jacket for $250. The jacket salesperson informs you that the jacket you wish to buy is on sale for $240 at the other branch of the store which is ten minutes away by car. Would you drive to the other store?,"[""Yes"", ""No""]",[],"[""QID184""]"
QID192,Allais Form 1,MC,wave4_Q_wave1_3_A,True,False,False,1,questionnaire_text_match,Choose between:,"[""One million dollars for sure"", ""89% probability of one million dollars 10% probablity of five miillion dollars 1% probability of nothing""]",[],"[""QID192""]"
QID193,Allais Form 2,MC,wave4_Q_wave1_3_A,True,False,False,1,questionnaire_text_match,Choose between:,"[""11% probability of one million dollars 89% probability of nothing"", ""10% probablity of five miillion dollars 90% probability of nothing""]",[],"[""QID193""]"
QID165,Anchoring - African countries high,MC,wave4_Q_wave1_3_A,False,True,False,2,questionnaire_text_match,Do you think there are more or fewer than 65 African countries in the United Nations?,"[""more"", ""fewer""]",[],"[""QID165""]"
QID166,Anchoring - African countries high,TE,wave4_Q_wave1_3_A,False,True,False,2,questionnaire_text_match,How many African countries do you think are in the United Nations?,[],[],"[""QID166_TEXT""]"
QID163,Anchoring - African countries low ,MC,wave4_Q_wave1_3_A,False,True,False,2,questionnaire_text_match,Do you think there are more or fewer than 12 African countries in the United Nations?,"[""more"", ""fewer""]",[],"[""QID163""]"
QID164,Anchoring - African countries low ,TE,wave4_Q_wave1_3_A,False,True,False,2,questionnaire_text_match,How many African countries do you think are in the United Nations?,[],[],"[""QID164_TEXT""]"
QID169,Anchoring - redwood high,MC,wave4_Q_wave1_3_A,False,True,False,2,questionnaire_text_match,Is the tallest redwood tree in the world more or less than 1000 feet tall?,"[""more"", ""less""]",[],"[""QID169""]"
QID170,Anchoring - redwood high,TE,wave4_Q_wave1_3_A,False,True,False,2,questionnaire_text_match,How tall do you think the tallest redwood tree in the world is? Enter a number of feet.,[],[],"[""QID170_TEXT""]"
QID167,Anchoring - redwood low,MC,wave4_Q_wave1_3_A,False,True,False,2,questionnaire_text_match,Is the tallest redwood tree in the world more or less than 85 feet tall?,"[""more"", ""less""]",[],"[""QID167""]"
QID168,Anchoring - redwood low,TE,wave4_Q_wave1_3_A,False,True,False,2,questionnaire_text_match,How tall do you think the tallest redwood tree in the world is? Enter a number of feet.,[],[],"[""QID168_TEXT""]"
QID154,Base-rate 30 engineers ,Slider,wave4_Q_wave1_3_A,True,False,False,1,questionnaire_text_match,"A panel of psychologist have interviewed and administered personality tests to 30 engineers and 70 lawyers, all successful in their respective fields. On the basis of this information, thumbnail descriptions of the 30 engineers and 70 lawyers have been written. Below is one description, chosen at random from the 100 available descriptions. Jack is a 45-year-old man. He is married and has four children. He is generally conservative, careful, and ambitious. He shows no interest in political and social issues and spends most of his free time on his many hobbies which include home carpentry, sailing, and mathematical puzzles. The probability that Jack is one of the 30 engineers in the sample of 100 is ___%. Please indicate the probability on a scale from 0 to 100.",[],[],"[""QID154""]"
QID156,Base-rate 70 engineers,Slider,wave4_Q_wave1_3_A,True,False,False,1,questionnaire_text_match,"A panel of psychologist have interviewed and administered personality tests to 70 engineers and 30 lawyers, all successful in their respective fields. On the basis of this information, thumbnail descriptions of the 70 engineers and 30 lawyers have been written. Below is one description, chosen at random from the 100 available descriptions. Jack is a 45-year-old man. He is married and has four children. He is generally conservative, careful, and ambitious. He shows no interest in political and social issues and spends most of his free time on his many hobbies which include home carpentry, sailing, and mathematical puzzles. The probability that Jack is one of the 70 engineers in the sample of 100 is ___%. Please indicate the probability on a scale from 0 to 100.",[],[],"[""QID156""]"
QID123,Cognitive tests ,TE,wave1_3_persona_json,True,False,False,1,persona_block_order,You just answered 42 questions that measured your performance on various cognitive tests. How many of these questions do you think you answered correctly? Enter a whole number between 0 and 42.,[],[],"[""QID123_TEXT""]"
QID124,Cognitive tests ,TE,wave1_3_persona_json,True,False,False,1,persona_block_order,"How many of these questions do you think you people from a representative sample of the US adult population would answer correctly, on average? Enter a number between 0 and 42.",[],[],"[""QID124_TEXT""]"
QID217,Cognitive tests ,MC,wave1_3_persona_json,False,True,False,2,persona_block_order,"You are now going to receive a series of four problems. You must decide whether the stated conclusion follows logically from the premises or not. You must suppose that the premises are all true and limit yourself only to the information contained in these premises. Premise 1: If there is a postal strike, then unemployment will double. Premise 2: There is a postal strike. Conclusion: Unemployment will double. Does the conclusion follow logically from the premises ?","[""Yes"", ""No""]",[],"[""QID217""]"
QID218,Cognitive tests ,MC,wave1_3_persona_json,False,True,False,2,persona_block_order,"Premise 1: If the winter is harsh, then there will be a flu epidemic. Premise 2: The winter is harsh. Conclusion: There will be a flu epidemic. Does the conclusion follow logically from the premises ?","[""Yes"", ""No""]",[],"[""QID218""]"
QID219,Cognitive tests ,MC,wave1_3_persona_json,False,True,False,2,persona_block_order,"Premise 1: If a car is a Honda, then it is expensive. Premise 2: A car is a Honda. Conclusion: The car is expensive. Does the conclusion follow logically from the premises ?","[""Yes"", ""No""]",[],"[""QID219""]"
QID220,Cognitive tests ,MC,wave1_3_persona_json,False,True,False,2,persona_block_order,"Premise 1: If a person eats hamburgers, then they will get cancer. Premise 2: A person eats hamburgers. Conclusion: The person will get cancer. Does the conclusion follow logically from the premises ?","[""Yes"", ""No""]",[],"[""QID220""]"
QID221,Cognitive tests ,MC,wave1_3_persona_json,False,False,True,3,persona_block_order,"Imagine you see a number of cards from a set of cards. Each card in the set has a capital letter on one side and a number on the other. Naturally, only one side is visible in each case. For the set of cards, a rule has been stated: If there is an A on the letter side of the card, then there is a 3 on the number side. Four cards were drawn. Below is the information visible for each card (letter or number). Which of the following card(s) would have to be turned over in order to test the truth or falsity of the rule?","[""A"", ""F"", ""3"", ""7""]",[],"[""QID221_1"", ""QID221_2"", ""QID221_3"", ""QID221_4""]"
QID241,Cognitive tests ,DB,wave1_3_persona_json,False,True,False,2,persona_block_order,"In this section, you will answer a series of 42 questions that will test your performance on various cognitive tests.",[],[],[]
QID265,Cognitive tests ,DB,wave1_3_persona_json,True,False,False,1,persona_block_order,This completes this section. You will now move on to the next section.,[],[],[]
QID268,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,"If a glock is not a XAR, you can say:","[""that it is certain that the glock is a YOF"", ""that it is certain that the glock is not a YOF"", ""that it is not certain whether the glock is a YOF or not""]",[],"[""QID268""]"
QID269,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,"If a koy is a YOF, you can say:","[""that it is certain that the koy is a XAR"", ""that it is certain that the koy is not a XAR"", ""that it is not certain whether the koy is a XAR or not""]",[],"[""QID269""]"
QID270,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,"If a koy is not a YOF, you can say:","[""that it is certain that the koy is a XAR"", ""that it is certain that the koy is not a XAR"", ""that it is not certain whether the koy is a XAR or not""]",[],"[""QID270""]"
QID271,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Premise 1: All animals love water. Premise 2: Plants do not love water. Conclusion: Plants are not animals. Does the conclusion follow logically from the premises ?,"[""Yes"", ""No""]",[],"[""QID271""]"
QID272,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Premise 1: All animals with four legs are dangerous. Premise 2: Poodles are not dangerous. Conclusion: Poodles do not have four legs. Does the conclusion follow logically from the premises ?,"[""Yes"", ""No""]",[],"[""QID272""]"
QID273,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Premise 1: All eastern countries are communist. Premise 2: China is not an eastern country. Conclusion: China is not communist. Does the conclusion follow logically from the premises ?,"[""Yes"", ""No""]",[],"[""QID273""]"
QID274,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Premise 1: All flowers have petals. Premise 2: Roses have petals. Conclusion: Roses are flowers. Does the conclusion follow logically from the premises ?,"[""Yes"", ""No""]",[],"[""QID274""]"
QID275,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Premise 1: All mammals swim. Premise 2: Whales are mammals. Conclusion: Whales swim. Does the conclusion follow logically from the premises ?,"[""Yes"", ""No""]",[],"[""QID275""]"
QID276,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Premise 1: All unemployed people are poor. Premise 2: Rockefeller is not unemployed. Conclusion: Rockefeller is not poor. Does the conclusion follow logically from the premises ?,"[""Yes"", ""No""]",[],"[""QID276""]"
QID277,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Premise I: All things that have a motor need oil. Premise 2: Bicycles need oil. Conclusion: Bicycles have motors. Does the conclusion follow logically from the premises ?,"[""Yes"", ""No""]",[],"[""QID277""]"
QID278,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,"Suppose that it is true that: All the XAR's are YOF's. With this in mind, answer the following questions. If a glock is a XAR, you can say:","[""that it is certain that the glock is a YOF"", ""that it is certain that the glock is not a YOF"", ""that it is not certain whether the glock is a YOF or not""]",[],"[""QID278""]"
QID279,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,You are now going to receive a series of eight problems. You must decide whether the stated conclusion follows logically from the premises or not. You must suppose that the premises are all true and limit yourself only to the information contained in these premises. Premise 1: All things that are smoked are good for the health. Premise 2: Cigarettes are smoked. Conclusion: Cigarettes are good for the health. Does the conclusion follow logically from the premises ?,"[""Yes"", ""No""]",[],"[""QID279""]"
QID36,Cognitive tests ,MC,wave1_3_persona_json,False,True,False,2,persona_block_order,"Do you think that the following statement is true or false? ""A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the total interest paid over the life of the loan will be less.""","[""True"", ""False""]",[],"[""QID36""]"
QID37,Cognitive tests ,MC,wave1_3_persona_json,False,True,False,2,persona_block_order,"Imagine that the interest rate on your saving account was 1% per year and inflation was 2% per year. After 1 year, would you be able to buy:","[""More than today with the money on this account"", ""Exactly the same as today with the money in this account"", ""Less than today with the money in this account"", ""Do not know""]",[],"[""QID37""]"
QID38,Cognitive tests ,MC,wave1_3_persona_json,False,True,False,2,persona_block_order,"Normally, which asset described below displays the highest fluctuations over time?","[""Savings account"", ""Stocks"", ""Bonds"", ""Do not know""]",[],"[""QID38""]"
QID39,Cognitive tests ,MC,wave1_3_persona_json,False,True,False,2,persona_block_order,"Do you think that the following statement is true or false? ""If you were to invest $1,000 in a stock mutual fund, it would be possible to have less than $1,000 when you withdraw your money.""","[""True"", ""False""]",[],"[""QID39""]"
QID40,Cognitive tests ,MC,wave1_3_persona_json,False,True,False,2,persona_block_order,"When an investor spreads their money among different assets, the risk of losing a lot of money:","[""Increases"", ""Decreases"", ""Stays the same"", ""Do not know""]",[],"[""QID40""]"
QID41,Cognitive tests ,MC,wave1_3_persona_json,False,True,False,2,persona_block_order,"Considering a long time period (for example 10 or 20 years), which asset described below normally gives the highest return?","[""Savings account"", ""Stocks"", ""Bonds"", ""Do not know""]",[],"[""QID41""]"
QID42,Cognitive tests ,MC,wave1_3_persona_json,False,True,False,2,persona_block_order,"Do you think that the following statement is true or false? ""After age 70 and a half, you have to withdraw at least some money from your 401(k) plan or IRA.""","[""True"", ""False""]",[],"[""QID42""]"
QID43,Cognitive tests ,TE,wave1_3_persona_json,False,True,False,2,persona_block_order,"Suppose you owe $3,000 on your credit card. You pay a minimum payment of $30 each month. At an Annual Percentage Rate of 12% (or 1% per month), how many years would it take to eliminate your credit card debt if you made no additional new charges? Enter a number of years, or ""never"" if the debt will never be eliminated.",[],[],"[""QID43_TEXT""]"
QID44,Cognitive tests ,TE,wave1_3_persona_json,False,True,False,2,persona_block_order,"Imagine that we roll a fair, six-sided die 1,000 times. Out of 1,000 rolls, how many times do you think the die would come up as an even number? Which is the most likely outcome? Enter a number from 0 to 1,000.",[],[],"[""QID44_TEXT""]"
QID45,Cognitive tests ,TE,wave1_3_persona_json,False,True,False,2,persona_block_order,"In the BIG BUCKS LOTTERY, the chance of winning a $10.00 prize is 1%. What is your best guess about how many people would win a $10.00 prize if 1,000 people each buy a single ticket from BIG BUCKS? Enter a number from 0 to 1,000.",[],[],"[""QID45_TEXT""]"
QID46,Cognitive tests ,TE,wave1_3_persona_json,False,True,False,2,persona_block_order,"If the chance of getting a disease is 20 out of 100, this would be the same as having a [blank]% chance of getting the disease. Enter a percentage from 0 to 100.",[],[],"[""QID46_TEXT""]"
QID47,Cognitive tests ,TE,wave1_3_persona_json,False,True,False,2,persona_block_order,"In the ACME PUBLISHING SWEEPSTAKES, the chance of winning a car is 1 in 1,000. What percent of tickets of ACME PUBLISHING SWEEPSTAKES win a car? Enter a percentage from 0 to 100.",[],[],"[""QID47_TEXT""]"
QID48,Cognitive tests ,TE,wave1_3_persona_json,False,True,False,2,persona_block_order,"If the chance of getting a disease is 10%, how many people would be expected to get the disease out of 1,000? Enter a number from 0 to 1,000.",[],[],"[""QID48_TEXT""]"
QID49,Cognitive tests ,TE,wave1_3_persona_json,False,True,False,2,persona_block_order,"If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets? Enter a number of minutes.",[],[],"[""QID49_TEXT""]"
QID50,Cognitive tests ,TE,wave1_3_persona_json,False,True,False,2,persona_block_order,A bat and ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost? Enter a number in dollars.,[],[],"[""QID50_TEXT""]"
