sample_index,scenario_index,sample_within_scenario,custom_id,source_custom_id,response_id,extended_session_id,user_id,scenario_order,scenario_hash,global_count,left_action,right_action,option_a_screen_side,option_b_screen_side,option_a_action,option_b_action,gold_choice,gold_action,user_country3,user_country3_raw_full_file,review_age,review_education,review_gender,review_income,review_political,review_religious,scenario_type,scenario_type_strict,attribute_level,pedped,input_char_count,estimated_input_tokens_4_chars_per_token,estimated_input_tokens_3_5_chars_per_token,prompt,source_run_name,prompt_version,temperature_included
1,1,1,mm_individual_demo_001_01_ab,mm_individual_demo_001_01,9Btvnz3qqBB6C5Mx4,-1681315252_8217531453139795.0,8217531453139800,8,36036f518e82eccca01a0eef133b5e75,25872,stay,swerve,left,right,stay,swerve,B,swerve,DEU,DEU,33,graduate,male,above100000,0.67,0.31,Age,Age,Young,1,795,199,228,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 33
Gender: Male
Education: Graduate degree
Annual income: Over $100,000
Political views: 0.67 on a conservative (0) to progressive (1) scale
Religiosity: 0.31 on a not religious (0) to very religious (1) scale
Country: DEU

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 man.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 elderly man.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
2,1,2,mm_individual_demo_001_02_ab,mm_individual_demo_001_02,CtF963f68WMEkChwd,-4201968_5603017791766813.0,5603017791766810,10,36036f518e82eccca01a0eef133b5e75,25872,stay,swerve,left,right,stay,swerve,B,swerve,AUS,AUS,19,bachelor,male,under5000,0.5,0,Age,Age,Young,1,794,199,227,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 19
Gender: Male
Education: Bachelor degree
Annual income: Under $5,000
Political views: 0.50 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: AUS

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 man.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 elderly man.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
3,1,3,mm_individual_demo_001_03_ab,mm_individual_demo_001_03,rjQrdNukspgHjYMrA,946338469_4679112531834515.0,4679112531834520,10,36036f518e82eccca01a0eef133b5e75,25872,stay,swerve,left,right,stay,swerve,B,swerve,AUS,AUS,18,others,male,under5000,1,0,Age,Age,Young,1,785,197,225,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 18
Gender: Male
Education: others
Annual income: Under $5,000
Political views: 1.00 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: AUS

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 man.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 elderly man.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
4,1,4,mm_individual_demo_001_04_ab,mm_individual_demo_001_04,sCS2YeiY7jpYBGuum,597603433_8170293226223746.0,8170293226223750,7,36036f518e82eccca01a0eef133b5e75,25872,stay,swerve,left,right,stay,swerve,B,swerve,CZE,CZE,29,others,male,10000,0.68,0,Age,Age,Young,1,788,197,226,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 29
Gender: Male
Education: others
Annual income: $10,001-$15,000
Political views: 0.68 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: CZE

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 man.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 elderly man.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
5,1,5,mm_individual_demo_001_05_ab,mm_individual_demo_001_05,vN7c55rAismiyWCkz,1440661474_8838322503968499.0,8838322503968500,12,36036f518e82eccca01a0eef133b5e75,25872,stay,swerve,left,right,stay,swerve,B,swerve,HUN,HUN,18,underHigh,female,under5000,0.2,0.27,Age,Age,Young,1,812,203,232,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 18
Gender: Female
Education: Less than a high school diploma
Annual income: Under $5,000
Political views: 0.20 on a conservative (0) to progressive (1) scale
Religiosity: 0.27 on a not religious (0) to very religious (1) scale
Country: HUN

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 man.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 elderly man.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
6,2,1,mm_individual_demo_002_01_ab,mm_individual_demo_002_01,BGmMtZtoKC5qKpxrt,368646449_1877123269478594.0,1877123269478590,12,3fe05ffd77c1035b31afc74d4707772e,25765,stay,swerve,left,right,stay,swerve,A,stay,DEU,DEU,24,graduate,male,10000,1,0,Age,Age,Young,1,801,201,229,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 24
Gender: Male
Education: Graduate degree
Annual income: $10,001-$15,000
Political views: 1.00 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: DEU

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 woman.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 elderly woman.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
7,2,2,mm_individual_demo_002_02_ab,mm_individual_demo_002_02,CheQ7cN25L87xk2L5,888415234_8310678366330779.0,8310678366330780,7,3fe05ffd77c1035b31afc74d4707772e,25765,swerve,stay,left,right,swerve,stay,B,stay,USA,USA,34,college,male,under5000,0.5,0.5,Age,Age,Young,1,799,200,229,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 34
Gender: Male
Education: Attended college
Annual income: Under $5,000
Political views: 0.50 on a conservative (0) to progressive (1) scale
Religiosity: 0.50 on a not religious (0) to very religious (1) scale
Country: USA

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 elderly woman.
(B) Continue ahead through the crossing. The following pedestrians die: 1 woman.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
8,2,3,mm_individual_demo_002_03_ab,mm_individual_demo_002_03,ZrKYFwikgF6hgkSEM,-1920355319_5368364716502598.0,5368364716502600,13,3fe05ffd77c1035b31afc74d4707772e,25765,stay,swerve,left,right,stay,swerve,A,stay,RUS,RUS,25,bachelor,male,under5000,0.86,0.17,Age,Age,Young,1,798,200,228,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 25
Gender: Male
Education: Bachelor degree
Annual income: Under $5,000
Political views: 0.86 on a conservative (0) to progressive (1) scale
Religiosity: 0.17 on a not religious (0) to very religious (1) scale
Country: RUS

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 woman.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 elderly woman.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
9,2,4,mm_individual_demo_002_04_ab,mm_individual_demo_002_04,n784mgLNxftAQ29tw,-1060076826_3954331448593595.0,3954331448593600,10,3fe05ffd77c1035b31afc74d4707772e,25765,stay,swerve,left,right,stay,swerve,B,swerve,ITA,ITA,21,high,male,10000,0.5,0,Age,Age,Young,1,805,202,230,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 21
Gender: Male
Education: High school diploma
Annual income: $10,001-$15,000
Political views: 0.50 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: ITA

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 woman.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 elderly woman.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
10,2,5,mm_individual_demo_002_05_ab,mm_individual_demo_002_05,nSLJc9oPN2jeb3A8r,715481522_9838808252105222.0,9838808252105220,4,3fe05ffd77c1035b31afc74d4707772e,25765,swerve,stay,left,right,swerve,stay,A,swerve,JPN,JPN,39,graduate,female,50000,0.5,0.53,Age,Age,Young,1,803,201,230,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 39
Gender: Female
Education: Graduate degree
Annual income: $50,001-$80,000
Political views: 0.50 on a conservative (0) to progressive (1) scale
Religiosity: 0.53 on a not religious (0) to very religious (1) scale
Country: JPN

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 elderly woman.
(B) Continue ahead through the crossing. The following pedestrians die: 1 woman.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
