custom_id,response_id,scenario_hash,scenario_index,sample_within_scenario,left_action,right_action,option_a_action,option_b_action,gold_choice,gold_action,predicted_choice,predicted_action,correct,scenario_type,scenario_type_strict,attribute_level,pedped,parse_success,parse_error,raw_content,exact_format
mm_individual_demo_002_02_ab_wvsw6_d1,CheQ7cN25L87xk2L5,3fe05ffd77c1035b31afc74d4707772e,2,2,swerve,stay,swerve,stay,B,stay,A,swerve,False,Age,Age,Young,1,True,,A,True
mm_individual_demo_002_05_ab_wvsw6_d1,nSLJc9oPN2jeb3A8r,3fe05ffd77c1035b31afc74d4707772e,2,5,swerve,stay,swerve,stay,A,swerve,A,swerve,True,Age,Age,Young,1,True,,A,True
mm_individual_demo_003_04_ab_wvsw6_d1,pWScK5ChZ3TaG76zJ,a121064b5297f135808ea2f0c17843d0,3,4,swerve,stay,swerve,stay,B,stay,B,stay,True,Fitness,Fitness,Fat,1,True,,B,True
mm_individual_demo_004_02_ab_wvsw6_d1,58wWqGbd5z2CeYcNN,acfec2d5b57f36619c3db73768def157,4,2,stay,swerve,stay,swerve,B,swerve,B,swerve,True,Random,Fitness,Rand,1,True,,B,True
mm_individual_demo_005_01_ab_wvsw6_d1,F36SckpmDBHZvDkxR,c55e348b5da3928fc12a45b370e7611f,5,1,stay,swerve,stay,swerve,A,stay,A,stay,True,Fitness,Fitness,Fat,1,True,,A,True
mm_individual_demo_007_03_ab_wvsw6_d1,grMy2hsEipB2D9kwD,2ea9bc96836b52b20015d5aa83de37ad,7,3,stay,swerve,stay,swerve,A,stay,B,swerve,False,Random,Fitness,Rand,1,True,,B,True
mm_individual_demo_009_04_ab_wvsw6_d1,tvjnRT28XZrRfXCs6,c990d2973cbe75633f5630689d16b050,9,4,swerve,stay,swerve,stay,B,stay,B,stay,True,Age,Age,Old,1,True,,B,True
mm_individual_demo_011_03_ab_wvsw6_d1,j3gZYcbQ48eYBCGba,8438349e35ea65069625edddd52af96a,11,3,swerve,stay,swerve,stay,B,stay,A,swerve,False,Random,Fitness,Rand,0,True,,A,True
mm_individual_demo_013_01_ab_wvsw6_d1,aLn4dj45uxRhtqKxL,68f34fdd904338799cc82431fcf5c4ad,13,1,swerve,stay,swerve,stay,A,swerve,B,stay,False,Age,Age,Young,0,True,,B,True
mm_individual_demo_014_04_ab_wvsw6_d1,hN2zXfdSc2sMRSvTA,178a4ad0eb24ebd1b5a266880d24c47d,14,4,stay,swerve,stay,swerve,B,swerve,A,stay,False,Fitness,Fitness,Fat,0,True,,A,True
mm_individual_demo_015_03_ab_wvsw6_d1,DnKEFshxv6cBSKoeh,c5bcd476c5b67c94730a4ac29600565b,15,3,swerve,stay,swerve,stay,A,swerve,B,stay,False,Random,Fitness,Rand,0,True,,B,True
mm_individual_demo_018_03_ab_wvsw6_d1,sL4C5t2Zeu6sD56dc,77a76c25e1470b915257b9dc879cda26,18,3,stay,swerve,stay,swerve,A,stay,A,stay,True,Age,Age,Young,1,True,,A,True
mm_individual_demo_019_05_ab_wvsw6_d1,r8t3ysGzMKynjzEMj,f7a0546a2fa54119593dec3e4406e135,19,5,stay,swerve,stay,swerve,A,stay,A,stay,True,Age,Age,Young,1,True,,A,True
mm_individual_demo_020_05_ab_wvsw6_d1,wKEbyzrKhDFoRSGvq,2925106b8d39a2daf4ac9515d7e6302a,20,5,stay,swerve,stay,swerve,A,stay,A,stay,True,Fitness,Fitness,Fat,0,True,,A,True
