custom_id,estimated_input_chars,estimated_input_tokens_char4
no_persona_chip_match__record_chip2__cohort_01_m7xia7__game_1__g001,4964,1241
no_persona_chip_match__record_chip2__cohort_02_m7xiz2__game_1__g002,5325,1331
no_persona_chip_match__record_chip2__cohort_03_m8aexq__game_1__g003,5379,1345
no_persona_chip_match__record_chip2__cohort_05_m7xjzy__game_1__g004,5323,1331
no_persona_chip_match__record_chip2__cohort_07_m8ag8i__game_1__g005,5487,1372
no_persona_chip_match__record_chip2__cohort_12_m8agmu__game_1__g006,5448,1362
no_persona_chip_match__record_chip2__cohort_14_m8agmu__game_1__g007,5442,1360
no_persona_chip_match__record_chip2__cohort_15_m8agmu__game_1__g008,5505,1376
no_persona_chip_match__record_chip2__cohort_04_m8aexq__game_2_alt_profile__g009,5229,1307
no_persona_chip_match__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__g010,5331,1333
no_persona_chip_match__record_chip2__cohort_05_m8aexq__game_2_alt_profile__g011,5462,1366
no_persona_chip_match__record_chip2__cohort_12_m8agmu__game_2_alt_profile__g012,5671,1418
no_persona_chip_match__record_chip2__cohort_14_m8agmu__game_2_alt_profile__g013,5425,1356
no_persona_chip_match__record_chip2__cohort_15_m8agmu__game_2_alt_profile__g014,5254,1314
no_persona_chip_match__record_chip2__cohort_18_m8agzl__game_2_alt_profile__g015,5186,1296
no_persona_chip_match__record_chip2__cohort_20_m8agzl__game_2_alt_profile__g016,5230,1308
no_persona_chip_match__record_chip3__cohort_01_m8aiq8__game_1__g017,5390,1348
no_persona_chip_match__record_chip3__cohort_05_m8aiq8__game_1__g018,5347,1337
no_persona_chip_match__record_chip3__g11_m5wp7b__game_1__g019,5777,1444
no_persona_chip_match__record_chip3__g17_m5wp8w__game_1__g020,5449,1362
no_persona_chip_match__record_chip3__g20_m5wq93__game_1__g021,5520,1380
no_persona_chip_match__record_chip3__g6_m5wp77__game_1__g022,5512,1378
no_persona_chip_match__record_chip3__g7_m5wp78__game_1__g023,5826,1456
no_persona_chip_match__record_chip3__g9_m5wp79__game_1__g024,5413,1353
no_persona_chip_match__record_chip3__cohort_01_m8aiq8__game_2_alt_profile__g025,5179,1295
no_persona_chip_match__record_chip3__cohort_02_m8aiq8__game_2_alt_profile__g026,5365,1341
no_persona_chip_match__record_chip3__cohort_03_m8aiq8__game_2_alt_profile__g027,5243,1311
no_persona_chip_match__record_chip3__cohort_06_m8ak4g__game_2_alt_profile__g028,5473,1368
no_persona_chip_match__record_chip3__g12_m5wp8p__game_2_alt_profile__g029,5265,1316
no_persona_chip_match__record_chip3__g13_m5wp8q__game_2_alt_profile__g030,5877,1469
no_persona_chip_match__record_chip3__g3_m5wp6q__game_2_alt_profile__g031,5715,1429
no_persona_chip_match__record_chip3__g7_m5wp78__game_2_alt_profile__g032,5927,1482
no_persona_chip_match__record_chip4__cohort_02_m89542__game_1__g033,5433,1358
no_persona_chip_match__record_chip4__cohort_04_m8aboy__game_1__g034,5576,1394
no_persona_chip_match__record_chip4__cohort_05_m7xlsd__game_1__g035,5495,1374
no_persona_chip_match__record_chip4__cohort_05_m89542__game_1__g036,5669,1417
no_persona_chip_match__record_chip4__cohort_05_m898xg__game_1__g037,5664,1416
no_persona_chip_match__record_chip4__cohort_06_m89b9z__game_1__g038,5489,1372
no_persona_chip_match__record_chip4__cohort_06_m8acrp__game_1__g039,5838,1460
no_persona_chip_match__record_chip4__cohort_07_m8ad4g__game_1__g040,6051,1513
no_persona_chip_match__record_chip4__cohort_01_m898xg__game_2_alt_profile__g041,5296,1324
no_persona_chip_match__record_chip4__cohort_02_m7xl5i__game_2_alt_profile__g042,5750,1438
no_persona_chip_match__record_chip4__cohort_02_m89542__game_2_alt_profile__g043,5445,1361
no_persona_chip_match__record_chip4__cohort_02_m8aboy__game_2_alt_profile__g044,5523,1381
no_persona_chip_match__record_chip4__cohort_03_m898xg__game_2_alt_profile__g045,5687,1422
no_persona_chip_match__record_chip4__cohort_04_m89542__game_2_alt_profile__g046,5785,1446
no_persona_chip_match__record_chip4__cohort_05_m7xlsd__game_2_alt_profile__g047,5646,1412
no_persona_chip_match__record_chip4__cohort_05_m898xg__game_2_alt_profile__g048,6029,1507
