custom_id,input_tokens_tiktoken
no_persona_chip_match__record_chip2__cohort_01_m7xia7__game_1__g001,1387
no_persona_chip_match__record_chip2__cohort_02_m7xiz2__game_1__g002,1550
no_persona_chip_match__record_chip2__cohort_03_m8aexq__game_1__g003,1519
no_persona_chip_match__record_chip2__cohort_05_m7xjzy__game_1__g004,1552
no_persona_chip_match__record_chip2__cohort_07_m8ag8i__game_1__g005,1605
no_persona_chip_match__record_chip2__cohort_12_m8agmu__game_1__g006,1546
no_persona_chip_match__record_chip2__cohort_14_m8agmu__game_1__g007,1612
no_persona_chip_match__record_chip2__cohort_15_m8agmu__game_1__g008,1544
no_persona_chip_match__record_chip2__cohort_04_m8aexq__game_2_alt_profile__g009,1491
no_persona_chip_match__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__g010,1550
no_persona_chip_match__record_chip2__cohort_05_m8aexq__game_2_alt_profile__g011,1568
no_persona_chip_match__record_chip2__cohort_12_m8agmu__game_2_alt_profile__g012,1639
no_persona_chip_match__record_chip2__cohort_14_m8agmu__game_2_alt_profile__g013,1623
no_persona_chip_match__record_chip2__cohort_15_m8agmu__game_2_alt_profile__g014,1450
no_persona_chip_match__record_chip2__cohort_18_m8agzl__game_2_alt_profile__g015,1436
no_persona_chip_match__record_chip2__cohort_20_m8agzl__game_2_alt_profile__g016,1475
no_persona_chip_match__record_chip3__cohort_01_m8aiq8__game_1__g017,1525
no_persona_chip_match__record_chip3__cohort_05_m8aiq8__game_1__g018,1514
no_persona_chip_match__record_chip3__g11_m5wp7b__game_1__g019,1736
no_persona_chip_match__record_chip3__g17_m5wp8w__game_1__g020,1572
no_persona_chip_match__record_chip3__g20_m5wq93__game_1__g021,1582
no_persona_chip_match__record_chip3__g6_m5wp77__game_1__g022,1619
no_persona_chip_match__record_chip3__g7_m5wp78__game_1__g023,1693
no_persona_chip_match__record_chip3__g9_m5wp79__game_1__g024,1492
no_persona_chip_match__record_chip3__cohort_01_m8aiq8__game_2_alt_profile__g025,1438
no_persona_chip_match__record_chip3__cohort_02_m8aiq8__game_2_alt_profile__g026,1551
no_persona_chip_match__record_chip3__cohort_03_m8aiq8__game_2_alt_profile__g027,1471
no_persona_chip_match__record_chip3__cohort_06_m8ak4g__game_2_alt_profile__g028,1556
no_persona_chip_match__record_chip3__g12_m5wp8p__game_2_alt_profile__g029,1503
no_persona_chip_match__record_chip3__g13_m5wp8q__game_2_alt_profile__g030,1701
no_persona_chip_match__record_chip3__g3_m5wp6q__game_2_alt_profile__g031,1634
no_persona_chip_match__record_chip3__g7_m5wp78__game_2_alt_profile__g032,1741
no_persona_chip_match__record_chip4__cohort_02_m89542__game_1__g033,1586
no_persona_chip_match__record_chip4__cohort_04_m8aboy__game_1__g034,1588
no_persona_chip_match__record_chip4__cohort_05_m7xlsd__game_1__g035,1632
no_persona_chip_match__record_chip4__cohort_05_m89542__game_1__g036,1641
no_persona_chip_match__record_chip4__cohort_05_m898xg__game_1__g037,1622
no_persona_chip_match__record_chip4__cohort_06_m89b9z__game_1__g038,1607
no_persona_chip_match__record_chip4__cohort_06_m8acrp__game_1__g039,1732
no_persona_chip_match__record_chip4__cohort_07_m8ad4g__game_1__g040,1774
no_persona_chip_match__record_chip4__cohort_01_m898xg__game_2_alt_profile__g041,1488
no_persona_chip_match__record_chip4__cohort_02_m7xl5i__game_2_alt_profile__g042,1716
no_persona_chip_match__record_chip4__cohort_02_m89542__game_2_alt_profile__g043,1588
no_persona_chip_match__record_chip4__cohort_02_m8aboy__game_2_alt_profile__g044,1581
no_persona_chip_match__record_chip4__cohort_03_m898xg__game_2_alt_profile__g045,1646
no_persona_chip_match__record_chip4__cohort_04_m89542__game_2_alt_profile__g046,1702
no_persona_chip_match__record_chip4__cohort_05_m7xlsd__game_2_alt_profile__g047,1695
no_persona_chip_match__record_chip4__cohort_05_m898xg__game_2_alt_profile__g048,1758
