record_id,unit_id,treatment_name,TreatmentCode,Treatment,PersonalizedTreatment,num_scenarios,scenario_manifest_json,gold_target_json
1081,1081,ODP,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]","{""UGProposer_delegated"": 1, ""UGResponder_delegated"": 1, ""TGSender_delegated"": 1, ""TGReceiver_delegated"": 1, ""PD_delegated"": 0, ""SH_delegated"": 1, ""C_delegated"": 1, ""scenario_outputs"": [{""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""UGProposer_decision"": null, ""UGResponder_decision"": null, ""TGSender_decision"": null, ""TGReceiver_decision"": null, ""PD_decision"": ""A"", ""SH_decision"": null, ""C_decision"": null}, {""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""UGProposer_decision"": 5, ""UGResponder_decision"": 5, ""TGSender_decision"": ""YES"", ""TGReceiver_decision"": 3, ""PD_decision"": ""A"", ""SH_decision"": ""X"", ""C_decision"": ""Mercury""}]}"
1095,1095,ODP,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]","{""UGProposer_delegated"": 0, ""UGResponder_delegated"": 0, ""TGSender_delegated"": 0, ""TGReceiver_delegated"": 0, ""PD_delegated"": 0, ""SH_delegated"": 0, ""C_delegated"": 0, ""scenario_outputs"": [{""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""UGProposer_decision"": 3, ""UGResponder_decision"": 2, ""TGSender_decision"": ""YES"", ""TGReceiver_decision"": 0, ""PD_decision"": ""A"", ""SH_decision"": ""X"", ""C_decision"": ""Mercury""}, {""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""UGProposer_decision"": 3, ""UGResponder_decision"": 2, ""TGSender_decision"": ""YES"", ""TGReceiver_decision"": 0, ""PD_decision"": ""B"", ""SH_decision"": ""Y"", ""C_decision"": ""Venus""}]}"
1124,1124,ODP,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]","{""UGProposer_delegated"": 1, ""UGResponder_delegated"": 0, ""TGSender_delegated"": 1, ""TGReceiver_delegated"": 1, ""PD_delegated"": 0, ""SH_delegated"": 1, ""C_delegated"": 0, ""scenario_outputs"": [{""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""UGProposer_decision"": null, ""UGResponder_decision"": 3, ""TGSender_decision"": null, ""TGReceiver_decision"": null, ""PD_decision"": ""B"", ""SH_decision"": null, ""C_decision"": ""Earth""}, {""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""UGProposer_decision"": 4, ""UGResponder_decision"": 3, ""TGSender_decision"": ""YES"", ""TGReceiver_decision"": 2, ""PD_decision"": ""B"", ""SH_decision"": ""Y"", ""C_decision"": ""Earth""}]}"
1266,1266,ODP,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]","{""UGProposer_delegated"": 1, ""UGResponder_delegated"": 0, ""TGSender_delegated"": 1, ""TGReceiver_delegated"": 0, ""PD_delegated"": 0, ""SH_delegated"": 0, ""C_delegated"": 0, ""scenario_outputs"": [{""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""UGProposer_decision"": null, ""UGResponder_decision"": 5, ""TGSender_decision"": null, ""TGReceiver_decision"": 3, ""PD_decision"": ""A"", ""SH_decision"": ""X"", ""C_decision"": ""Earth""}, {""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""UGProposer_decision"": 4, ""UGResponder_decision"": 5, ""TGSender_decision"": ""NO"", ""TGReceiver_decision"": 2, ""PD_decision"": ""B"", ""SH_decision"": ""X"", ""C_decision"": ""Mars""}]}"
1291,1291,ODP,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]","{""UGProposer_delegated"": 0, ""UGResponder_delegated"": 0, ""TGSender_delegated"": 1, ""TGReceiver_delegated"": 0, ""PD_delegated"": 0, ""SH_delegated"": 0, ""C_delegated"": 0, ""scenario_outputs"": [{""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""UGProposer_decision"": 5, ""UGResponder_decision"": 5, ""TGSender_decision"": null, ""TGReceiver_decision"": 1, ""PD_decision"": ""A"", ""SH_decision"": ""X"", ""C_decision"": ""Mercury""}, {""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""UGProposer_decision"": 5, ""UGResponder_decision"": 5, ""TGSender_decision"": ""NO"", ""TGReceiver_decision"": 1, ""PD_decision"": ""A"", ""SH_decision"": ""X"", ""C_decision"": ""Mercury""}]}"
1406,1406,ODP,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]","{""UGProposer_delegated"": 0, ""UGResponder_delegated"": 0, ""TGSender_delegated"": 0, ""TGReceiver_delegated"": 0, ""PD_delegated"": 0, ""SH_delegated"": 0, ""C_delegated"": 0, ""scenario_outputs"": [{""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""UGProposer_decision"": 5, ""UGResponder_decision"": 0, ""TGSender_decision"": ""YES"", ""TGReceiver_decision"": 6, ""PD_decision"": ""A"", ""SH_decision"": ""X"", ""C_decision"": ""Earth""}, {""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""UGProposer_decision"": 5, ""UGResponder_decision"": 0, ""TGSender_decision"": ""YES"", ""TGReceiver_decision"": 6, ""PD_decision"": ""A"", ""SH_decision"": ""X"", ""C_decision"": ""Earth""}]}"
1421,1421,ODP,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]","{""UGProposer_delegated"": 0, ""UGResponder_delegated"": 0, ""TGSender_delegated"": 1, ""TGReceiver_delegated"": 1, ""PD_delegated"": 0, ""SH_delegated"": 0, ""C_delegated"": 0, ""scenario_outputs"": [{""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""UGProposer_decision"": 5, ""UGResponder_decision"": 5, ""TGSender_decision"": null, ""TGReceiver_decision"": null, ""PD_decision"": ""B"", ""SH_decision"": ""Y"", ""C_decision"": ""Earth""}, {""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""UGProposer_decision"": 5, ""UGResponder_decision"": 5, ""TGSender_decision"": ""NO"", ""TGReceiver_decision"": 2, ""PD_decision"": ""B"", ""SH_decision"": ""Y"", ""C_decision"": ""Earth""}]}"
143,143,ODP,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]","{""UGProposer_delegated"": 0, ""UGResponder_delegated"": 0, ""TGSender_delegated"": 0, ""TGReceiver_delegated"": 0, ""PD_delegated"": 0, ""SH_delegated"": 0, ""C_delegated"": 0, ""scenario_outputs"": [{""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""UGProposer_decision"": 4, ""UGResponder_decision"": 4, ""TGSender_decision"": ""YES"", ""TGReceiver_decision"": 1, ""PD_decision"": ""B"", ""SH_decision"": ""X"", ""C_decision"": ""Earth""}, {""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""UGProposer_decision"": 4, ""UGResponder_decision"": 4, ""TGSender_decision"": ""YES"", ""TGReceiver_decision"": 1, ""PD_decision"": ""B"", ""SH_decision"": ""X"", ""C_decision"": ""Earth""}]}"
1505,1505,ODP,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]","{""UGProposer_delegated"": 1, ""UGResponder_delegated"": 0, ""TGSender_delegated"": 0, ""TGReceiver_delegated"": 1, ""PD_delegated"": 1, ""SH_delegated"": 0, ""C_delegated"": 0, ""scenario_outputs"": [{""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""UGProposer_decision"": null, ""UGResponder_decision"": 5, ""TGSender_decision"": ""YES"", ""TGReceiver_decision"": null, ""PD_decision"": null, ""SH_decision"": ""X"", ""C_decision"": ""Earth""}, {""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""UGProposer_decision"": 5, ""UGResponder_decision"": 5, ""TGSender_decision"": ""YES"", ""TGReceiver_decision"": 2, ""PD_decision"": ""B"", ""SH_decision"": ""X"", ""C_decision"": ""Earth""}]}"
153,153,ODP,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]","{""UGProposer_delegated"": 0, ""UGResponder_delegated"": 1, ""TGSender_delegated"": 0, ""TGReceiver_delegated"": 1, ""PD_delegated"": 1, ""SH_delegated"": 1, ""C_delegated"": 0, ""scenario_outputs"": [{""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""UGProposer_decision"": 5, ""UGResponder_decision"": null, ""TGSender_decision"": ""YES"", ""TGReceiver_decision"": null, ""PD_decision"": null, ""SH_decision"": null, ""C_decision"": ""Saturn""}, {""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""UGProposer_decision"": 5, ""UGResponder_decision"": 4, ""TGSender_decision"": ""YES"", ""TGReceiver_decision"": 0, ""PD_decision"": ""A"", ""SH_decision"": ""X"", ""C_decision"": ""Earth""}]}"
