player,most_aligned_count,most_aligned_share,top_k_probability_mass,top_k_probability_share
DUCK,11,0.275,8.399999999999999,0.20999999999999996
GORILLA,10,0.25,10.099999999999998,0.25249999999999995
SLOTH,5,0.125,5.3999999999999995,0.13499999999999998
PARROT,2,0.05,2.68,0.067
CHICKEN,2,0.05,3.2199999999999998,0.08049999999999999
DOG,2,0.05,2.2,0.05500000000000001
MOOSE,2,0.05,1.45,0.03625
RABBIT,1,0.025,1.05,0.026250000000000002
MONKEY,1,0.025,1.0,0.025
CROCODILE,1,0.025,0.8500000000000001,0.02125
CHICK,1,0.025,1.0499999999999998,0.026249999999999996
COW,1,0.025,0.85,0.021249999999999998
OWL,1,0.025,1.0,0.025
